rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3Thycu4Wd5AwGFDYYWiioT","Figoshin","Lalla w Mali","Figoshin",1,5,9,"253852"
2,"spotify:track:0bBDTxFPjtuWAdqLLq55u1","Lazaro","Mahboul Ana","Chabaka",1,1,12,"249791"
3,"spotify:track:0wKhdPK4fHXRnOskjvgWqe","SKY, ElGrandeToto","Fi Derbi (feat. ElGrandeToto)","Atlantic Records Benelux",3,3,3,"225918"
4,"spotify:track:4JaAz4mEXpAdO8CKjCDjVx","Snor","Dawk Lya","Snor",2,4,160,"208382"
5,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,2,12,"203952"
6,"spotify:track:0YZ2ANy2Hhf21koqFpph5F","ElGrandeToto","BLUE LOVE","BNJ CITY BLOCK",1,6,43,"189275"
7,"spotify:track:5d54P8T7TXGwE2d0zyN3uu","Tawsen, Ayoub Anbaoui","Dawini","SAWT",1,7,17,"177138"
8,"spotify:track:2N0SPREDYqILVEFSsWF5N5","V","Love Me Again","BIGHIT MUSIC",6,8,60,"169888"
9,"spotify:track:2OkDSD6ZTzHGgYF4j10c0m","Delarue, Morad, ElGrandeToto","Obligación","280Barrio",2,9,18,"163016"
10,"spotify:track:4knNlB73rkLODZU03Xjx7x","Draganov","3DABI","Draganov",1,14,65,"162068"
11,"spotify:track:1dBv07ZgvsNBeQs2lJon6W","Douaa Lahyaoui","Badadi","Douaa Lahyaoui",3,11,12,"147225"
12,"spotify:track:1eiL5AM3hsfhrmXkfSKlfj","Stormy, ElGrandeToto","MARADONA - Remix","Austora",7,13,8,"128546"
13,"spotify:track:1uc8UiwbolVfcQbJncV2oL","Manal","CABARET","Bench & Guess Entertainment",9,10,5,"124002"
14,"spotify:track:7B0k8YTfKzj9BGVaLYXtub","Stormy","POPO","Austora",1,17,37,"117963"
15,"spotify:track:01GVrWU4CZgZyHFMShuQb1","ElGrandeToto","MAGHRIBI","BNJ CITY BLOCK",1,15,46,"116586"
16,"spotify:track:2HfjQWIHWBmEp2LocJsp11","Lbenj","HWASI","Royalty4Ever",1,19,26,"111236"
17,"spotify:track:2EEmZQBC7J2zw2lAh7WIiZ","Ashafar, ElGrandeToto","30K","Ashafar",12,12,2,"111011"
18,"spotify:track:7twFNyJbMDWQPn8lk0lDRh","Stormy","Badi 7efyan","Austora",4,18,52,"108592"
19,"spotify:track:0yvcSDx1WMdxnUHhqG7PEh","Bilel Tacchini","شوفو لامور مادار فيا","Indep",17,28,43,"105912"
20,"spotify:track:2oMCQhVDHhzKEHk5rN6T1E","ElGrandeToto, Hamza","DELLALI (feat. Hamza)","BNJ CITY BLOCK",1,20,49,"101503"
21,"spotify:track:5AA6ny0PZ4dBw72q1JZcHV","Ali S","Galbi","Ali s",3,21,30,"98685"
22,"spotify:track:2SQF7fpgxcJEFucbJQJxPz","7liwa","Douwi Douwi","PopArabia",1,16,19,"96907"
23,"spotify:track:2rh4EGUcaSSSir82rbfoua","L'morphine","We9tna","L'morphine",1,22,15,"93815"
24,"spotify:track:3pkKb7bj2eVQjNaHOGzYSf","Stormy, Dizzy DROS","NIKEY","Austora",2,32,35,"93440"
25,"spotify:track:1Mzg6bu3hkCwJKEf7v49MN","SDM","CARTIER SANTOS","Universal Music Division Capitol Music France",25,166,2,"92851"
26,"spotify:track:5REou7BKcQgFUOe6tTUXBD","Hassa1, Flack","Wsalni MSG","POSITIVE SCHOOL",23,23,43,"92549"
