rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5GX1wsJfvSXUobjDJgrVBD","Rema, Shallipopi","BENIN BOYS","Mavin Global Holdings Ltd",1,-1,1,"2136153"
2,"spotify:track:780BUxpCmW9vOVYZsqdLLE","Asake, Central Cee","Wave","YBNL Nation / EMPIRE",2,-1,1,"1774101"
3,"spotify:track:5Wxkvvb6pLky16pwq4gBI3","Ayo Maff, Fireboy DML","Dealer","Tunesbid / Ocean street",1,1,11,"863974"
4,"spotify:track:6l7opVclJEHReImCPkMc5o","Victony, Asake","Stubborn","Encore Recordings",3,4,7,"813081"
5,"spotify:track:6Qb4XQnsuRnMlGxwR3GOGV","TitoM, Yuppe, Burna Boy, S.N.E","Tshwala Bam (feat. S.N.E)","Boundary Ent / Spaceship",1,2,7,"799271"
6,"spotify:track:6YYnBEMEaj960IX1evcTun","Brown Joel, BoyPee, Hyce","Ogechi","Azuri",6,10,6,"793177"
7,"spotify:track:55nKxeuQ63YLqhtxPWMCgN","DJ Tunez, Wizkid, Seyi Vibez, Terry Apala","APALA DISCO (feat. Wizkid, Seyi Vibez & Terry Apala) - Remix","BT Music Worldwide",7,-1,1,"715263"
8,"spotify:track:1Ss5QjczHsdYkvNsiBmoqS","Muyeez, Seyi Vibez","Instagram","Dvpper Digital",1,3,9,"695794"
9,"spotify:track:7IFoyt4ZL7raIETupyDCYM","KAESTYLE, Omah Lay","My Dealer","Keyqaad",3,6,6,"686562"
10,"spotify:track:52Krs3LCqtcfeiWUvhxncK","Ruger, Bnxn","POE","Blown Boy Ent. / T.Y.E / EMPIRE",2,8,12,"646716"
11,"spotify:track:6VX4hVDmDMfClxp6EwDNQP","Ayra Starr, Seyi Vibez","Bad Vibes (feat. Seyi Vibez)","Mavin Global Holdings Ltd.",2,7,7,"646244"
12,"spotify:track:7FB5261Iv3MRbSz13HYP5l","Seyi Vibez","Different Pattern","Dvpper Digital",1,9,29,"541636"
13,"spotify:track:75c5cm8y5Fzb6aTZM3MOpN","Young Jonn","Bahamas","Chocolate City Music",3,11,11,"529974"
14,"spotify:track:1A1ifX8sWzelNpkL5PxcHT","Ayra Starr, GIVĒON","Last Heartbreak Song (feat. Giveon)","Mavin Global Holdings Ltd.",5,5,4,"528837"
15,"spotify:track:0Q1bMs3xLQiDEeaneehdxv","Asake","Remember","YBNL Nation / EMPIRE",12,12,54,"526963"
16,"spotify:track:5ZtK8XAVnoaGdBXZWCEVCY","Asake","Lonely At The Top","YBNL Nation / EMPIRE",1,15,54,"525304"
17,"spotify:track:0UJMgRVNBrnMmAeZ8p1iMc","Young Jonn","Aquafina","Chocolate City Music",5,21,61,"475149"
18,"spotify:track:6HGeYNFZe51bX0yYOXuvcO","Ruger","Make Way","Promised Land Recordings",18,40,3,"473426"
19,"spotify:track:7vAXxDFUHDPxWzSujxb8jB","Ayra Starr, Asake","Goodbye (Warm Up)(feat. Asake)","Mavin Global Holdings Ltd.",8,13,4,"469311"
20,"spotify:track:5aYcdAo0OCkV9lxQFFWaVg","Kizz Daniel","Double","FlyBoy INC / EMPIRE",12,14,4,"464774"
21,"spotify:track:4g52MWu8RhJYIkM9NdLvUN","Naira Marley","Giddem","My Type Of Music",21,-1,1,"461205"
22,"spotify:track:2LP8KwtvzUx1onvXKQCoKR","ODUMODUBLVCK, Black Sherif","WOTOWOTO SEASONING (feat. Black Sherif)","Native Sounds/Def Jam PS",2,16,30,"460510"
23,"spotify:track:6MM54UW97YvBPPz2Z0Eokf","Chris Brown, Davido","Hmmm (feat. Davido)","Chris Brown Entertainment/RCA Records",16,20,12,"459524"
