rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5vNRhkKd0yEAg8suGBpjeY","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,-1,1,"294258"
2,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",1,1,10,"195368"
3,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",1,2,23,"172671"
4,"spotify:track:0vGAjG4vLZmyZvnCWKW0WG","Bee Remix","ايباه (ريمكس)","Bee Remix",2,5,17,"149916"
5,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",3,7,23,"142457"
6,"spotify:track:2CspwnypzT7rcWI9RfsoSb","JENNIE","Mantra","OA Entertainment/Columbia",3,3,2,"138380"
7,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",6,11,9,"96588"
8,"spotify:track:5iyZWYdb4RmL94Ul9Nfta7","Saif Amer","Aybaah","Hguitara Studio",5,8,18,"95513"
9,"spotify:track:0io16MKpbeDIdYzmGpQaES","Ndotz","Embrace It","Isekai Records",6,9,7,"93140"
10,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,13,28,"89793"
11,"spotify:track:0Hk9OFVAxB6mxTtLmmFdkT","Ayed","Lammah","Luxury Ksa",3,10,13,"89585"
12,"spotify:track:1Es7AUAhQvapIcoh3qMKDL","The Weeknd, Playboi Carti","Timeless (feat. Playboi Carti)","XO / Republic Records",4,12,4,"83866"
13,"spotify:track:3iPUqYAqDdpnTmCF2FRFdX","Nasrat Al Bader","المهزلة","Nasrat AlBadr",13,15,47,"78383"
14,"spotify:track:15mtirqNB6IF1owL0WkIUg","Kstr","حبيبي راح مسرع","MusicDiffusion",12,14,14,"76627"
15,"spotify:track:2FFr0vdtqPBTK3RW0c7T5C","Engel Montaz, Kuv507, Latinnites Music","Cupido","Latinnites Music",15,-1,1,"74421"
16,"spotify:track:6ieb5VefKfuBdFc3Ziw5cX","74 Original Suppa, DEE PRODUCTION","اونه","LBandya Records",16,30,2,"67559"
17,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",1,16,14,"66605"
18,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",7,19,209,"61207"
19,"spotify:track:5O2P9iiztwhomNh8xkR9lJ","One Direction","Night Changes","Syco Music",19,118,175,"60048"
20,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,26,67,"59408"
21,"spotify:track:42VsgItocQwOQC3XWZ8JNA","Travis Scott, Playboi Carti","FE!N (feat. Playboi Carti)","Cactus Jack/Epic",6,20,59,"59360"
22,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",22,31,8,"59269"
23,"spotify:track:48NMdaPvyptuPKCQMtKqoo","Astknan Maghribi","مغربية طيارة","Astknan Maghribi/Urban North Africa",17,17,36,"57552"
24,"spotify:track:7BRD7x5pt8Lqa1eGYC4dzj","Billie Eilish","CHIHIRO","Darkroom/Interscope Records",3,22,23,"57465"
25,"spotify:track:0yc6Gst2xkRu0eMLeRMGCX","Cigarettes After Sex","Apocalypse","Partisan Records",13,23,153,"56212"
26,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,25,36,"55964"
27,"spotify:track:4QlbWOnT3ZoR2mTsyg362u","Aws Al Saber","شلون بية","Aws Al Saber",18,21,56,"55539"
28,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",2,24,64,"52936"
29,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",4,27,125,"52111"
30,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",15,35,9,"51308"
31,"spotify:track:3yDRcs0Y4pPzkvMbUfeF9H","LISA","Moonlit Floor (Kiss Me)","Lloud Co./RCA Records",31,50,3,"50978"
32,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",18,33,27,"50726"
33,"spotify:track:2yR2sziCF4WEs3klW1F38d","Odetari","KEEP UP","APG, Inc. - Odetari II",13,18,11,"50287"
