rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2M7BEoyAzxLBKgnFQqUGmF","Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",1,1,4,"4770881"
2,"spotify:track:5tjWDHOCqsbKPuiivil0BM","M Lisa","ARABA","TİİZZ RECORDS",2,2,4,"4634298"
3,"spotify:track:4yThcjBXiBsiP8QxFraRG1","Defkhan, NELLIE, Fredo","Kapak Olsun","Füme Music",3,3,4,"4014767"
4,"spotify:track:4tFRoWT0hpshwYHAaDxcLj","Sefo","KAPALI KAPILAR","3TR6AP2",4,4,2,"3838327"
5,"spotify:track:3Gpffv3gaD1UxQPeElIjCp","Semicenk","Batık Gemi","Eva Records & DMC",5,6,8,"2787508"
6,"spotify:track:4T73JmNNhtkFBzjRfCeMzN","Derya Uluğ, Asil Gök","Yansıma","DU MUSIC",1,5,12,"2727764"
7,"spotify:track:5h4MeMaKxsJaHpUIqikkCe","Motive","pVg","OSC ENM.",4,10,3,"2709408"
8,"spotify:track:0JU2QfhTrgFsVq5yQ4YQlu","Canozan","Ağlama ben ağlarım","Canozan",1,7,18,"2495445"
9,"spotify:track:1wIdx6xw7B01SnnJoamriL","Amo988","Yüreğim Ağlar","ETL Records",3,8,14,"2366679"
10,"spotify:track:3BMS2ZxodzjxPKzb2iHxze","BLOK3","Salla Salla","Mundo Music",2,9,11,"2230528"
11,"spotify:track:51yVTZAAXjMuOCiBvN980F","Melis Kar","Yatıya","Alfa7",11,27,2,"2176543"
12,"spotify:track:40IbMWcOQ3eTkyYcdFSEjM","KÖFN, Simge, Salman Tin, BKE","Yakışıklı","Hypers",5,11,11,"2113639"
13,"spotify:track:1PiyTtoNn0m4kfJWLfjHny","Canbay & Wolker, Heijan, Muti","Bertaraf","Canbay & Wolker",4,13,19,"1964200"
14,"spotify:track:7FVpfqKuhl9OYsFUHiZV4T","cakal, Lvbel C5","JET BABA","Lais Records",9,12,10,"1922572"
15,"spotify:track:2rkDwpmqASO9ZmUFjqwrR3","Hande Yener","Sopa - Clup Remix","Poll Production",7,15,8,"1860283"
16,"spotify:track:6kvf06eThDCrvYknMY32To","Jeff Redd","MINI TERORISTA","OSC ENM.",4,14,13,"1859717"
17,"spotify:track:1abxpxR02QBwzEWJal3Khb","ElMusto, Decrat","Seni Yazdım","Babil Mood",17,-1,1,"1787115"
18,"spotify:track:3ZwRkdnTb4az8X5n4WXuHA","BLOK3","aklına ben gelicem","Mundo Music",1,18,20,"1749735"
19,"spotify:track:4ehQRRPPelxT1hIYAy1pgy","Emre Fel","Senden Güzeli Mi Var","Hoze",19,-1,1,"1641460"
20,"spotify:track:3wtOAcctakLBwmzbCkRSHR","Burak Bulut, Ebru Yaşar","Kehribar","Mahzen Media Production",3,16,19,"1636406"
21,"spotify:track:5wSj1BUYLvYf8NWJy9MQuM","Semicenk","Eyvah Neye Yarar","Eva Records & DMC",17,17,8,"1601840"
22,"spotify:track:4MmvreU6tS8j2o693cUgpp","Kleo, Segah, Motive","A La Carte","Warner Music Turkey",8,22,8,"1595544"
23,"spotify:track:4rbXJipz3CaSQwtG3xXzzT","Semicenk","Fark Ettim","Eva Yapım & Eva Records",5,19,14,"1582956"
24,"spotify:track:1KGvrw4RWClq7yt42sGG1v","Ezhel","Margiela","StageArt Europe",1,20,15,"1520300"
25,"spotify:track:3auN910HHNYykQo8i9q5J1","Mert Demir","Ateşe Düştüm","Pale Records",1,21,20,"1495550"
26,"spotify:track:2SLWxQ1HDxNlkIhxNRtIaT","Heijan, Azer Bülbül","Bu Gece Karakolluk Olabilirim","Barış Plak",21,25,4,"1367070"
27,"spotify:track:2huuuyJHQ6KK6qzwvUlG3c","Muti, Azer Bülbül","İlle De Sen","Barış Plak",1,24,12,"1358487"
28,"spotify:track:4XUjq1m4FEoFCQsjmJ9UKj","Semicenk","Tanrım Reva Mı","Eva Yapım & Eva Records",5,26,29,"1354238"
29,"spotify:track:5m0FBZ3g71Tv2v5XYZ4pKv","UZI, Baby Gang","SIMARIK","GNG CLAN",12,23,11,"1347664"
30,"spotify:track:0LbHLvawTrjNv9wRKRjTrS","Emre Fel","Veda Türküsü","Hoze",30,54,2,"1259850"
31,"spotify:track:06wiBJmkmQSQUEUj8TESu0","Dedublüman, Mavzer Tabancas","Rüya Gibi","Hypers",13,29,17,"1258554"
32,"spotify:track:5qLnFAfF07nwUiARNSWZBJ","BLOK3","Patlat","Mundo Music",17,28,41,"1221855"
33,"spotify:track:0Y4mwQ4z0Voplgh7o2OZYm","M Lisa","ELLERİM BOŞ","TİİZZ RECORDS",30,35,21,"1213539"
34,"spotify:track:0Yyy5dSNK3cgknZ86Cto9g","Aleyna Tilki","Başıma Belasın","DOĞAN MÜZİK YAPIM",15,30,47,"1154191"
35,"spotify:track:6tHhAUAMwUwlEGpAVq1jlX","Emir Can İğrek","Can Dostum","Hypers",5,36,31,"1150253"
36,"spotify:track:4NYYwPTLIgoyPNG2iu3OrG","Doğu Swag, Aleyna Tilki","Bir Gün Ol Yerimde","Eva Records & DMC",33,33,10,"1137368"
37,"spotify:track:1u2disQzfl3rUEhfZx35gL","Amo988","Gülüşüne Yanıyorum","ETL Records",37,37,2,"1118916"
38,"spotify:track:6ed4S0as5mj3nSK81HJuyz","UZI, Azer Bülbül","Caney","Barış Plak",2,32,34,"1111156"
39,"spotify:track:64P8LehzuNRGQ5JhswIHNW","Anıl Emre Daldal","B.","AVRUPA MÜZİK YAPIM",8,31,17,"1086367"
40,"spotify:track:232LbugfZaCUwq82xiELtd","BLOK3","BAYBAY","Mundo Music",3,34,47,"1081791"
41,"spotify:track:2XxcYFvfP2XoLmB7nNULSw","Batuflex","HAA ‼️","Batuflex",41,-1,1,"1056821"
42,"spotify:track:6uNSbvWZgNkBWw3MP7bpnf","BLOK3","N'aptığını bilmesem de","D3LTA",3,39,33,"1054972"
43,"spotify:track:42boV2FGsztYnQMAeoAjb6","Reynmen","Gitme","DOĞAN MÜZİK YAPIM",9,38,23,"1029996"
44,"spotify:track:6t18CcJVpnFAoWfcZxiZtk","Dedublüman","Sakladığın Bir Şeyler Var","AVRUPA MÜZİK YAPIM",20,42,72,"1016525"
45,"spotify:track:0mYqW8vhiw9rgwSwB21JQz","Semicenk, Rast","Canın Sağ Olsun","EVA RECORDS",1,40,42,"1007038"
46,"spotify:track:44UZWruF4P4uMZ10fd1eMK","KÖFN, Salman Tin, BKE","Al Aramızdan","Hypers",26,44,43,"971703"
47,"spotify:track:5PdGvW7w6Xf2tKZ8lKjJWd","DEHA INC.","RXCKSTAR","DEHA INC.",47,55,4,"960395"
48,"spotify:track:6MUv30zouC8LeRCB2VCcK3","Burak Bulut, Kurtuluş Kuş","Manolya","Mahzen Media",3,45,31,"952019"
49,"spotify:track:46f5m73YzI227nseI9LquF","Burcu Güneş","Anıları Yak","DOĞAN MÜZİK YAPIM",17,43,39,"938375"
50,"spotify:track:2uZ7RwAWJiLQUkupslGAVZ","Halodayı, Azer Bülbül","Aman Güzel Yavaş Yürü","Barış Plak",1,47,33,"934653"
51,"spotify:track:3XqVExsAlVN7UDcEUjwqmy","Semicenk","İlkbaharım Kışa Döndü","Eva Records & DMC",35,41,8,"934603"
52,"spotify:track:333y41DcVB1R1Ly1vPNFKO","Lotusx","Nerdesin","Dip Müzik",52,73,5,"929363"
53,"spotify:track:6dqkb11C20YDLZNhNAzWxz","Aleyna Tilki","Ayrı Gitme","DOĞAN MÜZİK YAPIM",32,46,25,"901879"
54,"spotify:track:5flH7FY4ledAQboO5a0XQ5","UZI, Mavi","SENIN UGRUNA","Ava Music / Avrupa Müzik",1,48,74,"895493"
55,"spotify:track:4Sng3wnol2Gb2yXgFdr9lj","Dolu Kadehi Ters Tut, Sedef Sebüktekin","Gitme","Dolu Kadehi Ters Tut",13,49,254,"891847"
56,"spotify:track:0Rb3Zf4wemUX45NNoo5H0L","Ebru Yaşar, Siyam","Yoksun","EY Müzik & Mahzen Media",56,-1,1,"861929"
57,"spotify:track:10n66m41IGjA2ZulKPK7Ew","Madrigal","Seni Dert Etmeler","AVRUPA MÜZİK YAPIM",1,51,200,"849523"
58,"spotify:track:13THdxqHT11aSk3G8nUDzZ","Mavi Gri","Altüst Olmuşum","Mavi Gri",11,56,137,"839654"
59,"spotify:track:1yNlQwfPdHQg1ynxfBbk2a","Murat Dalkılıç, Boygar","Leyla","DOĞAN MÜZİK YAPIM",38,50,8,"820237"
60,"spotify:track:2PaQb8AtQqIxawPA2O7Vaw","Kubilay Karça","Celladına Aşık","Wovie",6,60,38,"791186"
61,"spotify:track:4Sdj67b8WF9PhAXh4tvBi6","Semicenk, Doğu Swag","Pişman Değilim","EVA RECORDS",1,62,36,"785614"
62,"spotify:track:63PMAvGnETFoRUPXr440eI","Dedublüman, Mavzer Tabancas","En Dibine Kadar","AVRUPA MÜZİK YAPIM",60,63,57,"776700"
63,"spotify:track:408CB6C3xSUJJJpMopjJ1y","Mert Demir","Cehennemin Dibi","Pale Records",42,71,7,"772238"
64,"spotify:track:2Id54XtcFLHSe0JNfHR45k","BLOK3","YAPTIRICAZ TIRNAKLARINI","Mundo Music",10,70,41,"772117"
65,"spotify:track:7dWOeNUJfixlvUcpZD90YE","Semicenk","Sevecek Sandım","Eva Yapım & Eva Records",3,58,68,"766263"
66,"spotify:track:2AcCBpYHVbeV2IUU4iHP2Y","Yüzyüzeyken Konuşuruz","Tutun Sen Bana","SONY MUSIC TURKEY",32,59,30,"763668"
67,"spotify:track:4FmvHUteJvJa0z2HjXrlRM","Ati242","Telefon","SST",52,65,28,"762401"
68,"spotify:track:4wLpDd099QT7TmNpMkFIvT","UZI","ZOR","Ava Music / Avrupa Müzik",9,74,74,"756413"
69,"spotify:track:6Q0LyWaNDsLi6KefnEKAMd","Gülden Karaböcek","Sen Evlisin","Jet Plak Kaset",68,68,7,"756038"
70,"spotify:track:3WCrBnWabeuTk2wr6UwaYV","BLOK3","AFFETMEM","Mundo Music",2,66,56,"753339"
71,"spotify:track:3Ei2OxIID6rSuPkvp6dIGP","DEHA INC., Şehinşah, Reckol, 13 Killoki","#PHONKFREESTYLE","DEHA INC.",52,52,2,"750869"
72,"spotify:track:01zrETrdU6ywRoqXZXBfbV","Borqy","Sağlam Kalça","OSC ENM.",2,57,27,"747511"
73,"spotify:track:6LATAa81iyMHWhXgI4VHwL","Mabel Matiz","Numaracı","Pose Records",23,64,29,"741004"
74,"spotify:track:6UX8nGE5sT7FsUAgQILD6X","Kibariye","Lafı mı Olur","ANADOLU TUR REKLAM",2,61,20,"740931"
