rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2DkiFEQ1ihXcYKaIRsfGFp","Marracash","LEI","Universal Music Italia srL.",1,1,3,"2568638"
2,"spotify:track:62OO2X47vPk5WxTx68HDqg","Artie 5ive, Niky Savage","BAMBOLA (feat. Niky Savage)","Warner Music",2,5,3,"2363137"
3,"spotify:track:41lOxc6ARYZPXpKeMWcHsD","Pinguini Tattici Nucleari","Islanda","Epic",1,9,7,"2056547"
4,"spotify:track:4X4R6qsIicxIQIFbnDcJLO","Olly, JVLI","Scarabocchi","Epic",4,8,10,"1906255"
5,"spotify:track:2L16IuIQgLL1HupWGN4F4t","Cesare Cremonini","Ora che non ho più te","Universal Music Italia srL.",1,10,15,"1837685"
6,"spotify:track:1QcmAp6Ev2HuYxKujUwnw0","Alfa","il filo rosso","Artist First",2,12,11,"1836377"
7,"spotify:track:5nFyfjGy6AMZqkW0OMUWJJ","Olly, Angelina Mango, JVLI","Per due come noi","Epic",1,14,17,"1818418"
8,"spotify:track:4MtjrbmBKdYRMTyEHqOUmM","Marracash","GLI SBANDATI HANNO PERSO","Universal Music Italia srL.",2,6,3,"1764403"
9,"spotify:track:2O8jjjtyEfXliQ6vdtdPvH","Papa V, Nerissima Serpe, Fritu","Tip Tap","UNIKAL",3,4,5,"1750689"
10,"spotify:track:00URgxWgyVoybGLhhmKr7g","Baby Gang, Omega, Higashi, Roberto Ferrante","Tu Me Quieres - Prod. by Higashi x Roberto Ferrante","Baby Gang / Planet Records [Powered by Planet Distribution]",10,17,16,"1609158"
11,"spotify:track:3yFgWoossjlaJ919XDCG4C","Simba La Rue, FT Kings, Sick Luke","MI PIACCIONO LE ARMI","Warner Music",1,18,11,"1452161"
12,"spotify:track:3XOcMFFT6Oo2ZCXLJ9lqdT","Geolier, Rose Villain, Poison Beatz","TU ED IO (feat. Rose Villain)","Warner Music",8,22,6,"1379422"
13,"spotify:track:2gI2IA7QGtzKZKuahon3W1","Achille Lauro","Amore Disperato","Warner Music",5,20,15,"1351843"
14,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",14,33,11,"1343825"
15,"spotify:track:7sj9VfVtmcEZBDbRAsVXWY","ANNA, Niky Savage","TT LE GIRLZ (feat. Niky Savage)","Universal Music Italia srL.",1,29,27,"1334532"
16,"spotify:track:1ej2NcW0CHnscPp1RZpr1V","Olly, JVLI","Devastante","Epic",9,32,43,"1207455"
17,"spotify:track:6hBvXhUosokAqnc701pVE1","Marracash","È FINITA LA PACE","Universal Music Italia srL.",3,13,3,"1195778"
18,"spotify:track:1nLGeFQuY7PFxrou3ezEvP","Sal Da Vinci","Rossetto e caffè","Cose Production srl",10,39,25,"1172975"
19,"spotify:track:1GVDt0vn0wJ1QemPfMEWTU","Ghali","Niente Panico","Warner Music",16,35,12,"1146032"
20,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",20,40,20,"1109033"
21,"spotify:track:75Y6WgUldQN8mipAVLy8KJ","Olly, JVLI","Quei ricordi là","Epic",19,41,10,"1085030"
22,"spotify:track:6d9eOuVkzV4XJ8YIWM3Q1k","Tony Effe, Kid Yugi, Sick Luke","PEZZI DA 100 (feat. Kid Yugi)","Universal Music Italia srL.",22,38,4,"1079837"
23,"spotify:track:3OewdIjWctx4TH6jswXRrc","Pinguini Tattici Nucleari","Amaro","Epic",11,31,4,"1068577"
24,"spotify:track:19DHPlTC2gx1j4jrFzNbwL","ANNA","30ºC","Universal Music Italia srL.",1,52,31,"1061243"
25,"spotify:track:0wHW7nZlqZqbxnmTotTLGp","Marracash","POWER SLAP","Universal Music Italia srL.",1,16,3,"1040149"
26,"spotify:track:1IkzT4wzFJRbFOmKOSqTen","Geolier, Takagi & Ketra, Dat Boi Dee","EPISODIO D'AMORE","Warner Music",7,36,30,"1033261"
27,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",5,50,27,"1018877"
28,"spotify:track:4ZRVI6xwgbjgW5SgJB468n","ANNA, Artie 5ive","I LOVE IT (feat. Artie 5ive)","Universal Music Italia srL.",3,55,27,"1011801"
29,"spotify:track:5MJc4IVIt17xEt6angtZcq","Lazza","BUIO DAVANTI","Universal Music Italia srL.",8,42,15,"999840"
30,"spotify:track:0CCWIksRK4Q3um834dNG3a","Pinguini Tattici Nucleari","Romantico Ma Muori","Epic",7,51,16,"939707"
31,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",31,76,8,"909306"
32,"spotify:track:0GFkLnsRGqtkd23dFWpoI0","Lele Blade, Geolier, Dele, Poison Beatz","HEETS (feat. Geolier)","Warner Music",5,43,10,"906605"
33,"spotify:track:13wkp4Ph4UNAVPwf9B04l8","Marracash","VITTIMA","Universal Music Italia srL.",6,23,3,"896085"
34,"spotify:track:2wpSLqGcN5KXVeAGdAnQd0","Ornella Vanoni, Jack Sani","Sant'allegria - Jack Sani Remix","NAR International",34,64,19,"868926"
35,"spotify:track:3zjwZqLebYTDvRS2RJH5Be","ANNA, Sillyelly","HELLO KITTY (feat. Sillyelly)","Universal Music Italia srL.",15,62,27,"867911"
36,"spotify:track:7BeZyW4hVjeCocSLwDrCME","Geolier, Michelangelo","I P’ ME, TU P’ TE","Warner Music",1,61,48,"856493"
37,"spotify:track:6OCnAtM8oa0JymErlTYXxG","Astro, ANNA","1 MOMENTO (feat. ANNA)","Warner Music",6,60,13,"846090"
38,"spotify:track:6MQYhSIrh9vwztmM6mwkzQ","Kid Yugi, Night Skinny, Artie 5ive","Porto il Commerciale (feat. Artie 5ive)","Universal Music Italia srL.",38,69,39,"819229"
39,"spotify:track:2z9FUHRkbkV4BObNzbHsFU","Damiano David","Born With a Broken Heart","Sony Music Italy / Arista Records",39,63,10,"814780"
40,"spotify:track:3o9OeBX0vgh51r15Ta7Dok","CoCo, Geolier, Startuffo, D-Ross","Video hot (feat. Geolier)","Warner Music",15,56,8,"809207"
41,"spotify:track:0U2mw5WWH5LmeqHl59uWUh","Simba La Rue, FT Kings","VRP","Warner Music",24,53,14,"793723"
42,"spotify:track:30yZdVYOfemHG7uuntz7HH","ANNA","TONIGHT","Universal Music Italia srL.",30,79,27,"752003"
43,"spotify:track:3bQBpGIlToMHfyKtKZwOyN","Marracash","DETOX / REHAB","Universal Music Italia srL.",7,30,3,"738352"
44,"spotify:track:1zp4TEQ9zaNGXTjY6fsz1p","Capo Plaza, ANNA","Soldi Arrotolati (feat. ANNA)","Warner Music",5,82,35,"731824"
45,"spotify:track:3EJSUFQGUaTm4Km2Zri1Zp","JVLI, Emma, Olly","HO VOGLIA DI TE","Universal Music Italia srL.",15,84,29,"721711"
46,"spotify:track:347HJzwbn0cmrxJUmAXj5c","Geolier, Dardust","MAI PER SEMPRE","Warner Music",9,75,7,"721309"
47,"spotify:track:3pR6j5Zhl7Qbrv4lh3DTG5","Tony Effe, Gaia","SESSO E SAMBA (feat. Gaia)","Universal Music Italia srL.",1,98,32,"716138"
48,"spotify:track:42wdz3j7gstgUuhoFLCXqd","FloyyMenor","PELIGROSA","FloyyMenor under exclusive license to UnitedMasters LLC",41,89,19,"710799"
49,"spotify:track:5HWWpSsNnlc2Kyh5QLrq1W","Tananai","RAGNI","Universal Music Italia srL.",16,92,17,"703963"
50,"spotify:track:0Op5iGBVLyY0G1lDDRfEnf","Marracash","CRASH","Universal Music Italia srL.",5,37,3,"689868"
51,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",41,110,33,"687722"
52,"spotify:track:4Y60H8heDsEpQ2hin2g6V5","Don Pero","Baby Mama","Pulp Entertainment",22,88,97,"676059"
53,"spotify:track:3Npk1eTTxSkRNYet4PW2yY","thasup, Mara Sattei","POSTO MIO","Thasup s.r.l.",27,77,3,"675282"
54,"spotify:track:1A1xTBtNnJ09JNINiLjdOK","Ultimo","ALTROVE","Ultimo Records",19,103,34,"671845"
55,"spotify:track:7dYgUWAIXFUniq5S2OkDZC","ANNA","WHY U MAD","Universal Music Italia srL.",55,101,6,"669176"
56,"spotify:track:79wDKThuLEgiQwJ0onVs3s","Tony Boy, Shiva","Perdono (feat. Shiva)","Warner Music",7,49,4,"668589"
57,"spotify:track:2ceJa7d62wQ3eRBK589ALG","Shiva, Kid Yugi","Gotham (feat. Kid Yugi)","Milano Ovest",2,87,17,"653832"
58,"spotify:track:0ngRr9jrwrd4bhltVSHTEb","Marracash","SOLI","Universal Music Italia srL.",9,44,3,"650396"
59,"spotify:track:5oJVfPUHsD7A8bZtKVqgL2","Geolier, Ultimo, Takagi & Ketra","L'ULTIMA POESIA (feat. Ultimo)","Warner Music",2,83,41,"640941"
60,"spotify:track:5JgTIfS7FfSE9tuebzX8HC","Night Skinny, Nerissima Serpe, Papa V","Tessera sanitaria (feat. Nerissima Serpe & Papa V)","Universal Music Italia srL.",7,85,12,"639994"
61,"spotify:track:5EPfp1edrw1vgxriqxLTlD","RRARI DAL TACCO","CAFFÈ AMARO","Universal Music Italia srL.",61,158,4,"635245"
62,"spotify:track:3WS0TcakSQfE0t1fFTQwDW","Marracash","PENTOTHAL","Universal Music Italia srL.",13,45,3,"629089"
63,"spotify:track:2fgOUiGsgelBOjH8ZTSJHs","Tony Boy, ANNA","Codeine (feat. ANNA)","Warner Music",34,105,4,"624176"
64,"spotify:track:4ySxBjhmdnkeFUqhKxW3cY","Sfera Ebbasta","Visiera A Becco","Universal Music Italia srL.",43,116,204,"619938"
65,"spotify:track:1tIGa9fXqu3T3AikU5G8Ds","Geolier, Michelangelo","PER SEMPRE","Warner Music",26,97,30,"608046"
66,"spotify:track:5omIW7YOPhA6CULhkdz6jE","Tedua, Baby Gang, Kid Yugi","Paradiso Artificiale (feat. Baby Gang & Kid Yugi)","Epic",2,91,83,"607237"
67,"spotify:track:5LDmD4cFF0C8BCf3tVvyBW","Tedua, Annalisa","Beatrice (feat. Annalisa)","Epic",1,96,32,"603797"
68,"spotify:track:0HiHVL8iC1Z1kAjV6vZdIo","Tony Boy, Frah Quintale, Capo Plaza","Non mi basta mai (feat. Frah Quintale, Capo Plaza)","Warner Music",13,81,4,"603488"
69,"spotify:track:2esZG2XFtuoWWA9AfDvSxy","FloyyMenor, Cris Mj","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",2,125,43,"592164"
70,"spotify:track:1oBM9JTuD0wqfVQ8iuLjLQ","Artie 5ive, Ddusi, Sadturs, KIID","64 BARRE IN FACCIA (Red Bull 64 Bars)","Warner Music",45,78,17,"587664"
71,"spotify:track:0lXVWzLwDnKB7Ro5p0AJPg","Rose Villain, Guè","COME UN TUONO (feat. Guè)","Warner Music",1,130,43,"587499"
72,"spotify:track:0qeIFEGRQqHoaJtLCl0U73","Myke Towers, benny blanco","DEGENERE 👑 (feat. benny blanco)","WEA Latina",72,126,8,"583820"
73,"spotify:track:4I2SWtTgB08SICbqN6983B","ANNA, Lazza","BBE (feat. Lazza)","Universal Music Italia srL.",4,113,34,"583802"
74,"spotify:track:2wriIDkmJi8ouCfNi985KT","ANNA","UNA TIPA COME ME","Universal Music Italia srL.",64,127,27,"581846"
75,"spotify:track:5Tte5M4saQ25z2ZI83wgYU","Le-one, Christian Liguori, Babywyne","NUN È OVER","Epic",28,111,12,"580755"
76,"spotify:track:0mEyPi2ya8h8632gp9XmmQ","Night Skinny, Tony Boy, Kid Yugi, Capo Plaza","Entro nel posto (feat. Tony Boy, Kid Yugi & Capo Plaza)","Universal Music Italia srL.",1,109,12,"576103"
77,"spotify:track:4ObR0HIDnDfycaxGTALioH","Geolier, Dat Boi Dee","CHE SOLE OGGI","Warner Music",15,106,6,"575980"
78,"spotify:track:2l4NKSQbBA3sV0nxpNjSkj","Lazza","100 MESSAGGI","Universal Music Italia srL.",1,119,45,"574875"
79,"spotify:track:14siwDD1osf77j5kwQnlQ4","Marracash","FACTOTUM","Universal Music Italia srL.",16,54,3,"573130"
80,"spotify:track:6bN41HjY008ggroMFxNLaa","Sfera Ebbasta, Geolier, Simba La Rue, Baby Gang","Calcolatrici","Universal Music Italia srL.",1,117,59,"571930"
81,"spotify:track:05wb6MEyJeG2z1MVCIXxC8","Sfera Ebbasta, Marracash","15 Piani","Universal Music Italia srL.",1,107,59,"566443"
82,"spotify:track:69VAE3LA7jn5rGAsdflMOS","Geolier, Poison Beatz","EL PIBE DE ORO","Warner Music",5,134,34,"566193"
83,"spotify:track:5EeDZPNPIjEtEZsHMkX1m7","Kid Yugi","Donna","Universal Music Italia srL.",3,124,10,"566174"
84,"spotify:track:1yZIX0bRGjVH6CqyUW8Dkw","Tananai, Annalisa","STORIE BREVI","Universal Music Italia srL.",5,139,30,"561466"
85,"spotify:track:7KTseTI8UdMT4WUIOmjTQC","TY1, Kid Yugi, Nerissima Serpe","MONOPOLIO (feat. Kid Yugi, Nerissima Serpe)","Thaurus",85,131,48,"558050"
86,"spotify:track:0p4TRJB0KEBaeC5yBwLzNL","Shiva, Paky","Digos","Milano Ovest",47,47,2,"538998"
87,"spotify:track:7MMJa7cjMadOSR6CFWvB1x","Coez","La musica non c'è","Undamento",1,169,251,"537364"
88,"spotify:track:0xEgDBXYO9gGzmxCFWKxNg","Marracash","CRUDELIA - I nervi","Universal Music Italia srL.",2,132,259,"526333"
89,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",84,140,12,"524010"
90,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",19,137,49,"522965"
91,"spotify:track:55aJJZPGLrIjI0nYYb7Bul","Lazza, Lil Baby","CANZONE D'ODIO (feat. Lil Baby)","Universal Music Italia srL.",1,141,15,"516868"
92,"spotify:track:1CGqE43Inhm54oPCMrgF7S","SETTEMBRE","VERTEBRE","Isola degli Artisti",66,112,6,"516059"
93,"spotify:track:1BJJbSX6muJVF2AK7uH1x4","Adam Port, Stryv, Keinemusik, Orso, Malachiii","Move","Keinemusik",18,176,29,"510199"
94,"spotify:track:1j7NJW5M4YLFbXFa8kFBaS","Marracash","MI SONO INNAMORATO DI UN AI","Universal Music Italia srL.",15,59,3,"504884"
95,"spotify:track:7nRFsITVaSHko2Fw2Gcy59","Gazzelle","Destri","Artist First / Maciste Dischi",2,150,223,"503167"
96,"spotify:track:62UEDjQEgBx7GDKDiSoz3i","Tananai","BOOSTER","Universal Music Italia srL.",96,164,8,"494554"
97,"spotify:track:1CJNj8Qnpoz6lyil9EgqfE","Astro, Simba La Rue","SPENDERE (feat. Simba La Rue)","Warner Music",10,135,13,"494030"
