rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:5ETFNSZAqO6A66VrgXkd6v,"Marwan Pablo, Abyusif",KARMA,Quality Clique,559464,1,9,EGY,2025-01-30,5ETFNSZAqO6A66VrgXkd6v
2,spotify:track:2Cs1t49qL52fPt6ikx15wp,"Afroto, ONUY",KEBDA,The Basement Records,500421,1,21,EGY,2025-01-30,2Cs1t49qL52fPt6ikx15wp
3,spotify:track:6Ei2nL7KdzySKg6LbdY5Up,Eslam Kabonga,انا مش ديلار يا حكومه,Islam Kabonga,478168,3,4,EGY,2025-01-30,6Ei2nL7KdzySKg6LbdY5Up
4,spotify:track:0kZtRxxBDbMO4vZApAiNOZ,Youssif Elashry,اتنسينا,Modissa - Youssif Elashry,436909,1,14,EGY,2025-01-30,0kZtRxxBDbMO4vZApAiNOZ
5,spotify:track:0D42n56xXQz7Evg8eyhVdo,Shehab,ستاموني,Shehab,424441,4,13,EGY,2025-01-30,0D42n56xXQz7Evg8eyhVdo
6,spotify:track:1VQx8TpKEv8uWQ1awwPX5f,"Tommy Gun, Rally",Emshy,M —— TOWN RECORDS,393160,5,5,EGY,2025-01-30,1VQx8TpKEv8uWQ1awwPX5f
7,spotify:track:6Dq2DQcuQayjhTiw4jhT89,"مصطفي الجن و هادي الصغير - تيم الابداع, Mostafa Elgen, Hady El Soghayar",كاتم الانفاس - محطوط تشكيل,Mostafa El Gen,378956,7,5,EGY,2025-01-30,6Dq2DQcuQayjhTiw4jhT89
8,spotify:track:01O9Ijz8tcyllso5VJ6w75,Tamer Ashour,Makrehtosh,The Basement Records,368919,8,2,EGY,2025-01-30,01O9Ijz8tcyllso5VJ6w75
9,spotify:track:2Heqj9jtxarmecKxycGSWn,Tamer Ashour,هيجيلي موجوع,Tamer Ashour,361495,1,55,EGY,2025-01-30,2Heqj9jtxarmecKxycGSWn
10,spotify:track:2nQeY3iJpE57Rnc7r8z2Qx,Bahaa Sultan,انا من غيرك,Sony Music Entertainment,351678,1,14,EGY,2025-01-30,2nQeY3iJpE57Rnc7r8z2Qx
11,spotify:track:77KkVJB8SLW6mZvYOxYWV6,Magdy El Zahar,عشري بيعني انا,Hebesha Production,347149,1,31,EGY,2025-01-30,77KkVJB8SLW6mZvYOxYWV6
12,spotify:track:3tfiVsnpCzewE8rPpsRIL6,Shehab,عالعموم,Shehab,315775,1,49,EGY,2025-01-30,3tfiVsnpCzewE8rPpsRIL6
13,spotify:track:0rDNeS6IwKi1oMrtkEc5S0,Ilmond,Yazmeely,Muhab,309306,2,79,EGY,2025-01-30,0rDNeS6IwKi1oMrtkEc5S0
14,spotify:track:45VT46xVVf2haISCNCdt6U,Tamer Ashour,Yaah,The Basement Records,308198,9,6,EGY,2025-01-30,45VT46xVVf2haISCNCdt6U
15,spotify:track:2lygVhKHBUzEGMJXljHOV2,Lege-Cy,El Neyya,,298009,7,23,EGY,2025-01-30,2lygVhKHBUzEGMJXljHOV2
16,spotify:track:2FFtVrD5IEy4pgY1DFz8nV,Youssif Elashry,انتي فاكره نفسك ايه ؟,Modissa - Youssif Elashry,284638,7,63,EGY,2025-01-30,2FFtVrD5IEy4pgY1DFz8nV
17,spotify:track:5LcThJzvvRzOZZb4apH9Px,زاد,Ana Meen,WKS LTD,273655,4,23,EGY,2025-01-30,5LcThJzvvRzOZZb4apH9Px
18,spotify:track:2NF0gMDLnJSaqIfj0SvrDi,Tamer Ashour,Tegy Ntrahn,Tamer Ashour,256555,10,159,EGY,2025-01-30,2NF0gMDLnJSaqIfj0SvrDi
19,spotify:track:5BiSAqXhrMRoxvDd34vBXT,Ramy Sabry,لما بيوحشني,Ramy Sabry,254545,15,91,EGY,2025-01-30,5BiSAqXhrMRoxvDd34vBXT
20,spotify:track:0Zeh4nKHG4g8qp5oEnNDhQ,Tamer Ashour,Youm Ma Tensa,The Basement Records,237873,15,2,EGY,2025-01-30,0Zeh4nKHG4g8qp5oEnNDhQ
21,spotify:track:6AvhXZErJVyLcTPGWyriJr,Muslim - مُسلِم,Etabelna,Global,236428,10,36,EGY,2025-01-30,6AvhXZErJVyLcTPGWyriJr
22,spotify:track:2OSxxCfS81wcds5RbQ0Ztq,TUL8TE,حبيبي ليه,MDLBEAST Records,233395,1,27,EGY,2025-01-30,2OSxxCfS81wcds5RbQ0Ztq
23,spotify:track:0TnD2vJ9M91YXbBQqhK8lU,Wael Jassar,ظروف معنداني,Sharqi Production,232950,14,102,EGY,2025-01-30,0TnD2vJ9M91YXbBQqhK8lU
24,spotify:track:6m8vcn1JPflk8xBoFsaPDP,Marwan Pablo,El Mabda2,Quality Clique,229843,1,62,EGY,2025-01-30,6m8vcn1JPflk8xBoFsaPDP
25,spotify:track:50a2GGMcmDCMKTo73OppNW,Ramy Sabry,Seket Leh,Egypt Linx,229663,25,33,EGY,2025-01-30,50a2GGMcmDCMKTo73OppNW
26,spotify:track:44mSr8Olgi1u3Wa5WyAUqn,Fares Sokar - فارس سكر,الحب الحب سنيوريتا,Global,229055,26,8,EGY,2025-01-30,44mSr8Olgi1u3Wa5WyAUqn
27,spotify:track:5ks7fVLJY4QRlAALIqJfMR,TUL8TE,ماتيجي اعدي عليكي,MDLBEAST Records,228809,2,27,EGY,2025-01-30,5ks7fVLJY4QRlAALIqJfMR
