rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:1rDAxzBd3KhzIAZyTZylmX,Fido,Joy Is Coming,CiDAR Africa,1370206,1,6,NGA,2025-01-30,1rDAxzBd3KhzIAZyTZylmX
2,spotify:track:5gmG0qTseSvG2gdMfOId3L,"Davido, ODUMODUBLVCK, Chike",Funds (feat. ODUMODUBLVCK & Chike),Columbia,1217579,1,8,NGA,2025-01-30,5gmG0qTseSvG2gdMfOId3L
3,spotify:track:6JvWMLscnWYkgX1zPufIGT,Wizkid,Kese (Dance),Starboy/RCA Records,880717,1,12,NGA,2025-01-30,6JvWMLscnWYkgX1zPufIGT
4,spotify:track:2pNjk1fIZTMtj8ry6SdEmB,"Faceless, Serøtonin",Venus,2024 Faceless/LVRN Records (Love Renaissance),823821,4,9,NGA,2025-01-30,2pNjk1fIZTMtj8ry6SdEmB
5,spotify:track:20l4NPs2c9OBKBKUKRjxIy,Monaky,Chandelier,TKM Entertainment,818676,5,10,NGA,2025-01-30,20l4NPs2c9OBKBKUKRjxIy
6,spotify:track:6slrSrrOXJGgUcDFjmNP3T,Naira Marley,Pxy Drip,Marlian Music,814591,6,7,NGA,2025-01-30,6slrSrrOXJGgUcDFjmNP3T
7,spotify:track:1136eJrkWsDvReASbjLTaU,Fido,Awolowo,Heatwave Records,779733,1,24,NGA,2025-01-30,1136eJrkWsDvReASbjLTaU
8,spotify:track:3H2bLX6U4kNuv04iTkCrSp,"Kvng Vinci, Zerrydl",HAUSAPIANO - Remix,Heatwave Records,755601,4,13,NGA,2025-01-30,3H2bLX6U4kNuv04iTkCrSp
9,spotify:track:3ZR7IlqBPK8TrJyZYfFX9L,"FOLA, Bella Shmurda",who does that? (feat. Bella Shmurda),Dangbana Republik Records / EMPIRE,744844,9,8,NGA,2025-01-30,3ZR7IlqBPK8TrJyZYfFX9L
10,spotify:track:10y7iW3rc8bzGbhAC3mNPA,Ayo Maff,Are you there?,AYO MAFF,739076,3,24,NGA,2025-01-30,10y7iW3rc8bzGbhAC3mNPA
