rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:24fRfn3FOM4xk02aE4wief,"Oscar Mbo, Jazzworx, Thukuthela",Vuka (feat. Thukuthela),The Ashmed Hour Records,635215,1,4,ZAF,2025-01-30,24fRfn3FOM4xk02aE4wief
2,spotify:track:7MD8gswt08VhFwVF1PR8Mg,"Mr Pilato, Ego Slimflow, Tebogo G Mashego, Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma, CowBoii","Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",New Money Gang Records,464022,1,12,ZAF,2025-01-30,7MD8gswt08VhFwVF1PR8Mg
3,spotify:track:2LeOHKRLm1Bz7eeNVinUYs,Nontokozo Mkhize,Esandleni,Sginci Media / EMPIRE,455863,3,8,ZAF,2025-01-30,2LeOHKRLm1Bz7eeNVinUYs
4,spotify:track:021iZJ1jjc6cZZ4sMXvcW9,"Naledi Aphiwe, Mawelele",Romeo & Juliet,Naledi Aphiwe,418840,4,2,ZAF,2025-01-30,021iZJ1jjc6cZZ4sMXvcW9
5,spotify:track:0DGP0pRR8yz4OW2xxjIskt,"Issa sisdoh, Ancestral Rituals",Vuma Dlozi Lami (feat. Ancestral Rituals),Issa Sisdoh,385076,4,14,ZAF,2025-01-30,0DGP0pRR8yz4OW2xxjIskt
6,spotify:track:7hO6BIPeHb0Y5v9bgXoxKg,"Dlala Thukzin, Zeh McGeba, MK Productions",Sohlala Sisonke,Dlala Records (PTY) Ltd,381144,5,18,ZAF,2025-01-30,7hO6BIPeHb0Y5v9bgXoxKg
7,spotify:track:4zZxynw8cwhCRlDl9pay2f,"Khathapillar, Sol Phenduka, Smash SA, Kamoh Xaba",Diqabang,Unity Music Africa,369404,2,30,ZAF,2025-01-30,4zZxynw8cwhCRlDl9pay2f
8,spotify:track:1blpjqXA4y03pWHnDbhs9l,"Kelvin Momo, Da Muziqal Chef, Tracy, Thatohatsi",Bo Gogo (feat. Tracy & Thatohatsi),Kelvin Momo Productions,361691,7,7,ZAF,2025-01-30,1blpjqXA4y03pWHnDbhs9l
9,spotify:track:0AQfRLzd7pQZcLtfh9Onb8,"Mellow & Sleazy, Scotts Maphuma, Mr Pilato, Seemah, Yanda Woods",Shayi'Moto (feat. Seemah & Yanda Woods),Mellow and Sleazy (Pty) Ltd,319679,4,12,ZAF,2025-01-30,0AQfRLzd7pQZcLtfh9Onb8
10,spotify:track:6txAWGckgEGJIhLjhNdtE9,Chris Brown,Residuals,Chris Brown Entertainment/RCA Records,310112,10,38,ZAF,2025-01-30,6txAWGckgEGJIhLjhNdtE9
11,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,299457,5,24,ZAF,2025-01-30,2plbrEY59IikOBgBGLjaoe
12,spotify:track:5tIt860TkOItU0BRafiyzd,Mthandeni SK,Sigade Umzila,Mthandeni Music Production,297155,11,9,ZAF,2025-01-30,5tIt860TkOItU0BRafiyzd
13,spotify:track:6eyJuobFFGXLAOOkxrIdSV,"Mawelele, Kwesta",All My Life,ONE FIFTY EMPIRE / gamma. Africa,296320,4,22,ZAF,2025-01-30,6eyJuobFFGXLAOOkxrIdSV
14,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",288615,4,10,ZAF,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd
15,spotify:track:0prPe1VYMLkXi2RMlOGaU6,"Scotts Maphuma, Shaunmusiq, CowBoii",PIKIPIKI (feat. Cowboii),Gipa Entertainment,286420,14,7,ZAF,2025-01-30,0prPe1VYMLkXi2RMlOGaU6
16,spotify:track:34eKUydsaj9GeMTT1ybutO,"Kabza De Small, Vigro Deep, DJ Maphorisa, Scotts Maphuma, Young Stunna",Wishi Wishi (feat. Scotts Maphuma & Young Stunna),Piano Hub,279632,1,15,ZAF,2025-01-30,34eKUydsaj9GeMTT1ybutO
17,spotify:track:2xXwT5A5sbPXJLtXasPSIY,"Kelvin Momo, Sino Msolo, Stixx, Mashudu",Waze Wamuhle (feat. Mashudu),Kelvin Momo Productions,270843,6,7,ZAF,2025-01-30,2xXwT5A5sbPXJLtXasPSIY
18,spotify:track:2NUL19ktYaXmes18Cz7HPn,"WOODBLOCK DJS, Buzzi Lee, Kane Keid, Cassper Nyovest, Kwesta, Tony Dayimane, Mvelost, Set Off, Somololo",Skuta Baba - Remix,Universal Music (Pty) Ltd.,268799,3,8,ZAF,2025-01-30,2NUL19ktYaXmes18Cz7HPn
19,spotify:track:21fhgH4tjYcAKzkzCuYyr6,"Blaq Major, BLESS THE GENTLEMAN, DJ KAP",Sdakiwe Sbali (feat. Bless The Gentleman & DJ Kap),Wanitwa Mos Entertainment,267035,2,27,ZAF,2025-01-30,21fhgH4tjYcAKzkzCuYyr6
20,spotify:track:567NwM1L86vGvZwiZfCsMo,"Mthandeni SK, MaWhoo",Gucci,Mthandeni Music Production,265020,1,18,ZAF,2025-01-30,567NwM1L86vGvZwiZfCsMo
21,spotify:track:0dI8174H04ATp4iEw0WkrT,"2Point1, BelloM, EPIC DJ, DJ Seneath, X-Morizo","Sthandwa Sam (feat. BelloM, Epic DJ, DJ Seneath & X-Morizo)",2Point1 Music,257472,5,20,ZAF,2025-01-30,0dI8174H04ATp4iEw0WkrT
22,spotify:track:6VBfzBgHu8tFeeg2ZQO4gH,MENZI MUSIC,Wayengenalutho,MENZI MUSIC PRODUCTION,257260,22,7,ZAF,2025-01-30,6VBfzBgHu8tFeeg2ZQO4gH
23,spotify:track:1AXW0WnNUceegJHGl3HWlJ,Sminofu,Rush Hour,Maskandi Heavyweight / EMPIRE,257071,15,12,ZAF,2025-01-30,1AXW0WnNUceegJHGl3HWlJ
24,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,248272,17,15,ZAF,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
25,spotify:track:79r4mAwHBAB1x5QnImlUM6,"Mshinwemali, Shenge wasehlalankosi",Ncono Siyeke,Insika Yethonga,239460,20,18,ZAF,2025-01-30,79r4mAwHBAB1x5QnImlUM6
26,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,239267,5,37,ZAF,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
27,spotify:track:3jTedBPHIIr48xoJchYHNH,"Kharishma, Ba Bethe Gashoazen",Chokeslem,4397321 Records DK,235994,5,33,ZAF,2025-01-30,3jTedBPHIIr48xoJchYHNH
28,spotify:track:3RCMGDpJlWeEgCLhOz63oa,MENZI MUSIC,Ngiyakuthanda,MENZI MUSIC PRODUCTION,226308,28,7,ZAF,2025-01-30,3RCMGDpJlWeEgCLhOz63oa
29,spotify:track:6slJQ4C1xXTVspSBxQ5Nrt,"Vigro Deep, DJ Maphorisa, Kabza De Small, Uncool MC, Focalistic, Scotts Maphuma, Ricky Lenyora, Woza Sjax",A-Z (Yashi Moto),Universal Music (Pty) Ltd.,223147,15,8,ZAF,2025-01-30,6slJQ4C1xXTVspSBxQ5Nrt
30,spotify:track:2tUXE87QNnoVQZApV3uyVZ,"Zee Nxumalo, TBO, PYY Logdrum King, DJ Tearz, Dr Thulz",Ngisakuthanda,Platoon,216864,30,17,ZAF,2025-01-30,2tUXE87QNnoVQZApV3uyVZ
31,spotify:track:3H8XWGDteOl8nmUqeYrHw5,"Usimamane, Sjava",Uvalo,gamma. Africa,211913,1,20,ZAF,2025-01-30,3H8XWGDteOl8nmUqeYrHw5
32,spotify:track:1Cbl3Yq8rHo7hhDQmLQagU,Tyla,PUSH 2 START,FAX Records/Epic,209344,19,16,ZAF,2025-01-30,1Cbl3Yq8rHo7hhDQmLQagU
33,spotify:track:1hnB525vM5GrFr5AQIXQu8,"Caiiro, Ami Faku",Ndisize (feat. Ami Faku),OwnIt Music,204526,3,19,ZAF,2025-01-30,1hnB525vM5GrFr5AQIXQu8
34,spotify:track:1lOtpeO2I2cjvN2CvbnpGW,"Mduduzi Ncube, Fanatic SA, Stallin Matsitsa, Caeser, Ayanda Art",Dear Ex Yami,Nkabi Records,201535,34,13,ZAF,2025-01-30,1lOtpeO2I2cjvN2CvbnpGW
35,spotify:track:5nVQ2bPZjV9wlD2hboLe6l,LIMIT NALA,Awuhlabe Kabili,LIMIT NALA MUSIC,200608,35,8,ZAF,2025-01-30,5nVQ2bPZjV9wlD2hboLe6l
36,spotify:track:1DyNpDv4M8qBTthYIAPvqW,"Cyfred, Scotts Maphuma",Phuthuma,Cyfred holdings,200406,7,21,ZAF,2025-01-30,1DyNpDv4M8qBTthYIAPvqW
37,spotify:track:53wwaMp15eGyE12Cm7sxLa,Xolly Mncwango,Ungukuphila,Universal Music (Pty) Ltd.,198794,30,49,ZAF,2025-01-30,53wwaMp15eGyE12Cm7sxLa
38,spotify:track:1vk1AlStNzqLNvgi6vbNsK,"Nontokozo Mkhize, Thami Mthabela",Ngiyohlala (feat. Thami Mthabela),Sginci Media / EMPIRE,198005,38,1,ZAF,2025-01-30,1vk1AlStNzqLNvgi6vbNsK
39,spotify:track:219UdZ1b9vuUe45FK2JeWx,"Babalwa M, Stixx, Nvcho",Bo Thata,Mavuso Business Solutions,197064,13,14,ZAF,2025-01-30,219UdZ1b9vuUe45FK2JeWx
40,spotify:track:4mP0H0hKkZa7Y2sgVGfyq7,"NOMAKHOSINI, Mnqobi Yazo",Angisafuni Ngami,Loxion Records,195932,27,2,ZAF,2025-01-30,4mP0H0hKkZa7Y2sgVGfyq7
41,spotify:track:0BPSspDAsemhtQpcw1Xhpm,"Big Zulu, Azana, Malungelo",Amacala Othando,Nkabi Records,194479,41,1,ZAF,2025-01-30,0BPSspDAsemhtQpcw1Xhpm
42,spotify:track:5VI0jL3U1EVMKgh3e9KXZ6,"Dj Moscow, Brandon Dhludhlu, Cnethemba Gonelo, Frank Mabeat",Ungangilimazi (feat. Frank Mabeat),Sambo Records,193873,38,13,ZAF,2025-01-30,5VI0jL3U1EVMKgh3e9KXZ6
43,spotify:track:5pRsWnuWkwfnCsaSlxYrsj,Nontokozo Mkhize,Moyongcwele,Sginci Media / EMPIRE,190780,43,7,ZAF,2025-01-30,5pRsWnuWkwfnCsaSlxYrsj
44,spotify:track:62KQubjM0rmQ7L3VvybxrL,"Kelvin Momo, Da Muziqal Chef, Thatohatsi, Tracy",Vulani (feat. Thatohatsi & Tracy),Kelvin Momo Productions,186658,44,6,ZAF,2025-01-30,62KQubjM0rmQ7L3VvybxrL
45,spotify:track:2fOazsCfbGoDQqwxIJLUzG,Naledi Aphiwe,Ngiyabonga,Naledi Aphiwe,182717,45,47,ZAF,2025-01-30,2fOazsCfbGoDQqwxIJLUzG
46,spotify:track:1gM44tVZ9pfUe9v35Stp31,"Bassie, M-Touch, Ranger, Amaza, LeeMcKrazy, Tman Xpress",Kwelanga 2.0 (feat. Tman Xpress & LeeMcKrazy),Warner Music Africa,179518,2,34,ZAF,2025-01-30,1gM44tVZ9pfUe9v35Stp31
47,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,176693,15,18,ZAF,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
48,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",175375,5,10,ZAF,2025-01-30,0aB0v4027ukVziUGwVGYpG
49,spotify:track:3XqM8hLCEYlbnFjoWwqtFv,Chris Brown,Angel Numbers / Ten Toes,Chris Brown Entertainment/RCA Records,172086,15,64,ZAF,2025-01-30,3XqM8hLCEYlbnFjoWwqtFv
50,spotify:track:7JbLSEDlRdoJaXk5ddZae2,"Mthandeni SK, Lwah Ndlunkulu",Paris,Mthandeni Music Production,171430,4,77,ZAF,2025-01-30,7JbLSEDlRdoJaXk5ddZae2
1,spotify:track:24fRfn3FOM4xk02aE4wief,"Oscar Mbo, Jazzworx, Thukuthela",Vuka (feat. Thukuthela),The Ashmed Hour Records,640197,1,3,ZAF,2025-01-23,24fRfn3FOM4xk02aE4wief
2,spotify:track:7MD8gswt08VhFwVF1PR8Mg,"Mr Pilato, Ego Slimflow, Tebogo G Mashego, Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma, CowBoii","Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",New Money Gang Records,460716,1,11,ZAF,2025-01-23,7MD8gswt08VhFwVF1PR8Mg
3,spotify:track:7LTDINonhUaOiWTyN3AxCI,Nontokozo Mkhize,Esandleni,Sginci Media / EMPIRE,437680,3,7,ZAF,2025-01-23,7LTDINonhUaOiWTyN3AxCI
4,spotify:track:0DGP0pRR8yz4OW2xxjIskt,"Issa sisdoh, Ancestral Rituals",Vuma Dlozi Lami (feat. Ancestral Rituals),Issa Sisdoh,389550,4,13,ZAF,2025-01-23,0DGP0pRR8yz4OW2xxjIskt
5,spotify:track:7hO6BIPeHb0Y5v9bgXoxKg,"Dlala Thukzin, Zeh McGeba, MK Productions",Sohlala Sisonke,Dlala Records (PTY) Ltd,358932,5,17,ZAF,2025-01-23,7hO6BIPeHb0Y5v9bgXoxKg
6,spotify:track:4zZxynw8cwhCRlDl9pay2f,"Khathapillar, Sol Phenduka, Smash SA, Kamoh Xaba",Diqabang,Unity Music Africa,348423,2,29,ZAF,2025-01-23,4zZxynw8cwhCRlDl9pay2f
7,spotify:track:1blpjqXA4y03pWHnDbhs9l,"Kelvin Momo, Da Muziqal Chef, Tracy, Thatohatsi",Bo Gogo (feat. Tracy & Thatohatsi),Kelvin Momo Productions,306379,7,6,ZAF,2025-01-23,1blpjqXA4y03pWHnDbhs9l
8,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,296629,5,23,ZAF,2025-01-23,2plbrEY59IikOBgBGLjaoe
9,spotify:track:0AQfRLzd7pQZcLtfh9Onb8,"Mellow & Sleazy, Scotts Maphuma, Mr Pilato, Seemah, Yanda Woods",Shayi'Moto (feat. Seemah & Yanda Woods),Mellow and Sleazy (Pty) Ltd,293848,4,11,ZAF,2025-01-23,0AQfRLzd7pQZcLtfh9Onb8
10,spotify:track:2NUL19ktYaXmes18Cz7HPn,"WOODBLOCK DJS, Buzzi Lee, Kane Keid, Cassper Nyovest, Kwesta, Tony Dayimane, Mvelost, Set Off, Somololo",Skuta Baba - Remix,Universal Music (Pty) Ltd.,288625,3,7,ZAF,2025-01-23,2NUL19ktYaXmes18Cz7HPn
11,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",287937,4,9,ZAF,2025-01-23,2CGNAOSuO1MEFCbBRgUzjd
12,spotify:track:5tIt860TkOItU0BRafiyzd,Mthandeni SK,Sigade Umzila,Mthandeni Music Production,285482,11,8,ZAF,2025-01-23,5tIt860TkOItU0BRafiyzd
13,spotify:track:21fhgH4tjYcAKzkzCuYyr6,"Blaq Major, BLESS THE GENTLEMAN, DJ KAP",Sdakiwe Sbali (feat. Bless The Gentleman & DJ Kap),Wanitwa Mos Entertainment,278021,2,26,ZAF,2025-01-23,21fhgH4tjYcAKzkzCuYyr6
14,spotify:track:0prPe1VYMLkXi2RMlOGaU6,"Scotts Maphuma, Shaunmusiq, CowBoii",PIKIPIKI (feat. Cowboii),Gipa Entertainment,272830,14,6,ZAF,2025-01-23,0prPe1VYMLkXi2RMlOGaU6
15,spotify:track:34eKUydsaj9GeMTT1ybutO,"Kabza De Small, Vigro Deep, DJ Maphorisa, Scotts Maphuma, Young Stunna",Wishi Wishi (feat. Scotts Maphuma & Young Stunna),Piano Hub,272001,1,14,ZAF,2025-01-23,34eKUydsaj9GeMTT1ybutO
16,spotify:track:2xXwT5A5sbPXJLtXasPSIY,"Kelvin Momo, Sino Msolo, Stixx, Mashudu",Waze Wamuhle (feat. Mashudu),Kelvin Momo Productions,265943,6,6,ZAF,2025-01-23,2xXwT5A5sbPXJLtXasPSIY
