rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,768804,1,11,ARE,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh
2,spotify:track:2SR0alFA2oWYXSoePGTj0V,Jin,I’ll Be There,BIGHIT MUSIC,247878,2,14,ARE,2025-01-30,2SR0alFA2oWYXSoePGTj0V
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,180133,1,24,ARE,2025-01-30,2plbrEY59IikOBgBGLjaoe
4,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,142979,1,15,ARE,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
5,spotify:track:4z0vfU3JiAsl99ZHL29hMm,Jin,Close to You,"SORI NARLY, Studio Dragon, KEYEAST",133949,5,1,ARE,2025-01-30,4z0vfU3JiAsl99ZHL29hMm
6,spotify:track:7HaUkQ34NYlOXFFspHeoG6,"Jin, Taka",Falling (feat. Taka),BIGHIT MUSIC,118941,4,10,ARE,2025-01-30,7HaUkQ34NYlOXFFspHeoG6
7,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,110995,1,37,ARE,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
8,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,103268,3,18,ARE,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
9,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",88326,6,15,ARE,2025-01-30,7ne4VBA60CxGM75vw0EYad
10,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",85405,6,10,ARE,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd
11,spotify:track:2zbq6eS68i4NIJWekIuW1s,Dionela,Marilag,Universal Music Philippines Inc.,81655,10,11,ARE,2025-01-30,2zbq6eS68i4NIJWekIuW1s
12,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,74059,10,3,ARE,2025-01-30,3sK8wGT43QFpWrvNQsrQya
