rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:1hlHeIZ36Idpr57xPI8OCD,"Tenxi, Jemsii, Naykilla",Garam & Madu (Sakit Dadaku),Mighty Record,9105301,1,4,IDN,2025-01-30,1hlHeIZ36Idpr57xPI8OCD
2,spotify:track:6gjkHuMOR0CrN7Vb2NoEdg,Andmesh,Anugerah Terindah,HITS Records,8889010,1,10,IDN,2025-01-30,6gjkHuMOR0CrN7Vb2NoEdg
3,spotify:track:26KhLgFuPymkm1uiZkc6Rv,The Lantis,Bunga Maaf,WM Indonesia,7361479,2,8,IDN,2025-01-30,26KhLgFuPymkm1uiZkc6Rv
4,spotify:track:0daEJMXc3b4ZMTnvtHpuTt,.Feast,Nina,Sun Eater,6235319,2,23,IDN,2025-01-30,0daEJMXc3b4ZMTnvtHpuTt
5,spotify:track:0PtJbtW50jcvvswNPn3QGd,For Revenge,Serana,Didi Music,6048961,1,142,IDN,2025-01-30,0PtJbtW50jcvvswNPn3QGd
6,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,yung kai,blue,BMG Rights Management (US) LLC,5801241,3,11,IDN,2025-01-30,3be9ACTxtcL6Zm4vJRUiPG
7,spotify:track:2JekYbWANgDe54Dndi2I2C,Rony Parulian,Tak Ada Ujungnya,PT. Universal Music Indonesia,5650496,7,9,IDN,2025-01-30,2JekYbWANgDe54Dndi2I2C
8,spotify:track:70Wtp9jCA3ZhGAxV0pnwS7,Rio Clappy,Bunga Abadi,Rio Clappy,5109086,6,29,IDN,2025-01-30,70Wtp9jCA3ZhGAxV0pnwS7
9,spotify:track:7BgFlmOxrL7M1jVGoxqy37,"Ernie Zakri, Ade Govinda",Masing Masing,Universal Music Sdn Bhd,4988507,2,18,IDN,2025-01-30,7BgFlmOxrL7M1jVGoxqy37
10,spotify:track:2wAiFWjRupWmnDkQcu91MF,Hindia,Rumah Ke Rumah,Sun Eater,4512293,10,270,IDN,2025-01-30,2wAiFWjRupWmnDkQcu91MF
