rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:4ulroyDK6rN73nVkCkWhur,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",Sahiba,Warner Music India,7042012,1,10,IND,2025-01-30,4ulroyDK6rN73nVkCkWhur
2,spotify:track:3vCzLB6kS2lGcIpm1OOUsy,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",Ishq Hai,Netflix Music,6859427,1,7,IND,2025-01-30,3vCzLB6kS2lGcIpm1OOUsy
3,spotify:track:0eCajpR75pDW0r64U6hP2x,Anuv Jain,Jo Tum Mere Ho,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),5771923,1,25,IND,2025-01-30,0eCajpR75pDW0r64U6hP2x
4,spotify:track:4vHRQnzGcKEtqsLH70tAms,"Sachet-Parampara, Parampara Tandon, Kausar Munir","Raanjhan (From ""Do Patti"")",T-Series,5675262,2,15,IND,2025-01-30,4vHRQnzGcKEtqsLH70tAms
5,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,4684247,4,18,IND,2025-01-30,2plbrEY59IikOBgBGLjaoe
6,spotify:track:1hlbywc8Jhl1FFqJxAMabE,"Faheem Abdullah, Rauhan Malik, Amir Ameer",Ishq,Artiste First,4574539,2,44,IND,2025-01-30,1hlbywc8Jhl1FFqJxAMabE
7,spotify:track:4d2jV5fmX6hbRwaRbY39dt,Karan Aujla,Wavy,Karan Aujla Music,3851150,4,11,IND,2025-01-30,4d2jV5fmX6hbRwaRbY39dt
8,spotify:track:5zCnGtCl5Ac5zlFHXaZmhy,"Ram Sampath, Arijit Singh, Prashant Pandey","Sajni (From ""Laapataa Ladies"")",T-Series,3604164,1,39,IND,2025-01-30,5zCnGtCl5Ac5zlFHXaZmhy
9,spotify:track:5AnWrUzsrFgBvhn6dUElnr,"Sachin-Jigar, Amitabh Bhattacharya, Madhubanti Bagchi, Divya Kumar","Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,3596966,1,27,IND,2025-01-30,5AnWrUzsrFgBvhn6dUElnr
10,spotify:track:78BWCd70D1X6LMkDZm1UoF,Yo Yo Honey Singh,Millionaire,T-Series,3513862,3,22,IND,2025-01-30,78BWCd70D1X6LMkDZm1UoF
11,spotify:track:1hA697u7e1jX2XM8sWA6Uy,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Apna Bana Le,Zee Music Company,3498372,1,84,IND,2025-01-30,1hA697u7e1jX2XM8sWA6Uy
12,spotify:track:2ceeTJAzKy295Fm0VsaXtE,"Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,3095773,10,51,IND,2025-01-30,2ceeTJAzKy295Fm0VsaXtE
13,spotify:track:1dFrZr9eMUsFqeag04ClqD,Dhanda Nyoliwala,Russian Bandana,Universal Music India Pvt Ltd.,3063513,6,18,IND,2025-01-30,1dFrZr9eMUsFqeag04ClqD
14,spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",T-Series,3059466,2,296,IND,2025-01-30,2Fv2injs4qAm8mJBGaxVKU
