rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:78W4mTLIh4qoLu92W4IQhO,Mrs. GREEN APPLE,ライラック,Universal Music LLC,2971194,1,42,JPN,2025-01-30,78W4mTLIh4qoLu92W4IQhO
2,spotify:track:62x4EMPyCFF2Ohv7qDjalp,Mrs. GREEN APPLE,ダーリン,Universal Music LLC,2433833,2,2,JPN,2025-01-30,62x4EMPyCFF2Ohv7qDjalp
3,spotify:track:6DYV1GqwCTrvfPcjeFwjLt,Mrs. GREEN APPLE,ビターバカンス,Universal Music LLC,2415208,2,9,JPN,2025-01-30,6DYV1GqwCTrvfPcjeFwjLt
4,spotify:track:1KLg01cjnRsENoFhJWUTSd,Kenshi Yonezu,Plazma,Sony Music Labels Inc.,2237791,4,2,JPN,2025-01-30,1KLg01cjnRsENoFhJWUTSd
5,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2066445,1,15,JPN,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
6,spotify:track:0teqQ0PYqVDyyXJuPOyMhu,Mrs. GREEN APPLE,ケセラセラ,Universal Music LLC,1984744,3,93,JPN,2025-01-30,0teqQ0PYqVDyyXJuPOyMhu
7,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1909107,1,28,JPN,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU
8,spotify:track:3YML5IHoqWbw9c9vJJvrvM,Mrs. GREEN APPLE,Soranji,Universal Music LLC,1727977,8,119,JPN,2025-01-30,3YML5IHoqWbw9c9vJJvrvM
9,spotify:track:4PCQHOJFMV9BWq46UMVf2l,Mrs. GREEN APPLE,familie,Universal Music LLC,1717907,2,25,JPN,2025-01-30,4PCQHOJFMV9BWq46UMVf2l
10,spotify:track:5BC6kr6etk2Y9J62AyI4i3,Mrs. GREEN APPLE,青と夏,Universal Music LLC,1660155,2,342,JPN,2025-01-30,5BC6kr6etk2Y9J62AyI4i3
11,spotify:track:0voOaunLYYqPHrsgXbFVlW,Da-iCE,I wonder,avex trax,1621674,3,40,JPN,2025-01-30,0voOaunLYYqPHrsgXbFVlW
12,spotify:track:5LkmpgQYtwHtuvASgnLBe1,Mrs. GREEN APPLE,ダンスホール,UME - Global Clearing House,1583424,2,140,JPN,2025-01-30,5LkmpgQYtwHtuvASgnLBe1
13,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,1525676,2,11,JPN,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh
14,spotify:track:7Md0Rk4s9khBtVpSD03bWl,"Mrs. GREEN APPLE, Sonoko Inoue",点描の唄,UME - Global Clearing House,1501190,11,298,JPN,2025-01-30,7Md0Rk4s9khBtVpSD03bWl
15,spotify:track:170XOP1T4MvY9TLTgPw07D,Mrs. GREEN APPLE,Magic,Universal Music LLC,1453469,4,86,JPN,2025-01-30,170XOP1T4MvY9TLTgPw07D
16,spotify:track:6KYOlIwDHbrbeBbJEtQ0Fj,Creepy Nuts,オトノケ - Otonoke,Sony Music Labels Inc.,1381071,2,17,JPN,2025-01-30,6KYOlIwDHbrbeBbJEtQ0Fj
17,spotify:track:7dTW21YAJxnAOiUh7Rtu9S,Vaundy,Kaiju no Hanauta,SDR Inc.,1367308,1,218,JPN,2025-01-30,7dTW21YAJxnAOiUh7Rtu9S
18,spotify:track:5Ak1F5nGzM4KRhE0H1Q3CP,Omoinotake,幾億光年,Sony Music Labels Inc.,1365269,2,53,JPN,2025-01-30,5Ak1F5nGzM4KRhE0H1Q3CP
19,spotify:track:3CeUMk1K4RPOpyzxn7JKZV,AKASAKI,Bunny Girl,UME - Global Clearing House,1353629,1,17,JPN,2025-01-30,3CeUMk1K4RPOpyzxn7JKZV
