rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1201886,1,28,KOR,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,386923,1,81,KOR,2025-01-30,2HRgqmZQC0MC7GeNuDIXHN
3,spotify:track:3LWVXp636uLT356Rj08Jaz,Jimin,Be Mine,BIGHIT MUSIC,375000,2,28,KOR,2025-01-30,3LWVXp636uLT356Rj08Jaz
4,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,279073,4,9,KOR,2025-01-30,7G7mSV4BebkoHWwKTDvXu9
5,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,246803,3,11,KOR,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh
6,spotify:track:1agDCV4zQqaFwJQNsTgmL1,"Jimin, Loco",Smeraldo Garden Marching Band (feat. Loco),BIGHIT MUSIC,243955,2,31,KOR,2025-01-30,1agDCV4zQqaFwJQNsTgmL1
7,spotify:track:7gMfVc4zfNIxuMyMGglOHa,Jimin,Rebirth (Intro),BIGHIT MUSIC,230950,7,28,KOR,2025-01-30,7gMfVc4zfNIxuMyMGglOHa
8,spotify:track:3d2bsbugow8JiNvuaRupFH,"Jimin, Sofia Carson",Slow Dance (feat. Sofia Carson),BIGHIT MUSIC,228019,6,28,KOR,2025-01-30,3d2bsbugow8JiNvuaRupFH
9,spotify:track:6qafqn8bBMy7t5c5WqpyRk,Jimin,Closer Than This,BIGHIT MUSIC,223309,2,58,KOR,2025-01-30,6qafqn8bBMy7t5c5WqpyRk
10,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,205431,10,24,KOR,2025-01-30,2plbrEY59IikOBgBGLjaoe
11,spotify:track:7Cnpb1vBbC46RgVyyKLH7p,aespa,Whiplash,aespa,203302,3,15,KOR,2025-01-30,7Cnpb1vBbC46RgVyyKLH7p
12,spotify:track:7GOIrZTegzVty8mhNhRuA0,BOYNEXTDOOR,"IF I SAY, I LOVE YOU",KOZ Entertainment,202789,6,4,KOR,2025-01-30,7GOIrZTegzVty8mhNhRuA0
13,spotify:track:45zLrK0668WQ5JFMyiYmCS,Jimin,Interlude : Showtime,BIGHIT MUSIC,198786,10,28,KOR,2025-01-30,45zLrK0668WQ5JFMyiYmCS
14,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",196858,9,10,KOR,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd
15,spotify:track:0Cu8JdYvV9DdmzLzhxaZLH,"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),Galaxy Corporation / EMPIRE,196804,2,10,KOR,2025-01-30,0Cu8JdYvV9DdmzLzhxaZLH
16,spotify:track:1z5ebC9238uGoBgzYyvGpQ,ROSÉ,toxic till the end,Atlantic Records,195315,2,8,KOR,2025-01-30,1z5ebC9238uGoBgzYyvGpQ
