rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,195406,1,24,SAU,2025-01-30,2plbrEY59IikOBgBGLjaoe
2,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,132905,2,37,SAU,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h
3,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,119666,1,37,SAU,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
4,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,113551,1,11,SAU,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh
5,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,The Marías,No One Noticed,Nice Life/Atlantic,111061,5,23,SAU,2025-01-30,3siwsiaEoU4Kuuc9WKMUy5
6,spotify:track:5okjGjbI5S9GON1fM0delO,Hassan El Rassam,Alak Alak,Sada El Remas,104825,2,16,SAU,2025-01-30,5okjGjbI5S9GON1fM0delO
7,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,99590,1,15,SAU,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
8,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,91952,4,18,SAU,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
9,spotify:track:0F2yNZOLXPtIV4k2kQgkjA,Nasrat Al Bader,يا وطن طاهر ترابك,Nasrat AlBadr,88917,6,8,SAU,2025-01-30,0F2yNZOLXPtIV4k2kQgkjA
10,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",75871,8,15,SAU,2025-01-30,7ne4VBA60CxGM75vw0EYad
11,spotify:track:0Hk9OFVAxB6mxTtLmmFdkT,Ayed,Lammah,Luxury Ksa,75230,3,27,SAU,2025-01-30,0Hk9OFVAxB6mxTtLmmFdkT
12,spotify:track:0vGAjG4vLZmyZvnCWKW0WG,Bee Remix,ايباه (ريمكس),Bee Remix,70942,2,31,SAU,2025-01-30,0vGAjG4vLZmyZvnCWKW0WG
13,spotify:track:0De3DaoxbRTYxlbNKceDMk,فيلگس fM .,"عراقي مطلوب , بعد عندي امل نرجع):",7546067 Records DK,62033,13,2,SAU,2025-01-30,0De3DaoxbRTYxlbNKceDMk
14,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,61992,12,22,SAU,2025-01-30,2262bWmqomIaJXwCRHr13j
15,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,61364,1,42,SAU,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
16,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,59369,2,78,SAU,2025-01-30,7CyPwkp0oE8Ro9Dd5CUDjW
17,spotify:track:5e0b9LgOfi3aJSKXFcOWRe,Chezile,Beanie,Chezile / 10K Projects,59119,14,13,SAU,2025-01-30,5e0b9LgOfi3aJSKXFcOWRe
18,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Apocalypse,Partisan Records,59002,13,167,SAU,2025-01-30,0yc6Gst2xkRu0eMLeRMGCX
19,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,57703,19,13,SAU,2025-01-30,6jbYpRPTEFl1HFKHk1IC0m
20,spotify:track:3h4kEr2cagLR0HlqMyMS2H,"Nasrat Al Bader, Qaed Helmy",ويلي,Nasrat AlBadr,53892,18,48,SAU,2025-01-30,3h4kEr2cagLR0HlqMyMS2H
21,spotify:track:5iyZWYdb4RmL94Ul9Nfta7,Saif Amer,Aybaah,Hguitara Studio,53595,5,32,SAU,2025-01-30,5iyZWYdb4RmL94Ul9Nfta7
22,spotify:track:3iPUqYAqDdpnTmCF2FRFdX,Nasrat Al Bader,المهزلة,Nasrat AlBadr,52837,7,61,SAU,2025-01-30,3iPUqYAqDdpnTmCF2FRFdX
23,spotify:track:3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,Cry,Partisan Records,52225,15,137,SAU,2025-01-30,3p4hRhMcb6ch8OLtATMaLw
24,spotify:track:3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Swim,Warner Records,52125,18,33,SAU,2025-01-30,3M0lSi5WW79CXQamgSBIjx
