rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,2354014,1,28,THA,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU
2,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,1867369,1,9,THA,2025-01-30,7G7mSV4BebkoHWwKTDvXu9
3,spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,LISA,Moonlit Floor (Kiss Me),Lloud Co./RCA Records,1825824,1,17,THA,2025-01-30,3yDRcs0Y4pPzkvMbUfeF9H
4,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,1111681,1,11,THA,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh
5,spotify:track:1THWgXia63L6sds6dIMlI9,Three Man Down,เพลงรัก,GMM Music Public Company Limited,916692,5,16,THA,2025-01-30,1THWgXia63L6sds6dIMlI9
6,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,909273,5,24,THA,2025-01-30,2plbrEY59IikOBgBGLjaoe
7,spotify:track:6NnDhBn93o2CxGkwrtKVMG,Only Monday,ท้ายปี,GMM Music Public Company Limited,877177,3,10,THA,2025-01-30,6NnDhBn93o2CxGkwrtKVMG
8,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,817119,7,36,THA,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
9,spotify:track:5pqAbpHRuFhcACwvVBi69V,Big Ass,ก่อนตาย,Music bugs,814300,9,46,THA,2025-01-30,5pqAbpHRuFhcACwvVBi69V
10,spotify:track:3dKiS7M3Rkqtj9dsOkvzW6,"Tilly Birds, Polycat",ล้มแชมป์ (Only You Can),GMM Music Public Company Limited,803562,10,3,THA,2025-01-30,3dKiS7M3Rkqtj9dsOkvzW6
11,spotify:track:24VfUtHxbkCrscWC00toom,Musketeers,ความทรงจำ,Believe Records,778476,9,137,THA,2025-01-30,24VfUtHxbkCrscWC00toom
12,spotify:track:6BN3iFjclJ4teGlmB3fFvo,"Cocktail, Q Flure",Yours Ever,GMM Music Public Company Limited,749704,4,17,THA,2025-01-30,6BN3iFjclJ4teGlmB3fFvo
13,spotify:track:7ov3TDp5D00Rnu5R1viX4w,"LISA, ROSALÍA",New Woman (feat. ROSALÍA),Lloud Co./RCA Records,746161,1,24,THA,2025-01-30,7ov3TDp5D00Rnu5R1viX4w
14,spotify:track:2AdBbeVaEdW731a3FXJAJC,"Lipta, Mirrr",อยู่ได้แล้ว,Lipta,711237,8,26,THA,2025-01-30,2AdBbeVaEdW731a3FXJAJC
15,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,695757,2,70,THA,2025-01-30,01qFKNWq73UfEslI0GvumE
16,spotify:track:2vwjJOcZInBM9VibTxzwSQ,PP Krit,Oopsy Daisy,PP Krit Entertainment,685844,7,2,THA,2025-01-30,2vwjJOcZInBM9VibTxzwSQ
17,spotify:track:77rZWogLvZ2NOf248oMd6N,"Z9, 2K, Saran",CURSE (รักใครไม่เป็น),Z9,681839,17,1,THA,2025-01-30,77rZWogLvZ2NOf248oMd6N
18,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,675594,5,15,THA,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
19,spotify:track:43eS61ezviPc61XDu6tRYR,guncharlie,เผื่อวันไหนเธอจะกลับมา,Kicks Records,671544,9,46,THA,2025-01-30,43eS61ezviPc61XDu6tRYR
20,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,yung kai,blue,BMG Rights Management (US) LLC,633129,17,8,THA,2025-01-30,3be9ACTxtcL6Zm4vJRUiPG
21,spotify:track:4kE80JWRissrodmXuo0xYi,"THE TOYS, NONT TANONT",ดอกไม้ที่รอฝน (spring),What The Duck,618511,5,28,THA,2025-01-30,4kE80JWRissrodmXuo0xYi
22,spotify:track:7jGiXLzchqbDTW7WzSU7a3,YEW,ปล่อยดาว (Flaw),YEW,606172,11,68,THA,2025-01-30,7jGiXLzchqbDTW7WzSU7a3
23,spotify:track:1gagehYgkm4azlIyIasuAO,เล็ก รัชเมศฐ์,ใจเป็นนาย กายเป็นบ่าว,GMM Music Public Company Limited,566979,15,10,THA,2025-01-30,1gagehYgkm4azlIyIasuAO
24,spotify:track:4z0vfU3JiAsl99ZHL29hMm,Jin,Close to You,"SORI NARLY, Studio Dragon, KEYEAST",554502,24,1,THA,2025-01-30,4z0vfU3JiAsl99ZHL29hMm
25,spotify:track:2kol6tv2jcinBERq425Ahv,GOT7,PYTHON,Kakao Entertainment,536835,25,2,THA,2025-01-30,2kol6tv2jcinBERq425Ahv
26,spotify:track:06DPpk0hUJEgpzl5cuWNI6,Polycat,เวลาเธอยิ้ม,Smallroom,533770,22,324,THA,2025-01-30,06DPpk0hUJEgpzl5cuWNI6
27,spotify:track:25n8diXqpb6LKyL0Dwzwoy,"Saran, BlackHeart, Pondering",Promethazine,SARAN,527118,23,120,THA,2025-01-30,25n8diXqpb6LKyL0Dwzwoy
28,spotify:track:4KZRjuldIGTS7AQUPbUvbs,PUN,ที่เดิม,Universal Music (Thailand) Ltd.,524878,15,19,THA,2025-01-30,4KZRjuldIGTS7AQUPbUvbs
29,spotify:track:5QxNmQBXpLPemzpDvsuiLM,PUN,DAY ONE,Universal Music (Thailand) Ltd.,523860,6,34,THA,2025-01-30,5QxNmQBXpLPemzpDvsuiLM
30,spotify:track:5jj7yXcilVsZPpyYtmD28X,NONT TANONT,จำนน,LOVEiS Entertainment,513019,11,46,THA,2025-01-30,5jj7yXcilVsZPpyYtmD28X
31,spotify:track:2a78JDp7YVCyEydtRiHOn7,PUN,I Just Wanna Know,Universal Music (Thailand) Ltd.,510912,12,20,THA,2025-01-30,2a78JDp7YVCyEydtRiHOn7
32,spotify:track:2CjNvED1BSLPG1jYENA0QS,Only Monday,จดจำ,GMM Music Public Company Limited,502481,14,53,THA,2025-01-30,2CjNvED1BSLPG1jYENA0QS
33,spotify:track:0zLFNFvbnPmWZfDewtyaVg,Three Man Down,ไม่ให้ไป,GMM Music Public Company Limited,496878,22,33,THA,2025-01-30,0zLFNFvbnPmWZfDewtyaVg
34,spotify:track:4oCZ6UlTx0WFolzaHLJWym,fellow fellow,ไม่เปลี่ยนเลย (Best Luck),Kicks Records,490739,10,60,THA,2025-01-30,4oCZ6UlTx0WFolzaHLJWym
35,spotify:track:4jyfcb5s4H3hKl0CJXjYei,fellow fellow,Proud,Kicks Records,488242,8,29,THA,2025-01-30,4jyfcb5s4H3hKl0CJXjYei
36,spotify:track:30ho6wAl9w53sCtcqzHVMA,"Saran, GTK",ใจพัง,SARAN,484589,28,59,THA,2025-01-30,30ho6wAl9w53sCtcqzHVMA
37,spotify:track:7yjFvJAufNg3izdi2EFxDr,Only Monday,ทิ้งไป,GMM Music Public Company Limited,476107,37,9,THA,2025-01-30,7yjFvJAufNg3izdi2EFxDr
38,spotify:track:1lcBt7LoEikqYmhUoa2cez,ROSÉ,number one girl,Atlantic Records,473141,11,10,THA,2025-01-30,1lcBt7LoEikqYmhUoa2cez
39,spotify:track:3grGyWGWsuIUxA2CudpwAB,Cocktail,น้ำหอม,GMM Music Public Company Limited,469301,8,15,THA,2025-01-30,3grGyWGWsuIUxA2CudpwAB
40,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",467237,28,10,THA,2025-01-30,7ne4VBA60CxGM75vw0EYad
