rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:0126WdGxnrNEqzgUb1wgQH,Lvbel C5,HAVHAVHAV,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,3823432,1,1,TUR,2025-01-30,0126WdGxnrNEqzgUb1wgQH
2,spotify:track:24QL6OovqvjJ7cDxBd5Fwl,"Era7capone, KERO",DURULDUM,ZUNA,3613371,2,2,TUR,2025-01-30,24QL6OovqvjJ7cDxBd5Fwl
3,spotify:track:1lNcnIU4jtqD69Qtfjh8EJ,"Dedublüman, Aleyna Tilki",Sana Güvenmiyorum - Dedub Sessions,Hypers & DMC,3457308,1,13,TUR,2025-01-30,1lNcnIU4jtqD69Qtfjh8EJ
4,spotify:track:4DPjZs1Jjw5mQ41w0xt9KA,UZI,NEON,GNG CLAN,3291343,2,2,TUR,2025-01-30,4DPjZs1Jjw5mQ41w0xt9KA
5,spotify:track:7FfdTwI2i0b5PNeNvqtqCY,Ati242,Italy Forma,SST,2571179,2,16,TUR,2025-01-30,7FfdTwI2i0b5PNeNvqtqCY
6,spotify:track:3ff93VTp2DBbNnDEsAW8Cm,BLOK3,SEVMEYİ DENEMEDİN,Mundo Music,2310303,1,20,TUR,2025-01-30,3ff93VTp2DBbNnDEsAW8Cm
7,spotify:track:4K64OOHItyspEsQFLobJqn,"BEGE, Reynmen",HER GÜN AĞLADIM,BEGE,2219939,4,2,TUR,2025-01-30,4K64OOHItyspEsQFLobJqn
8,spotify:track:0QuKutgaaa0Q1WUZEnrZ93,Ati242,Sönen Sigaralar,SST,2031430,5,16,TUR,2025-01-30,0QuKutgaaa0Q1WUZEnrZ93
9,spotify:track:7eLW4rL7saxNtZ640Na7vM,Jeff Redd,PSYCHO,Lais Records,1952014,2,6,TUR,2025-01-30,7eLW4rL7saxNtZ640Na7vM
10,spotify:track:1O3utGlqPaNnTX1ZeRXLQY,BLOK3,UYUZ,Mundo Music,1938645,10,16,TUR,2025-01-30,1O3utGlqPaNnTX1ZeRXLQY
11,spotify:track:5pEpvR03HbLxkBtK73EeJw,Ati242,Değişmene Rağmen,SST,1923812,2,30,TUR,2025-01-30,5pEpvR03HbLxkBtK73EeJw
12,spotify:track:0bvgWq2ZUhwwjLR1AMcQDs,"Era7capone, Batuflex, Narco",CISTAK,Lais Records,1830544,1,34,TUR,2025-01-30,0bvgWq2ZUhwwjLR1AMcQDs
13,spotify:track:0VOnehekjQz9cvUwLzmYSQ,Semicenk,Sen Kaldın,Eva Yapım & Eva Records,1739338,12,25,TUR,2025-01-30,0VOnehekjQz9cvUwLzmYSQ
14,spotify:track:0E1hVdXGZu0MoE77bYyjie,"Simge, Era7capone, Ozan Bayraşa, SNOW",YANKI X İNTİHAR,Lais Records & DMC,1735828,4,11,TUR,2025-01-30,0E1hVdXGZu0MoE77bYyjie
15,spotify:track:7AbbuiP5vKiuyFl47Z5jY3,Duman,Kufi,PARAVAN,1719020,6,32,TUR,2025-01-30,7AbbuiP5vKiuyFl47Z5jY3
16,spotify:track:4E10qEzOmTIVmrg6Wz2RHj,Bengü,Saygımdan,DOĞAN MÜZİK YAPIM,1689779,14,49,TUR,2025-01-30,4E10qEzOmTIVmrg6Wz2RHj
17,spotify:track:5M6QrHGDWdWhyq7hVz3zR8,Derya Bedavacı,Seni Seven Kimdi,SONY MUSIC TURKEY,1668898,6,11,TUR,2025-01-30,5M6QrHGDWdWhyq7hVz3zR8
18,spotify:track:57w7FOfLpXZ9GWlAooYrSK,Canbay & Wolker,Düşmez Kalkmaz,Canbay & Wolker,1605189,10,22,TUR,2025-01-30,57w7FOfLpXZ9GWlAooYrSK
19,spotify:track:43Kpm3kz8904r3DCvrCx5h,Funda Arar,Bağışla,Bomonti Müzik,1597104,19,5,TUR,2025-01-30,43Kpm3kz8904r3DCvrCx5h
20,spotify:track:4gqiqccm2NNQcdIUkEDEiM,Ben Fero,BİTMİYOR,Ben Fero,1569946,20,5,TUR,2025-01-30,4gqiqccm2NNQcdIUkEDEiM
21,spotify:track:2X4NUYZN0ylbM41ADKYv1X,BLOK3,GELME İSTEMEM,Mundo Music,1538189,5,13,TUR,2025-01-30,2X4NUYZN0ylbM41ADKYv1X
22,spotify:track:0d8IQRHUFPOXsAVOPfDSgp,"Era7capone, NASTEISHA",İNTİHAR,Lais Records,1498298,3,33,TUR,2025-01-30,0d8IQRHUFPOXsAVOPfDSgp
23,spotify:track:3ZwRkdnTb4az8X5n4WXuHA,BLOK3,aklına ben gelicem,Mundo Music,1428574,1,71,TUR,2025-01-30,3ZwRkdnTb4az8X5n4WXuHA
24,spotify:track:5VykLQtjCYF6qFq59HbUg9,Dedublüman,Sen Bilmezsin,Hypers,1423613,6,46,TUR,2025-01-30,5VykLQtjCYF6qFq59HbUg9
25,spotify:track:4MsNwPBADIfVpQ9ZmXNc7B,"Bengü, Mustafa Ceceli",Kervan,BNG MÜZİK,1417477,25,2,TUR,2025-01-30,4MsNwPBADIfVpQ9ZmXNc7B
26,spotify:track:7wZRlmI91BOt7JF7rMOrej,Kubilay Karça,Ayaza Serdim,Wovie,1413770,26,1,TUR,2025-01-30,7wZRlmI91BOt7JF7rMOrej
27,spotify:track:65txmqjijZoGYs1irX6tBU,Ati242,Her Nerdeysen,SST,1382315,27,16,TUR,2025-01-30,65txmqjijZoGYs1irX6tBU
28,spotify:track:4HuB9A0O1XwmwTVtTgODm8,Ati242,25,PMC,1336028,12,141,TUR,2025-01-30,4HuB9A0O1XwmwTVtTgODm8
29,spotify:track:7zTNMaXRLjiQwi8rRlvReb,"ERAY067, Mansur, Organize, Batuflex",BRAPAP,CULTURE,1315514,29,1,TUR,2025-01-30,7zTNMaXRLjiQwi8rRlvReb
30,spotify:track:4SCe7B8JmbXrrSxphhddPo,Wegh,Güldüğün Gün,Mamba Music,1284299,15,3,TUR,2025-01-30,4SCe7B8JmbXrrSxphhddPo
31,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1284264,29,19,TUR,2025-01-30,2plbrEY59IikOBgBGLjaoe
32,spotify:track:3r4JGqyBhcIpOKRQLYjD5C,Şebnem Ferah,Mayın Tarlası,PASAJ,1252609,22,14,TUR,2025-01-30,3r4JGqyBhcIpOKRQLYjD5C
33,spotify:track:3FkWbO7xBYS3a0MJHN6XlV,Soner Sarıkabadayı,Mevzu Derin,PDND Müzik Prod.,1246101,16,11,TUR,2025-01-30,3FkWbO7xBYS3a0MJHN6XlV
34,spotify:track:4mwKj8jNSq8eTp3ylpcBAE,Nazan Öncel,Beni Hatırla,Nazan Öncel,1223074,15,30,TUR,2025-01-30,4mwKj8jNSq8eTp3ylpcBAE
35,spotify:track:4sVIEO6DXqoGakHuixuPad,Mansur Ark,Silinmez,SEYHAN MÜZİK PROD.,1211603,9,11,TUR,2025-01-30,4sVIEO6DXqoGakHuixuPad
36,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1170505,23,15,TUR,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
37,spotify:track:7JVUP1J9urt49OdiFbWGeZ,BLOK3,ESC*BAR,Mundo Music,1158306,4,30,TUR,2025-01-30,7JVUP1J9urt49OdiFbWGeZ
38,spotify:track:6hCHw8elq1VAKPKeBConpJ,Ahiyan,Doldum,Ahiyan Music,1148001,2,9,TUR,2025-01-30,6hCHw8elq1VAKPKeBConpJ
39,spotify:track:3reGUYKxAJMkZGEzWM8c5d,"Era7capone, Headie One",EXTENDO,Rapkology,1129161,39,1,TUR,2025-01-30,3reGUYKxAJMkZGEzWM8c5d
40,spotify:track:1TxvnXbTRmYwtlkFEn8Rpb,Göksel,Uzaktan,AVRUPA MÜZİK YAPIM,1126655,25,32,TUR,2025-01-30,1TxvnXbTRmYwtlkFEn8Rpb
41,spotify:track:4Fcoc1T0sMSATaxoidF4ei,Mela Bedel,Ben Değilim,Mundo Music,1108648,35,11,TUR,2025-01-30,4Fcoc1T0sMSATaxoidF4ei
42,spotify:track:0mSFwDtiAPPNwBOSFnI3G5,"Dedublüman, Can Kazaz",Bunca Yıl - Dedub Sessions,Hypers,1081640,2,19,TUR,2025-01-30,0mSFwDtiAPPNwBOSFnI3G5
43,spotify:track:2ugG3itPOpM9IANApt473B,Era7capone,PİŞT,ZUNA,1073880,13,17,TUR,2025-01-30,2ugG3itPOpM9IANApt473B
44,spotify:track:6Ear9bhjbNi2oaqv5qlqlM,Ferdi Özbeğen,Dönsen Bile,YAŞAR KEKEVA PLAKÇILIK,1071139,24,10,TUR,2025-01-30,6Ear9bhjbNi2oaqv5qlqlM
45,spotify:track:1kfXupjpLLLwSkzebqZT2X,Ati242,Telefon,SST,1064683,15,73,TUR,2025-01-30,1kfXupjpLLLwSkzebqZT2X
46,spotify:track:3z6fGBTwoYVq3l8QSRXWFl,UZI,1 YIL,GNG CLAN,1054016,21,2,TUR,2025-01-30,3z6fGBTwoYVq3l8QSRXWFl
47,spotify:track:2CZzw0He9fzyi2FkBkn4Bk,"Semicenk, Doğu Swag",Küle Dönmüşsün,EVA RECORDS,1043719,2,33,TUR,2025-01-30,2CZzw0He9fzyi2FkBkn4Bk
48,spotify:track:3QSJlPYxNXCBP0y4SNB2E7,Emre Altuğ,Neyleyim,DOĞAN MÜZİK YAPIM,1030008,17,4,TUR,2025-01-30,3QSJlPYxNXCBP0y4SNB2E7
49,spotify:track:4y3QBJf9E8yDJCEFbRK8xk,Simge,Yankı,DOĞAN MÜZİK YAPIM,1023709,36,118,TUR,2025-01-30,4y3QBJf9E8yDJCEFbRK8xk
50,spotify:track:2norl4Q0EjACN5kIshyP7k,"Batuflex, Ali471",I WANNA DANCE,Batuflex,1015833,29,23,TUR,2025-01-30,2norl4Q0EjACN5kIshyP7k
1,spotify:track:1lNcnIU4jtqD69Qtfjh8EJ,"Dedublüman, Aleyna Tilki",Sana Güvenmiyorum - Dedub Sessions,Hypers & DMC,4088761,1,12,TUR,2025-01-23,1lNcnIU4jtqD69Qtfjh8EJ
2,spotify:track:4DPjZs1Jjw5mQ41w0xt9KA,UZI,NEON,GNG CLAN,3949201,2,1,TUR,2025-01-23,4DPjZs1Jjw5mQ41w0xt9KA
3,spotify:track:24QL6OovqvjJ7cDxBd5Fwl,"Era7capone, KERO",DURULDUM,ZUNA,3597586,3,1,TUR,2025-01-23,24QL6OovqvjJ7cDxBd5Fwl
4,spotify:track:4K64OOHItyspEsQFLobJqn,"BEGE, Reynmen",HER GÜN AĞLADIM,BEGE,2852948,4,1,TUR,2025-01-23,4K64OOHItyspEsQFLobJqn
5,spotify:track:7eLW4rL7saxNtZ640Na7vM,Jeff Redd,PSYCHO,Lais Records,2564644,2,5,TUR,2025-01-23,7eLW4rL7saxNtZ640Na7vM
6,spotify:track:7FfdTwI2i0b5PNeNvqtqCY,Ati242,Italy Forma,SST,2559492,2,15,TUR,2025-01-23,7FfdTwI2i0b5PNeNvqtqCY
