rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,588516,1,15,Chrats_BEL🇧🇪,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,472007,1,24,Chrats_BEL🇧🇪,2025-01-30,2plbrEY59IikOBgBGLjaoe
3,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,430968,3,9,Chrats_BEL🇧🇪,2025-01-30,35ISBknsCeZQtq66xABI9g
4,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",421837,1,15,Chrats_BEL🇧🇪,2025-01-30,7ne4VBA60CxGM75vw0EYad
5,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,406064,2,3,Chrats_BEL🇧🇪,2025-01-30,3sK8wGT43QFpWrvNQsrQya
6,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,296830,2,37,Chrats_BEL🇧🇪,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
7,spotify:track:1RiCNSkK4AfT1j8ZM4JnVs,GIMS,CIEL,Play Two,284478,7,10,Chrats_BEL🇧🇪,2025-01-30,1RiCNSkK4AfT1j8ZM4JnVs
8,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,276470,2,22,Chrats_BEL🇧🇪,2025-01-30,2262bWmqomIaJXwCRHr13j
9,spotify:track:2VyvDGdcVY04cNYou9MFVX,"PAWSA, The Adventures Of Stevie V",Dirty Cash (Money Talks),Altra Moda Music,255547,9,7,Chrats_BEL🇧🇪,2025-01-30,2VyvDGdcVY04cNYou9MFVX
10,spotify:track:0yyFAbTlOk7DFhh6RSug9S,GIMS,SOIS PAS TIMIDE,Play Two,249483,5,28,Chrats_BEL🇧🇪,2025-01-30,0yyFAbTlOk7DFhh6RSug9S
11,spotify:track:6BPcUXYERAahpunmb0AovH,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,244203,1,10,Chrats_BEL🇧🇪,2025-01-30,6BPcUXYERAahpunmb0AovH
12,spotify:track:2A1aS3mwuGuX2yk1bgxOvA,"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),Atlantic Records UK,221150,10,27,Chrats_BEL🇧🇪,2025-01-30,2A1aS3mwuGuX2yk1bgxOvA
13,spotify:track:3BntzKsnLf2pc0dsvE3Zav,Teddy Swims,Bad Dreams,Warner Records,220348,10,19,Chrats_BEL🇧🇪,2025-01-30,3BntzKsnLf2pc0dsvE3Zav
14,spotify:track:0qlYaRFGvgR6afy1f4BBwD,Gazo,NANANI NANANA,BSB PROD,217227,2,9,Chrats_BEL🇧🇪,2025-01-30,0qlYaRFGvgR6afy1f4BBwD
15,spotify:track:5NWpquAje6NyvxD57oXNu6,"GIMS, DYSTINCT",SPIDER,Play Two,205338,7,38,Chrats_BEL🇧🇪,2025-01-30,5NWpquAje6NyvxD57oXNu6
16,spotify:track:2z9FUHRkbkV4BObNzbHsFU,Damiano David,Born With a Broken Heart,Sony Music Italy / Arista Records,204597,16,12,Chrats_BEL🇧🇪,2025-01-30,2z9FUHRkbkV4BObNzbHsFU
17,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,202175,12,3,Chrats_BEL🇧🇪,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
18,spotify:track:4MSj19TwYBLgDFj3ddEeco,"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),UROK,197007,1,28,Chrats_BEL🇧🇪,2025-01-30,4MSj19TwYBLgDFj3ddEeco
19,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,195848,4,71,Chrats_BEL🇧🇪,2025-01-30,17phhZDn6oGtzMe56NuWvj
20,spotify:track:1EDPVGbyPKJPeGqATwXZvN,Linkin Park,The Emptiness Machine,Warner Records,191889,2,21,Chrats_BEL🇧🇪,2025-01-30,1EDPVGbyPKJPeGqATwXZvN
21,spotify:track:1XRpRDBpJPjjcj406euOpa,Roxy Dekker,Ga Dan!,Warner Music Benelux,188650,16,2,Chrats_BEL🇧🇪,2025-01-30,1XRpRDBpJPjjcj406euOpa
22,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",182531,1,54,Chrats_BEL🇧🇪,2025-01-30,3xkHsmpQCBMytMJNiDf3Ii
23,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,181975,4,215,Chrats_BEL🇧🇪,2025-01-30,7jtQIBanIiJOMS6RyCx6jZ
24,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,178521,9,37,Chrats_BEL🇧🇪,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h
25,spotify:track:5o0osRx8kYJTOqlOSggr9Z,Alex Warren,Carry You Home,Atlantic Records,178516,21,33,Chrats_BEL🇧🇪,2025-01-30,5o0osRx8kYJTOqlOSggr9Z
26,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,178036,11,31,Chrats_BEL🇧🇪,2025-01-30,6WatFBLVB0x077xWeoVc2k
27,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,171449,27,1,Chrats_BEL🇧🇪,2025-01-30,2zOmS55knKWSgScYPTNmGQ
28,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,170985,2,42,Chrats_BEL🇧🇪,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
29,spotify:track:3wPPWcVuinAU7dXcJXtCID,"Naughty Boy, Sam Smith",La La La,Virgin Records Ltd,170824,23,6,Chrats_BEL🇧🇪,2025-01-30,3wPPWcVuinAU7dXcJXtCID
30,spotify:track:5nPbKG04fhLkIAjcPFaZq7,"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm),Virgin,169025,18,27,Chrats_BEL🇧🇪,2025-01-30,5nPbKG04fhLkIAjcPFaZq7
31,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,165724,22,207,Chrats_BEL🇧🇪,2025-01-30,3hRV0jL3vUpRrcy398teAU
32,spotify:track:32cwemsMJdzzsOYjVzfYMS,Helena,Mauvais Garçon,RCA Group,161724,23,11,Chrats_BEL🇧🇪,2025-01-30,32cwemsMJdzzsOYjVzfYMS
33,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",161296,3,46,Chrats_BEL🇧🇪,2025-01-30,0rtDE9zfXbamTlRUSwY7zy
34,spotify:track:1y7dY7Xu4nWM4SK2dEnoAT,"Damso, Kalash",Alpha,Trente-quatre centimes,160156,4,11,Chrats_BEL🇧🇪,2025-01-30,1y7dY7Xu4nWM4SK2dEnoAT
35,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,160002,29,204,Chrats_BEL🇧🇪,2025-01-30,1mea3bSkSGXuIRvnydlB5b
36,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,158305,22,18,Chrats_BEL🇧🇪,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
