rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:2EVJSQTl0bqHISNlJbhNIc,"Anton Westerlin, Annika",Blodigt (feat. Annika),Universal Music A/S,875620,1,1,DNK,2025-01-30,2EVJSQTl0bqHISNlJbhNIc
2,spotify:track:5wmH2yEMgerF4bGh87TQZA,"Benjamin Hav, Lukas Graham",Du ligner din mor,Sony Music Entertainment,563946,1,5,DNK,2025-01-30,5wmH2yEMgerF4bGh87TQZA
3,spotify:track:00Ma3dn1eTeuz8LYEpUXQo,"JOSVA, Artigeardit",Lonely (feat. Artigeardit),Sony Music Entertainment,486948,1,4,DNK,2025-01-30,00Ma3dn1eTeuz8LYEpUXQo
4,spotify:track:7px3lmdf4nzNEMt6zaQ5yJ,"Marstein, Annika",SAMMEN,Universal Music AS,457829,1,14,DNK,2025-01-30,7px3lmdf4nzNEMt6zaQ5yJ
5,spotify:track:4GZt2BpQpWhkEAgmfUrQOu,Annika,Luk Mig Ind,Universal Music A/S,447647,3,9,DNK,2025-01-30,4GZt2BpQpWhkEAgmfUrQOu
6,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,384463,4,24,DNK,2025-01-30,2plbrEY59IikOBgBGLjaoe
7,spotify:track:2ZwOtQXG5k1M7gHmTmTMgw,"MAS, Lamin, Kundo",Småting (feat. Lamin & Kundo),Universal Music A/S,355558,5,2,DNK,2025-01-30,2ZwOtQXG5k1M7gHmTmTMgw
8,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,346779,7,15,DNK,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
9,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,340565,6,9,DNK,2025-01-30,35ISBknsCeZQtq66xABI9g
10,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",307755,7,15,DNK,2025-01-30,7ne4VBA60CxGM75vw0EYad
11,spotify:track:7CW3Tjll8pUMZxsuo8GZgV,"Suspekt, URO",Tænker Ik På Andre (feat. URO),Universal Music A/S,296331,1,22,DNK,2025-01-30,7CW3Tjll8pUMZxsuo8GZgV
12,spotify:track:0nVUuzrVZc5t9S48ifesg6,APHACA,Smelter Under Månen,a United Records release,282727,12,23,DNK,2025-01-30,0nVUuzrVZc5t9S48ifesg6
13,spotify:track:6KliOBbtUUSwHHFjDzYVPe,Annika,Knuser Hjerter,Universal Music A/S,275104,6,49,DNK,2025-01-30,6KliOBbtUUSwHHFjDzYVPe
14,spotify:track:0fFMt9cc1EEQDIWLGDcqKd,Annika,Så længe jeg er sexy.,Universal Music A/S,270645,2,26,DNK,2025-01-30,0fFMt9cc1EEQDIWLGDcqKd
15,spotify:track:1ZatLEMZsAslxDA5zw3S6V,"Lamin, Ukendt Kunstner",Tro På Det,Universal Music A/S,269772,1,19,DNK,2025-01-30,1ZatLEMZsAslxDA5zw3S6V
16,spotify:track:3r0C7cXKzwGQaKLFHr810N,"Anton Westerlin, Benny Jamz",2 Stepper Freestyle,Universal Music A/S,257773,5,5,DNK,2025-01-30,3r0C7cXKzwGQaKLFHr810N
17,spotify:track:5TC4trc7XgCCkycbTSTqV2,"MAS, Artigeardit",Bare Vent (feat. Artigeardit),Universal Music A/S,257611,7,2,DNK,2025-01-30,5TC4trc7XgCCkycbTSTqV2
18,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,257320,8,37,DNK,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
19,spotify:track:3ZNTae1ZOrSaURxMZAVFq6,"Ankerstjerne, Daniel Schulz, Panamah",Børn Af Natten (Hola Bonita),10 Lions Ent,240909,2,43,DNK,2025-01-30,3ZNTae1ZOrSaURxMZAVFq6
20,spotify:track:3xJeUxbt51wpvGk3YzqxLi,"Benny Jamz, Gilli",Reposado,Universal Music A/S,226520,2,32,DNK,2025-01-30,3xJeUxbt51wpvGk3YzqxLi
21,spotify:track:6EfIo8vxfIBT2IZrzGHbpP,"Mumle, Svea S",Hvor Solen Ik' Skinner,Capitol Records,222773,13,28,DNK,2025-01-30,6EfIo8vxfIBT2IZrzGHbpP
22,spotify:track:4XmuzEhU6LPRL4fdWqt6LU,Zuloo,MOLLY,ZRECORDS,221003,14,14,DNK,2025-01-30,4XmuzEhU6LPRL4fdWqt6LU
23,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,217242,23,1,DNK,2025-01-30,2zOmS55knKWSgScYPTNmGQ
24,spotify:track:6ZC9iIWBCy4VtBhoY1YTuR,Annika,Hun,Universal Music A/S,215980,23,38,DNK,2025-01-30,6ZC9iIWBCy4VtBhoY1YTuR
25,spotify:track:1ByKkALevy63Nd0VBw1ToD,"KESI, Lamin",To Gange,Universal Music A/S,211502,1,26,DNK,2025-01-30,1ByKkALevy63Nd0VBw1ToD
26,spotify:track:6TT6zYIiI0nSzXMuI801zP,Gilli,Robocop,Universal Music A/S,202064,11,5,DNK,2025-01-30,6TT6zYIiI0nSzXMuI801zP
27,spotify:track:7vSUZ9T4AjaKiKcEexIXeb,MAS,Lønningsdag,Universal Music A/S,200299,18,3,DNK,2025-01-30,7vSUZ9T4AjaKiKcEexIXeb
28,spotify:track:2j59di23XCFfbdJPE5KuNw,"Lamin, Gilli",Hva Du På (feat. Gilli),Universal Music A/S,198824,1,35,DNK,2025-01-30,2j59di23XCFfbdJPE5KuNw
29,spotify:track:62EPQ5REuZwGqWoRsPP5Bx,APHACA,Hjertet På Gaden,a United Records release,198791,29,2,DNK,2025-01-30,62EPQ5REuZwGqWoRsPP5Bx
30,spotify:track:65C4AmFA6oyMJ2lwLNPiIB,D1MA,CLEOPATRA,7OUMA Records,196476,4,18,DNK,2025-01-30,65C4AmFA6oyMJ2lwLNPiIB
31,spotify:track:2doTTX8MLsVnAyAQqmqV7j,Blæst,Elsker Dig Så Meget,Universal Music A/S,194853,19,30,DNK,2025-01-30,2doTTX8MLsVnAyAQqmqV7j
32,spotify:track:3BntzKsnLf2pc0dsvE3Zav,Teddy Swims,Bad Dreams,Warner Records,192403,32,20,DNK,2025-01-30,3BntzKsnLf2pc0dsvE3Zav
33,spotify:track:2XxRgaOO73AtKS3bPciDSL,"Benjamin Hav, Ella Augusta",Første dag,Sony Music Entertainment,186207,8,67,DNK,2025-01-30,2XxRgaOO73AtKS3bPciDSL
34,spotify:track:4AsiNZTuFAwk93V9DP7lt7,Zuloo,FEJLFRI,ZULOOVERSE,184616,34,7,DNK,2025-01-30,4AsiNZTuFAwk93V9DP7lt7
35,spotify:track:5O2NovuSaij0nsULxUt8V5,Ella Augusta,Baglæns,The Bank Records,184264,32,41,DNK,2025-01-30,5O2NovuSaij0nsULxUt8V5
36,spotify:track:6vdsc40TnfCdZsWj7GecQV,Mumle,Det Modsatte,Capitol Records,183661,6,60,DNK,2025-01-30,6vdsc40TnfCdZsWj7GecQV
37,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,183544,9,58,DNK,2025-01-30,17phhZDn6oGtzMe56NuWvj
38,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,172572,8,18,DNK,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
39,spotify:track:4pftaoQbbheCXSdleWIeDK,"Central Cee, 21 Savage",GBP (feat. 21 Savage),Columbia,164475,39,2,DNK,2025-01-30,4pftaoQbbheCXSdleWIeDK
40,spotify:track:0tDh78JNlubuGDJfkv8Juk,Dos Santos,Dopamin,WM Denmark,163840,23,50,DNK,2025-01-30,0tDh78JNlubuGDJfkv8Juk
41,spotify:track:2DDTfTNiglWtbbqUsQ1RJt,Lamin,De Her Timer,Universal Music A/S,161548,2,37,DNK,2025-01-30,2DDTfTNiglWtbbqUsQ1RJt
42,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,159874,3,42,DNK,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
43,spotify:track:1OL1vwKA4R3UFMNr6hUZ4l,MAS,Blomster & Regnvejr,Universal Music A/S,155380,24,2,DNK,2025-01-30,1OL1vwKA4R3UFMNr6hUZ4l
44,spotify:track:5M2lX0ZAYSAzCs1xPPi9BX,"Sexyy Red, Bruno Mars",Fat Juicy & Wet,gamma. / Atlantic Records,146953,44,1,DNK,2025-01-30,5M2lX0ZAYSAzCs1xPPi9BX
