rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,4926625,1,4,ESP,2025-01-30,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,4814491,2,4,ESP,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
3,spotify:track:4DnrAI8WyUY6gkOwl8GlPN,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,4429685,1,9,ESP,2025-01-30,4DnrAI8WyUY6gkOwl8GlPN
4,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,4025816,3,4,ESP,2025-01-30,2lTm559tuIvatlT1u0JYG2
5,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,3974200,3,4,ESP,2025-01-30,7d6yK8v8J484SWH5prIQiE
6,spotify:track:1gRaHuKLW9Uo9qYkb7MvGP,"Bad Gyal, Trueno",Angelito,Interscope Records / Universal Music Latino,3961167,6,2,ESP,2025-01-30,1gRaHuKLW9Uo9qYkb7MvGP
7,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,3508434,4,4,ESP,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
8,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",Mi Refe,5020 Records,3299191,7,7,ESP,2025-01-30,7ricDBUakN3N0YkkKE8Obu
9,spotify:track:7DiNJqM6uyiYqqWX1wsqxG,Yapi,DONDE TE ESCONDES?,Yapi,2767831,9,2,ESP,2025-01-30,7DiNJqM6uyiYqqWX1wsqxG
10,spotify:track:6TT5rB0Rwneb6ZaopHQir4,"Alleh, Yorghaki",el ingeniero,CONMUER LLC,2519296,10,5,ESP,2025-01-30,6TT5rB0Rwneb6ZaopHQir4
11,spotify:track:1yNYyCDT267YVxs5qSmnYZ,"Rvfv, Morad, Rels B",Corazón Puro,NASTU MUSIC,2510587,11,1,ESP,2025-01-30,1yNYyCDT267YVxs5qSmnYZ
12,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,2422010,7,4,ESP,2025-01-30,5WEF0icHWmAZBBMglBd599
13,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,2406579,5,12,ESP,2025-01-30,4zbEItKoaRId1vRZkoO0Uh
14,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,2320345,9,4,ESP,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
15,spotify:track:7lcbpfihslisNObKdHjyLo,"Clarent, Mora",IA,WEA Latina,2312242,1,15,ESP,2025-01-30,7lcbpfihslisNObKdHjyLo
16,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,2138968,2,11,ESP,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
17,spotify:track:2kQ1OvmMzs1xdlH020aJJh,"Quevedo, Aitana",GRAN VÍA,2024 DQE Productions Distribuido por RIMAS Entertainment,2057147,1,10,ESP,2025-01-30,2kQ1OvmMzs1xdlH020aJJh
18,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),WEA Latina,1953313,1,15,ESP,2025-01-30,0qeIFEGRQqHoaJtLCl0U73
19,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1919667,1,32,ESP,2025-01-30,6WatFBLVB0x077xWeoVc2k
20,spotify:track:1LX9Kq7JFcEINO2a04WI2M,"Lola Indigo, Maria Becerra, Villano Antillano",LA REINA - REMIX,Universal Music Spain S.L.,1882219,20,2,ESP,2025-01-30,1LX9Kq7JFcEINO2a04WI2M
