rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:728CCaVme0Ppv8zrG9caYE,Ares,Menestys on paras tapa kostaa,WM Finland,937967,1,4,FIN,2025-01-30,728CCaVme0Ppv8zrG9caYE
2,spotify:track:3P1pM5vlWSugzuBlVKRZjG,"Ares, Bizi",T-paita (feat. Bizi),WM Finland,768695,2,1,FIN,2025-01-30,3P1pM5vlWSugzuBlVKRZjG
3,spotify:track:3YxP03ZZuWO31SoE0uigI3,Ares,Ɐ,WM Finland,406952,3,1,FIN,2025-01-30,3YxP03ZZuWO31SoE0uigI3
4,spotify:track:52NFoPnzxOKPIcJIQ9mb5Q,Erika Vikman,ICH KOMME,WM Finland,392638,2,2,FIN,2025-01-30,52NFoPnzxOKPIcJIQ9mb5Q
5,spotify:track:7fdNCtxfZArtOZK3hLqqm3,Turisti,Taikuri,WM Finland,386916,1,19,FIN,2025-01-30,7fdNCtxfZArtOZK3hLqqm3
6,spotify:track:0uBQFamFpphOS27wIXPeiT,VIIVI,Aina,WM Finland,381374,3,3,FIN,2025-01-30,0uBQFamFpphOS27wIXPeiT
7,spotify:track:56gErvTUBhx82XqEauET28,Nelli Matula,Hitaammin hautaan,Universal Music Oy,376331,2,3,FIN,2025-01-30,56gErvTUBhx82XqEauET28
8,spotify:track:6OKQ4Zca1qPutoAP70WDJY,kia,bändipaita,WM Finland,373920,8,1,FIN,2025-01-30,6OKQ4Zca1qPutoAP70WDJY
9,spotify:track:6zLzNEyVqtyZoohE75maSy,Averagekidluke,Diva,WM Finland,358064,1,11,FIN,2025-01-30,6zLzNEyVqtyZoohE75maSy
10,spotify:track:5CbkZJipjT198pDW8v3k2u,"Ares, Averagekidluke, Turisti",Iha miten vaa,WM Finland,336868,2,14,FIN,2025-01-30,5CbkZJipjT198pDW8v3k2u
11,spotify:track:17MJxFMzJkmy1f9m1ubTS3,costee,Sekaisin,WM Finland,317542,5,3,FIN,2025-01-30,17MJxFMzJkmy1f9m1ubTS3
12,spotify:track:4d4jaU4L2WiA4m181RaaWG,"william, Isac Elliot",Anteeks,WM Finland,314402,2,9,FIN,2025-01-30,4d4jaU4L2WiA4m181RaaWG
13,spotify:track:4n6PzDyWGkjAVRl74aR8Pb,"Sliki, Turisti",Ne oli vääräs (feat. Turisti),Sony Music Entertainment Finland,275210,5,12,FIN,2025-01-30,4n6PzDyWGkjAVRl74aR8Pb
14,spotify:track:7pas0lEEhW9FpmWkDJ260C,Bizi,Päivä joka meidät pilaa,PME Records,261848,14,2,FIN,2025-01-30,7pas0lEEhW9FpmWkDJ260C
15,spotify:track:62fvSFu3kdDzTd0z5LQcnX,JVG,"Tili tuli, tili meni",PME Records,260985,4,3,FIN,2025-01-30,62fvSFu3kdDzTd0z5LQcnX
16,spotify:track:5A5sHRQoeJHzMULQGPLoOV,ibe,Marraskuu,Skorpioni,258573,1,13,FIN,2025-01-30,5A5sHRQoeJHzMULQGPLoOV
17,spotify:track:0yHHRRby7OZ54qY8scFcBa,"Ares, Jore & Zpoppa",Merimies (feat. Jore & Zpoppa),WM Finland,247188,17,1,FIN,2025-01-30,0yHHRRby7OZ54qY8scFcBa
18,spotify:track:0M6h2AOJ6YjnkdGfeJEmuo,"Isaac Sene, Turisti",Ympyrää,SENE RECORDS,247045,4,10,FIN,2025-01-30,0M6h2AOJ6YjnkdGfeJEmuo
19,spotify:track:1KGRYDGIkt2DOwjXdPicxF,"Korelon, SHRTY",Se Nainen,Korelon,246361,19,1,FIN,2025-01-30,1KGRYDGIkt2DOwjXdPicxF
20,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,242532,11,24,FIN,2025-01-30,2plbrEY59IikOBgBGLjaoe
21,spotify:track:36lT6tdND08VVvv3HwbhZD,Mirella,Timanttei,Universal Music Oy,239238,1,56,FIN,2025-01-30,36lT6tdND08VVvv3HwbhZD
22,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,232499,15,15,FIN,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
23,spotify:track:0msAT2TjdYnHHCkS2WajM4,"Isac Elliot, Miriam Bryant",Otan Kii,WM Finland,228719,3,23,FIN,2025-01-30,0msAT2TjdYnHHCkS2WajM4
24,spotify:track:5tfW3t4zAZoeftsKQI0jD0,Mirella,Täs mä oon,Universal Music Oy,219952,2,13,FIN,2025-01-30,5tfW3t4zAZoeftsKQI0jD0
