rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:1RiCNSkK4AfT1j8ZM4JnVs,GIMS,CIEL,Play Two,3215243,1,14,FRA,2025-01-30,1RiCNSkK4AfT1j8ZM4JnVs
2,spotify:track:0qlYaRFGvgR6afy1f4BBwD,Gazo,NANANI NANANA,BSB PROD,2420720,1,9,FRA,2025-01-30,0qlYaRFGvgR6afy1f4BBwD
3,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,2381520,2,3,FRA,2025-01-30,3sK8wGT43QFpWrvNQsrQya
4,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2200909,4,15,FRA,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
5,spotify:track:0yyFAbTlOk7DFhh6RSug9S,GIMS,SOIS PAS TIMIDE,Play Two,2191572,1,28,FRA,2025-01-30,0yyFAbTlOk7DFhh6RSug9S
6,spotify:track:1y7dY7Xu4nWM4SK2dEnoAT,"Damso, Kalash",Alpha,Trente-quatre centimes,1930593,1,11,FRA,2025-01-30,1y7dY7Xu4nWM4SK2dEnoAT
7,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1862564,6,24,FRA,2025-01-30,2plbrEY59IikOBgBGLjaoe
8,spotify:track:7dzuYJwwtNnfcptmbD58aJ,Joé Dwèt Filé,4 Kampé,Play Two,1842074,6,14,FRA,2025-01-30,7dzuYJwwtNnfcptmbD58aJ
9,spotify:track:1Mzg6bu3hkCwJKEf7v49MN,SDM,CARTIER SANTOS,Universal Music Division Capitol Music France,1805749,1,18,FRA,2025-01-30,1Mzg6bu3hkCwJKEf7v49MN
10,spotify:track:4mNttG8qiVh4BKrMUrUhCI,Dr. Yaro,Minimum ça,ELEVA,1577767,5,21,FRA,2025-01-30,4mNttG8qiVh4BKrMUrUhCI
11,spotify:track:6BPcUXYERAahpunmb0AovH,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,1542496,1,10,FRA,2025-01-30,6BPcUXYERAahpunmb0AovH
12,spotify:track:7ifFhxRIvYbe4IuzIkY2Qi,Bouss,Ça parle mal,Le Grand Carré / Level Up Music,1509826,3,22,FRA,2025-01-30,7ifFhxRIvYbe4IuzIkY2Qi
13,spotify:track:5NWpquAje6NyvxD57oXNu6,"GIMS, DYSTINCT",SPIDER,Play Two,1461280,1,38,FRA,2025-01-30,5NWpquAje6NyvxD57oXNu6
14,spotify:track:2UntklImLREdP8pMAzr4c4,"Rim'K, SDM",Run,MB,1335781,14,3,FRA,2025-01-30,2UntklImLREdP8pMAzr4c4
15,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,1331419,15,7,FRA,2025-01-30,35ISBknsCeZQtq66xABI9g
16,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1325173,13,3,FRA,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
17,spotify:track:5jX61gvbNenSDMldQrbtsU,SDM,POUR ELLE,Universal Music Division Capitol Music France,1308644,1,18,FRA,2025-01-30,5jX61gvbNenSDMldQrbtsU
18,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1203027,17,31,FRA,2025-01-30,6WatFBLVB0x077xWeoVc2k
19,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1169716,13,37,FRA,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
20,spotify:track:5cAzaNbU7AEgfsJgL9sbtX,Linh,Je pense à vous,Jo&Co / Black Star Music,1158545,20,10,FRA,2025-01-30,5cAzaNbU7AEgfsJgL9sbtX
