rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,3300863,1,3,ITA,2025-01-30,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:420QMNPnHsbAqkkxBt2ifJ,"RRARI DAL TACCO, Kid Yugi",BIANCA (feat. Kid Yugi),Universal Music Italia srL.,3062122,2,1,ITA,2025-01-30,420QMNPnHsbAqkkxBt2ifJ
3,spotify:track:7LjhTVncMxoH9X6KMWECgq,"Papa V, Nerissima Serpe, Shiva, Night Skinny, Fritu",Wop Wop (feat. Shiva),UNIKAL,2121728,2,2,ITA,2025-01-30,7LjhTVncMxoH9X6KMWECgq
4,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,2052600,3,4,ITA,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
5,spotify:track:6cGhVnQAJRxGVsltCU06vF,Guè,Vibe,Universal Music Italia srL.,1896130,5,3,ITA,2025-01-30,6cGhVnQAJRxGVsltCU06vF
6,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1869449,1,11,ITA,2025-01-30,41lOxc6ARYZPXpKeMWcHsD
7,spotify:track:2L16IuIQgLL1HupWGN4F4t,Cesare Cremonini,Ora che non ho più te,Universal Music Italia srL.,1831200,1,19,ITA,2025-01-30,2L16IuIQgLL1HupWGN4F4t
8,spotify:track:5MJc4IVIt17xEt6angtZcq,Lazza,BUIO DAVANTI,Universal Music Italia srL.,1816020,8,19,ITA,2025-01-30,5MJc4IVIt17xEt6angtZcq
9,spotify:track:4X4R6qsIicxIQIFbnDcJLO,"Olly, JVLI",Scarabocchi,Epic,1774906,4,14,ITA,2025-01-30,4X4R6qsIicxIQIFbnDcJLO
10,spotify:track:5IVog5NE9Ccw4cLrOqXSUG,"Paky, Simba La Rue",Gangsta Shit (feat. Simba La Rue),Warner Music,1671704,10,2,ITA,2025-01-30,5IVog5NE9Ccw4cLrOqXSUG
11,spotify:track:50uGP4Bs22S1iPNn1hTo3R,"Papa V, Nerissima Serpe, Fritu",A Lei,UNIKAL,1639366,11,2,ITA,2025-01-30,50uGP4Bs22S1iPNn1hTo3R
12,spotify:track:2DkiFEQ1ihXcYKaIRsfGFp,Marracash,LEI,Universal Music Italia srL.,1629601,1,7,ITA,2025-01-30,2DkiFEQ1ihXcYKaIRsfGFp
13,spotify:track:00URgxWgyVoybGLhhmKr7g,"Baby Gang, Omega, Higashi, Roberto Ferrante",Tu Me Quieres - Prod. by Higashi x Roberto Ferrante,Baby Gang / Planet Records [Powered by Planet Distribution],1608949,10,20,ITA,2025-01-30,00URgxWgyVoybGLhhmKr7g
14,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,1599110,2,15,ITA,2025-01-30,1QcmAp6Ev2HuYxKujUwnw0
15,spotify:track:6Ajvu1afirjocbZK934qqh,"Simba La Rue, Tony Boy, FT Kings",AYAHUASCA (feat. Tony Boy),Warner Music,1529116,1,4,ITA,2025-01-30,6Ajvu1afirjocbZK934qqh
