rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:0GssNPAI7NSbi1aaThO3EX,"Kjartan Lauritzen, Hver gang vi møtes",Fanga av ein stormvind,WM Norway,563451,1,4,NOR,2025-01-30,0GssNPAI7NSbi1aaThO3EX
2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,558125,2,15,NOR,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,528219,1,24,NOR,2025-01-30,2plbrEY59IikOBgBGLjaoe
4,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,458320,4,9,NOR,2025-01-30,35ISBknsCeZQtq66xABI9g
5,spotify:track:2miHLrDMptHROYGC3sVXnV,"Astrid S, Hver gang vi møtes",Det regner i Oslo,"Joyride, distributed by Gladstone",432010,1,5,NOR,2025-01-30,2miHLrDMptHROYGC3sVXnV
6,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",425945,1,15,NOR,2025-01-30,7ne4VBA60CxGM75vw0EYad
7,spotify:track:7px3lmdf4nzNEMt6zaQ5yJ,"Marstein, Annika",SAMMEN,Universal Music AS,404064,1,14,NOR,2025-01-30,7px3lmdf4nzNEMt6zaQ5yJ
8,spotify:track:5t4O0SahpSw7pavJBwGEC5,"Kjartan Lauritzen, Hver gang vi møtes",Bygdegut (her er eg),WM Norway,399057,4,4,NOR,2025-01-30,5t4O0SahpSw7pavJBwGEC5
9,spotify:track:3ULg1vFh05UW6TPSnsgGpy,"Sandra Lyng, Carina Dahl",Jentekveld,WM Norway,398805,9,1,NOR,2025-01-30,3ULg1vFh05UW6TPSnsgGpy
10,spotify:track:5KXGFjw48liIgAqTMv3jfs,"Ballinciaga, Nossan",PRTY,Universal Music AS Distributed Labels,369803,10,1,NOR,2025-01-30,5KXGFjw48liIgAqTMv3jfs
11,spotify:track:644tsD8rIbhCmxsR0pcvg4,"Astrid S, Hver gang vi møtes",Symfoni,Joyride,321854,6,4,NOR,2025-01-30,644tsD8rIbhCmxsR0pcvg4
12,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,306595,3,24,NOR,2025-01-30,2262bWmqomIaJXwCRHr13j
13,spotify:track:3BntzKsnLf2pc0dsvE3Zav,Teddy Swims,Bad Dreams,Warner Records,283955,11,20,NOR,2025-01-30,3BntzKsnLf2pc0dsvE3Zav
14,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,277086,4,37,NOR,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
15,spotify:track:4EHOlCY87X7Tak4Ql8exiS,Bausa,Gassed,Distortion Label,274050,15,1,NOR,2025-01-30,4EHOlCY87X7Tak4Ql8exiS
16,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,269406,16,1,NOR,2025-01-30,2zOmS55knKWSgScYPTNmGQ
17,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,269090,4,18,NOR,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
18,spotify:track:1KZG1H1OCugGqIRmk1wF9m,"Sam Barber, Avery Anna",Indigo (feat. Avery Anna),Lockeland Springs/Atlantic,256113,16,8,NOR,2025-01-30,1KZG1H1OCugGqIRmk1wF9m
19,spotify:track:468eI0Pa2pHWH99czCghAU,"Astrid S, Fay Wildhagen, Hver gang vi møtes",A Lovestory,"Joyride, distributed by Gladstone",255179,12,3,NOR,2025-01-30,468eI0Pa2pHWH99czCghAU
20,spotify:track:7McuDKPPrOXe5I0Y7b8wlg,Roc Boyz,Vil Ikke Dele,Roc Boyz,250539,10,2,NOR,2025-01-30,7McuDKPPrOXe5I0Y7b8wlg
21,spotify:track:7BJNNmsQHnZBd1A5sRXQ5H,"Jon Ranes, ULD",Sover du,Def Jam Recordings Norway,239652,21,1,NOR,2025-01-30,7BJNNmsQHnZBd1A5sRXQ5H
22,spotify:track:7mhql4UsUdJ3RJCoWbw054,"Astrid S, Hver gang vi møtes",Romantisk,Joyride,237937,22,1,NOR,2025-01-30,7mhql4UsUdJ3RJCoWbw054
23,spotify:track:0vxNNwfm6zj8ISkCi6INFR,Hunter Metts,Weathervane,Position Music,231801,18,7,NOR,2025-01-30,0vxNNwfm6zj8ISkCi6INFR
24,spotify:track:2QyL2WhZmOfpVSxy2BaI8U,"Golfklubb, Dizzy, Philippe",Sees Igjen,Distortion Label,230741,1,17,NOR,2025-01-30,2QyL2WhZmOfpVSxy2BaI8U
25,spotify:track:0vxDeUgs9QnjzGlkAGUuAA,Golfklubb,YAYO,Distortion Label,226858,25,1,NOR,2025-01-30,0vxDeUgs9QnjzGlkAGUuAA
26,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,223203,5,71,NOR,2025-01-30,17phhZDn6oGtzMe56NuWvj
27,spotify:track:7hDjwHEudXcfgskoZXUiMO,"Kjartan Lauritzen, Hver gang vi møtes",Berre ein gut,WM Norway,222349,21,2,NOR,2025-01-30,7hDjwHEudXcfgskoZXUiMO
28,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,221195,12,281,NOR,2025-01-30,3hRV0jL3vUpRrcy398teAU
