rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1782668,1,24,CAN,2025-01-30,2plbrEY59IikOBgBGLjaoe
2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1639055,1,15,CAN,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
3,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1501567,1,15,CAN,2025-01-30,7ne4VBA60CxGM75vw0EYad
4,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,1398759,4,1,CAN,2025-01-30,2zOmS55knKWSgScYPTNmGQ
5,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",1258098,1,10,CAN,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd
6,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,1223220,6,9,CAN,2025-01-30,35ISBknsCeZQtq66xABI9g
7,spotify:track:1Es7AUAhQvapIcoh3qMKDL,The Weeknd,Timeless,XO / Republic Records,1163523,1,18,CAN,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
8,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1142789,4,3,CAN,2025-01-30,3sK8wGT43QFpWrvNQsrQya
9,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1115154,3,37,CAN,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
10,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,1080151,3,26,CAN,2025-01-30,2262bWmqomIaJXwCRHr13j
11,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,1056958,1,42,CAN,2025-01-30,5fZJQrFKWQLb7FpJXZ1g7K
12,spotify:track:6s8WSX1MxNThrot8ThI6fG,Travis Scott,4X4,Cactus Jack / Epic,969362,12,1,CAN,2025-01-30,6s8WSX1MxNThrot8ThI6fG
13,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,949603,1,38,CAN,2025-01-30,5IZXB5IKAD2qlvTPJYDCFB
14,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",893317,4,10,CAN,2025-01-30,0aB0v4027ukVziUGwVGYpG
15,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,876099,4,43,CAN,2025-01-30,0WbMK4wrZ1wFSty9F7FCgu
16,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,855735,5,70,CAN,2025-01-30,17phhZDn6oGtzMe56NuWvj
17,spotify:track:4pftaoQbbheCXSdleWIeDK,"Central Cee, 21 Savage",GBP (feat. 21 Savage),Columbia,827781,17,2,CAN,2025-01-30,4pftaoQbbheCXSdleWIeDK
18,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,812805,2,42,CAN,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
19,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,SZA,BMF,Top Dawg Entertainment/RCA Records,811357,12,6,CAN,2025-01-30,3U3hFkMr0Q90pD24EkE3Pr
20,spotify:track:7hR22TOX3RorxJPcsz5Wbo,Morgan Wallen,Love Somebody,Big Loud Records / Mercury Records / Republic Records,803025,2,15,CAN,2025-01-30,7hR22TOX3RorxJPcsz5Wbo
21,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,749681,16,3,CAN,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
22,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",748974,1,54,CAN,2025-01-30,3xkHsmpQCBMytMJNiDf3Ii
23,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,724811,1,96,CAN,2025-01-30,0mflMxspEfB0VbI1kyLiAv
24,spotify:track:1KZG1H1OCugGqIRmk1wF9m,"Sam Barber, Avery Anna",Indigo (feat. Avery Anna),Lockeland Springs/Atlantic,723692,19,8,CAN,2025-01-30,1KZG1H1OCugGqIRmk1wF9m
25,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,712650,1,23,CAN,2025-01-30,5G2f63n7IPVPPjfNIGih7Q
26,spotify:track:5M2lX0ZAYSAzCs1xPPi9BX,"Sexyy Red, Bruno Mars",Fat Juicy & Wet,gamma. / Atlantic Records,705199,26,1,CAN,2025-01-30,5M2lX0ZAYSAzCs1xPPi9BX
27,spotify:track:3tFed7YsjGnIfxeLEQwx3R,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",Columbia,700248,16,14,CAN,2025-01-30,3tFed7YsjGnIfxeLEQwx3R
28,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,699436,28,4,CAN,2025-01-30,2FAZskT9yRjp2Oow9szJD8
29,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,688349,1,45,CAN,2025-01-30,19XpFsce28aByvCC4g89tJ
30,spotify:track:7HDq8aEtkBeZq7gfzYjW28,GELO,Tweaker,LiAngelo Ball (G3) PS/Def Jam,680204,16,4,CAN,2025-01-30,7HDq8aEtkBeZq7gfzYjW28
31,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",675431,9,27,CAN,2025-01-30,51rfRCiUSvxXlCSCfIztBy
32,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,666840,16,37,CAN,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h
33,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,660318,25,14,CAN,2025-01-30,6jbYpRPTEFl1HFKHk1IC0m
34,spotify:track:3MJ6lFNV12FSHAOzTzkwxz,Morgan Wallen,Smile,Big Loud Records / Mercury Records / Republic Records,644602,9,5,CAN,2025-01-30,3MJ6lFNV12FSHAOzTzkwxz
35,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,Don Toliver,No Pole,Cactus Jack / Atlantic,633081,27,15,CAN,2025-01-30,0eaVIYo2zeOaGJeqZ5TwYz
36,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,628098,26,3,CAN,2025-01-30,2lTm559tuIvatlT1u0JYG2
37,spotify:track:4ZJ4vzLQekI0WntDbanNC7,Zach Bryan,Pink Skies,Warner Records,623291,7,36,CAN,2025-01-30,4ZJ4vzLQekI0WntDbanNC7
38,spotify:track:7K3BhSpAxZBznislvUMVtn,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,602089,1,105,CAN,2025-01-30,7K3BhSpAxZBznislvUMVtn
39,spotify:track:1eTaznNW4Xxtx9za2SMTXB,Doechii,DENIAL IS A RIVER,Top Dawg Entertainment/Capitol Records,601238,37,4,CAN,2025-01-30,1eTaznNW4Xxtx9za2SMTXB
40,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,575212,2,75,CAN,2025-01-30,4KULAymBBJcPRpk1yO4dOG
41,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,568276,18,226,CAN,2025-01-30,0cQVqPuHQP4KEwc7ZUQmj6
42,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",567325,2,39,CAN,2025-01-30,6AI3ezQ4o3HUoP6Dhudph3
43,spotify:track:0nj9Bq5sHDiTxSHunhgkFb,Kendrick Lamar,squabble up,"pgLang, under exclusive license to Interscope Records",566950,3,10,CAN,2025-01-30,0nj9Bq5sHDiTxSHunhgkFb
44,spotify:track:6jx0JZB3f0Cc2jjdldYaDb,"Central Cee, Lil Durk",Truth In The Lies (feat. Lil Durk),Columbia,561252,44,1,CAN,2025-01-30,6jx0JZB3f0Cc2jjdldYaDb
