rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,14385460,1,4,MEX,2025-01-30,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:63EQbNhgaih4yg5412usWG,Neton Vega,Loco,Josa Records,13357239,2,6,MEX,2025-01-30,63EQbNhgaih4yg5412usWG
3,spotify:track:0LTwdL5yZ6YOTEGUQPFuSN,Tito Double P,ROSONES,Double P Records,12194665,1,8,MEX,2025-01-30,0LTwdL5yZ6YOTEGUQPFuSN
4,spotify:track:7sd6zMrgGpEa7NkQm9TRrg,Tito Double P,NADIE,Double P Records,10390839,2,10,MEX,2025-01-30,7sd6zMrgGpEa7NkQm9TRrg
5,spotify:track:3D24ErT1MMmUfXWotSj2A2,"Fuerza Regida, Grupo Frontera",ME JALO,Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin,8995552,5,6,MEX,2025-01-30,3D24ErT1MMmUfXWotSj2A2
6,spotify:track:4OLT65TRsOx3Iv1TlCcQVb,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",Presidente,Los CT Records,8862448,2,15,MEX,2025-01-30,4OLT65TRsOx3Iv1TlCcQVb
7,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,8653808,5,4,MEX,2025-01-30,2lTm559tuIvatlT1u0JYG2
8,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,"Tito Double P, Peso Pluma",DOS DÍAS,2024 Double P Records,8375115,2,23,MEX,2025-01-30,5lKFO0PrOC9jmOlPEdjHsL
9,spotify:track:4Ndjd6DhKIC5IPoBIrMQuX,"Carin Leon, Gabito Ballesteros",Ese Vato No Te Queda,"Socios Music, LLC",8317719,9,14,MEX,2025-01-30,4Ndjd6DhKIC5IPoBIrMQuX
10,spotify:track:1cOboCuWYI2osTOfolMRS6,"Oscar Maydon, Fuerza Regida",Tu Boda,Rancho Humilde/Sony Music Latin,8094828,1,18,MEX,2025-01-30,1cOboCuWYI2osTOfolMRS6
11,spotify:track:4dF08DjAjgactxNnsjRod6,"Luis R Conriquez, Peso Pluma",Bandida,Kartel Music,7939935,11,2,MEX,2025-01-30,4dF08DjAjgactxNnsjRod6
12,spotify:track:6X6m4xmdFcz31p1h7Qg68c,Tito Double P,EL LOKERON,2024 Double P Records,7304214,1,23,MEX,2025-01-30,6X6m4xmdFcz31p1h7Qg68c
13,spotify:track:6x59lSlNU7TvsJZy7134uC,"Jorsshh, Fuerza Regida",ROSONES,Street Mob Records,7074209,9,11,MEX,2025-01-30,6x59lSlNU7TvsJZy7134uC
14,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,6671720,12,4,MEX,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
15,spotify:track:0hfXHqWhOpbR9YQmQojDMN,Peso Pluma,gervonta,Double P Records,6355717,5,8,MEX,2025-01-30,0hfXHqWhOpbR9YQmQojDMN
16,spotify:track:3IEvQ1CzszUJtTRLmmMJ2X,"Tito Double P, Junior H",5-7,2024 Double P Records,6322023,10,23,MEX,2025-01-30,3IEvQ1CzszUJtTRLmmMJ2X
17,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,6270035,11,4,MEX,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
18,spotify:track:2lAUq68F2bt7Kc218n9FPp,"Tito Double P, Grupo Frontera",AY MAMÁ,2024 Double P Records,6010597,7,23,MEX,2025-01-30,2lAUq68F2bt7Kc218n9FPp
19,spotify:track:0NsGFMIo2aNbAkJu48ndaf,Chino Pacas,Morena Canela,Street Mob Records/PFL/Geffen Records,5836982,7,13,MEX,2025-01-30,0NsGFMIo2aNbAkJu48ndaf
20,spotify:track:6HrALJOMsfPCCbUo5cJCON,"Tito Double P, Chino Pacas",ESCAPATE,2024 Double P Records,5754803,3,23,MEX,2025-01-30,6HrALJOMsfPCCbUo5cJCON
21,spotify:track:43558Td2trz7O0chZYohEE,"Natanael Cano, Nueva H",Amapola,WEA Latina,5503397,8,8,MEX,2025-01-30,43558Td2trz7O0chZYohEE
22,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,5390783,15,4,MEX,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
23,spotify:track:5LHPcY9yd0hWVFIW4yfOCJ,"Chuyin, Fuerza Regida, Jorsshh, Calle 24",Pika Pika,Street Mob Records,5222659,23,4,MEX,2025-01-30,5LHPcY9yd0hWVFIW4yfOCJ
24,spotify:track:6YOfGIE6iFxC7G8OlGGvzW,Junior H,ROCKSTAR,WEA Latina,4963063,7,69,MEX,2025-01-30,6YOfGIE6iFxC7G8OlGGvzW
25,spotify:track:5GTBdEjZe7zEDp1N0eCZE4,"Peso Pluma, Estevan Plazola",HOLLYWOOD,2024 Double P Records,4806845,16,32,MEX,2025-01-30,5GTBdEjZe7zEDp1N0eCZE4
26,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,4768254,9,11,MEX,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
27,spotify:track:2aYZaN5SmkRDLsrrV8GkBQ,"Peso Pluma, Neton Vega",LA PATRULLA,2024 Double P Records,4704808,1,32,MEX,2025-01-30,2aYZaN5SmkRDLsrrV8GkBQ
28,spotify:track:7qXptgpZGo8AFPhJCBVLFE,"Tito Double P, Neton Vega",LINDA,2024 Double P Records,4670823,11,35,MEX,2025-01-30,7qXptgpZGo8AFPhJCBVLFE
29,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,4559385,11,11,MEX,2025-01-30,1YYfyJ2yCvGFCxwjsIqEK9
30,spotify:track:0zLA16D7GXoT8K7XFaiCv3,"Tito Double P, Armenta",TU SI,2024 Double P Records,4293987,30,15,MEX,2025-01-30,0zLA16D7GXoT8K7XFaiCv3
31,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,4281213,17,4,MEX,2025-01-30,5WEF0icHWmAZBBMglBd599
