rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,12525284,1,4,USA,2025-01-30,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,11608704,1,24,USA,2025-01-30,2plbrEY59IikOBgBGLjaoe
3,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",10667786,1,10,USA,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd
4,spotify:track:6s8WSX1MxNThrot8ThI6fG,Travis Scott,4X4,Cactus Jack / Epic,9875336,4,1,USA,2025-01-30,6s8WSX1MxNThrot8ThI6fG
5,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",9198942,1,10,USA,2025-01-30,0aB0v4027ukVziUGwVGYpG
6,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,8680856,2,4,USA,2025-01-30,2lTm559tuIvatlT1u0JYG2
7,spotify:track:3tFed7YsjGnIfxeLEQwx3R,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",Columbia,8003165,2,14,USA,2025-01-30,3tFed7YsjGnIfxeLEQwx3R
8,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",7946915,1,15,USA,2025-01-30,7ne4VBA60CxGM75vw0EYad
9,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,7853424,1,15,USA,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
10,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,7664811,3,4,USA,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
11,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,7570783,11,9,USA,2025-01-30,35ISBknsCeZQtq66xABI9g
12,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,7552177,1,18,USA,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
13,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,7486960,2,28,USA,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU
14,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,7427871,2,37,USA,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
15,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,7378180,3,27,USA,2025-01-30,2262bWmqomIaJXwCRHr13j
16,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,7321876,16,1,USA,2025-01-30,2zOmS55knKWSgScYPTNmGQ
17,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,6581911,11,14,USA,2025-01-30,6jbYpRPTEFl1HFKHk1IC0m
18,spotify:track:0nj9Bq5sHDiTxSHunhgkFb,Kendrick Lamar,squabble up,"pgLang, under exclusive license to Interscope Records",6196844,1,10,USA,2025-01-30,0nj9Bq5sHDiTxSHunhgkFb
19,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,6161540,1,43,USA,2025-01-30,0WbMK4wrZ1wFSty9F7FCgu
20,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,6138951,9,4,USA,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
21,spotify:track:63EQbNhgaih4yg5412usWG,Neton Vega,Loco,Josa Records,5862082,21,5,USA,2025-01-30,63EQbNhgaih4yg5412usWG
22,spotify:track:5M2lX0ZAYSAzCs1xPPi9BX,"Sexyy Red, Bruno Mars",Fat Juicy & Wet,gamma. / Atlantic Records,5714529,22,1,USA,2025-01-30,5M2lX0ZAYSAzCs1xPPi9BX
23,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,5635358,14,4,USA,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
24,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,SZA,BMF,Top Dawg Entertainment/RCA Records,5585768,12,6,USA,2025-01-30,3U3hFkMr0Q90pD24EkE3Pr
25,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,The Marías,No One Noticed,Nice Life/Atlantic,5429115,20,24,USA,2025-01-30,3siwsiaEoU4Kuuc9WKMUy5
26,spotify:track:3aSWXU6owkZeVhh94XxEWO,"SZA, Kendrick Lamar",30 For 30 (with Kendrick Lamar),Top Dawg Entertainment/RCA Records,5395115,19,6,USA,2025-01-30,3aSWXU6owkZeVhh94XxEWO
27,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,5211890,11,37,USA,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h
28,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,Don Toliver,No Pole,Cactus Jack / Atlantic,5178351,25,15,USA,2025-01-30,0eaVIYo2zeOaGJeqZ5TwYz
29,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5153089,5,187,USA,2025-01-30,7KA4W4McWYRpgf0fWsJZWB
30,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,5108068,1,42,USA,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
31,spotify:track:1eTaznNW4Xxtx9za2SMTXB,Doechii,DENIAL IS A RIVER,Top Dawg Entertainment/Capitol Records,5103683,31,5,USA,2025-01-30,1eTaznNW4Xxtx9za2SMTXB
32,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,5080815,1,38,USA,2025-01-30,5IZXB5IKAD2qlvTPJYDCFB
33,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,5037751,10,4,USA,2025-01-30,7d6yK8v8J484SWH5prIQiE
34,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,5033194,3,42,USA,2025-01-30,5fZJQrFKWQLb7FpJXZ1g7K
35,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,4988106,10,64,USA,2025-01-30,17phhZDn6oGtzMe56NuWvj
36,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",4780560,1,39,USA,2025-01-30,6AI3ezQ4o3HUoP6Dhudph3
37,spotify:track:7HDq8aEtkBeZq7gfzYjW28,GELO,Tweaker,LiAngelo Ball (G3) PS/Def Jam,4754014,20,4,USA,2025-01-30,7HDq8aEtkBeZq7gfzYjW28
38,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,4713111,1,23,USA,2025-01-30,5G2f63n7IPVPPjfNIGih7Q
39,spotify:track:7hR22TOX3RorxJPcsz5Wbo,Morgan Wallen,Love Somebody,Big Loud Records / Mercury Records / Republic Records,4597625,3,15,USA,2025-01-30,7hR22TOX3RorxJPcsz5Wbo
40,spotify:track:3MJ6lFNV12FSHAOzTzkwxz,Morgan Wallen,Smile,Big Loud Records / Mercury Records / Republic Records,4439483,8,5,USA,2025-01-30,3MJ6lFNV12FSHAOzTzkwxz
41,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,4395485,16,4,USA,2025-01-30,5WEF0icHWmAZBBMglBd599
42,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,4368669,13,232,USA,2025-01-30,0cQVqPuHQP4KEwc7ZUQmj6
43,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,4165904,30,11,USA,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
44,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,4137701,2,125,USA,2025-01-30,3GCdLUSnKSMJhs4Tj6CV3s
45,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",4056008,11,29,USA,2025-01-30,51rfRCiUSvxXlCSCfIztBy
46,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,4022331,10,112,USA,2025-01-30,4iZ4pt7kvcaH6Yo8UoZ4s2
47,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,4001683,2,118,USA,2025-01-30,0mflMxspEfB0VbI1kyLiAv
