rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:4x7j9ed3FRH6CHj27kiTQ3,Oimara,Wackelkontakt,stereopolrecords / ZEITGEIST for Virgin Records,343871,1,3,AUS,2025-01-30,4x7j9ed3FRH6CHj27kiTQ3
2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,330872,1,15,AUS,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,249418,2,24,AUS,2025-01-30,2plbrEY59IikOBgBGLjaoe
4,spotify:track:1EDPVGbyPKJPeGqATwXZvN,Linkin Park,The Emptiness Machine,Warner Records,241604,1,21,AUS,2025-01-30,1EDPVGbyPKJPeGqATwXZvN
5,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",223192,2,15,AUS,2025-01-30,7ne4VBA60CxGM75vw0EYad
6,spotify:track:61lNxSCj38lvmZjJZuhXSt,reezy,SABÍA QUE NO,Four Music/Teenager Forever,221098,2,3,AUS,2025-01-30,61lNxSCj38lvmZjJZuhXSt
7,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,215422,4,3,AUS,2025-01-30,3sK8wGT43QFpWrvNQsrQya
8,spotify:track:2zsb697TLzjzMcRyhmuHt4,LACAZETTE,MNG,LACAZETTE,201845,8,1,AUS,2025-01-30,2zsb697TLzjzMcRyhmuHt4
9,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,174126,7,8,AUS,2025-01-30,35ISBknsCeZQtq66xABI9g
10,spotify:track:6s8WSX1MxNThrot8ThI6fG,Travis Scott,4X4,Cactus Jack / Epic,162929,10,1,AUS,2025-01-30,6s8WSX1MxNThrot8ThI6fG
11,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,150949,2,23,AUS,2025-01-30,2262bWmqomIaJXwCRHr13j
12,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,150701,5,37,AUS,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
13,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,148984,13,5,AUS,2025-01-30,2FAZskT9yRjp2Oow9szJD8
14,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,144607,4,18,AUS,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
15,spotify:track:05ayHD9SFkfqhVUOUxBOyv,"Tream, Mia Julia",HERZBLATT (AUA AUA),3AM MUSIC,143642,8,2,AUS,2025-01-30,05ayHD9SFkfqhVUOUxBOyv
16,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,133030,16,1,AUS,2025-01-30,2zOmS55knKWSgScYPTNmGQ
17,spotify:track:3wPPWcVuinAU7dXcJXtCID,"Naughty Boy, Sam Smith",La La La,Virgin Records Ltd,126168,9,7,AUS,2025-01-30,3wPPWcVuinAU7dXcJXtCID
18,spotify:track:69yw1KhYUuGwUbOImS0jju,RIAN,Verwandtschaftstreffen,Born & Raised/Warner Music Central Europe,125707,9,14,AUS,2025-01-30,69yw1KhYUuGwUbOImS0jju
19,spotify:track:4495xO2HkmqoYIxQO2FvAH,Jazeek,Ma Baby,NINETYNINE MUSIC x Good Kid Records x Ventura Records,116539,6,12,AUS,2025-01-30,4495xO2HkmqoYIxQO2FvAH
20,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,113558,17,3,AUS,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
21,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,105457,11,36,AUS,2025-01-30,0WbMK4wrZ1wFSty9F7FCgu
22,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,99327,17,286,AUS,2025-01-30,5RKQ5NdjSh2QzD4MaunT91
23,spotify:track:5EcG8eMMlwkHRVa4aTR1qd,Rihanna,Breakin' Dishes,Def Jam Recordings,98508,23,10,AUS,2025-01-30,5EcG8eMMlwkHRVa4aTR1qd
24,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,98148,15,223,AUS,2025-01-30,003vvx7Niy0yvhvHt4a68B
25,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,97925,18,164,AUS,2025-01-30,3hRV0jL3vUpRrcy398teAU
26,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,96649,14,53,AUS,2025-01-30,1JSTJqkT5qHq8MDJnJbRE1
27,spotify:track:2A1aS3mwuGuX2yk1bgxOvA,"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),Atlantic Records UK,95249,23,27,AUS,2025-01-30,2A1aS3mwuGuX2yk1bgxOvA
28,spotify:track:1v1cijv1qjMJ5o9OvMWACS,Nina Chuba,Fata Morgana,Jive,95103,5,12,AUS,2025-01-30,1v1cijv1qjMJ5o9OvMWACS
29,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,93935,6,128,AUS,2025-01-30,1mea3bSkSGXuIRvnydlB5b
30,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,93325,1,56,AUS,2025-01-30,3U5JVgI2x4rDyHGObzJfNf
31,spotify:track:4pftaoQbbheCXSdleWIeDK,"Central Cee, 21 Savage",GBP (feat. 21 Savage),Columbia,92781,31,2,AUS,2025-01-30,4pftaoQbbheCXSdleWIeDK
32,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,91677,19,223,AUS,2025-01-30,0cQVqPuHQP4KEwc7ZUQmj6
33,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",89732,3,48,AUS,2025-01-30,0rtDE9zfXbamTlRUSwY7zy
34,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,89261,1,46,AUS,2025-01-30,3JG1uFc40wfyrqaWC7iv0e
35,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,89124,2,44,AUS,2025-01-30,19XpFsce28aByvCC4g89tJ
36,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,88981,17,258,AUS,2025-01-30,22skzmqfdWrjJylampe0kt
37,spotify:track:4iD4W5c2bpkLRoFbzUIuR2,"Shirin David, Ski Aggu",atzen & barbies (feat. ski aggu),Juicy Money Records,86341,6,3,AUS,2025-01-30,4iD4W5c2bpkLRoFbzUIuR2
38,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,86239,16,36,AUS,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h
39,spotify:track:4hYinIaRxdaoEFSQni6K6I,Wir sind Helden,Nur ein Wort,Virgin,85617,39,3,AUS,2025-01-30,4hYinIaRxdaoEFSQni6K6I
40,spotify:track:5nPbKG04fhLkIAjcPFaZq7,"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm),Virgin,85308,40,26,AUS,2025-01-30,5nPbKG04fhLkIAjcPFaZq7
41,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,85150,7,41,AUS,2025-01-30,5fZJQrFKWQLb7FpJXZ1g7K
42,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,84985,4,42,AUS,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
43,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",84782,1,54,AUS,2025-01-30,3xkHsmpQCBMytMJNiDf3Ii
44,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,84772,12,94,AUS,2025-01-30,2nLtzopw4rPReszdYBJU6h
45,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,84656,7,56,AUS,2025-01-30,17phhZDn6oGtzMe56NuWvj
46,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,"The Weeknd, Anitta",São Paulo (feat. Anitta),XO / Republic Records,83265,9,12,AUS,2025-01-30,0xGQTpN4ESETtl1Sp6rzd2
47,spotify:track:0IWHAYlVJISbDL5Wx1aXXU,Bobby Vandamme,Juana auf Snapchat,RCA & GOLD LEAGUE/GOVA Ent.,82726,47,1,AUS,2025-01-30,0IWHAYlVJISbDL5Wx1aXXU
48,spotify:track:0fvFSGvEAPDDMfweKvDJVa,"Apache 207, Luciano",Gesegnet,Four Music/Feder Musik,81140,7,2,AUS,2025-01-30,0fvFSGvEAPDDMfweKvDJVa
49,spotify:track:2HBBM75Xv3o2Mqdyh1NcM0,Linkin Park,Heavy Is the Crown,Warner Records,79891,3,19,AUS,2025-01-30,2HBBM75Xv3o2Mqdyh1NcM0
50,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,78612,6,208,AUS,2025-01-30,7jtQIBanIiJOMS6RyCx6jZ
1,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,345234,1,14,AUS,2025-01-23,4wJ5Qq0jBN4ajy7ouZIV1c
2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,266691,2,23,AUS,2025-01-23,2plbrEY59IikOBgBGLjaoe
3,spotify:track:61lNxSCj38lvmZjJZuhXSt,reezy,SABÍA QUE NO,Four Music/Teenager Forever,263731,2,2,AUS,2025-01-23,61lNxSCj38lvmZjJZuhXSt
4,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,260758,4,2,AUS,2025-01-23,3sK8wGT43QFpWrvNQsrQya
5,spotify:track:1EDPVGbyPKJPeGqATwXZvN,Linkin Park,The Emptiness Machine,Warner Records,248296,1,20,AUS,2025-01-23,1EDPVGbyPKJPeGqATwXZvN
6,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",247132,2,14,AUS,2025-01-23,7ne4VBA60CxGM75vw0EYad
7,spotify:track:0fvFSGvEAPDDMfweKvDJVa,"Apache 207, Luciano",Gesegnet,Four Music/Feder Musik,176433,7,1,AUS,2025-01-23,0fvFSGvEAPDDMfweKvDJVa
8,spotify:track:05ayHD9SFkfqhVUOUxBOyv,"Tream, Mia Julia",HERZBLATT (AUA AUA),3AM MUSIC,174575,8,1,AUS,2025-01-23,05ayHD9SFkfqhVUOUxBOyv
9,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,173259,7,7,AUS,2025-01-23,35ISBknsCeZQtq66xABI9g
10,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,173077,5,36,AUS,2025-01-23,6dOtVTDdiauQNBQEDOtlAB
11,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,170285,2,22,AUS,2025-01-23,2262bWmqomIaJXwCRHr13j
12,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,153227,4,17,AUS,2025-01-23,1Es7AUAhQvapIcoh3qMKDL
13,spotify:track:4x7j9ed3FRH6CHj27kiTQ3,Oimara,Wackelkontakt,stereopolrecords / ZEITGEIST for Virgin Records,152682,13,2,AUS,2025-01-23,4x7j9ed3FRH6CHj27kiTQ3
14,spotify:track:3wPPWcVuinAU7dXcJXtCID,"Naughty Boy, Sam Smith",La La La,Virgin Records Ltd,142875,9,6,AUS,2025-01-23,3wPPWcVuinAU7dXcJXtCID
15,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,142087,15,4,AUS,2025-01-23,2FAZskT9yRjp2Oow9szJD8
16,spotify:track:4495xO2HkmqoYIxQO2FvAH,Jazeek,Ma Baby,NINETYNINE MUSIC x Good Kid Records x Ventura Records,134179,6,11,AUS,2025-01-23,4495xO2HkmqoYIxQO2FvAH
