rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,334067,1,9,NZL,2025-01-30,2FAZskT9yRjp2Oow9szJD8
2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,316964,1,24,NZL,2025-01-30,2plbrEY59IikOBgBGLjaoe
3,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,298354,1,15,NZL,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
4,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,290461,4,10,NZL,2025-01-30,35ISBknsCeZQtq66xABI9g
5,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",248422,1,15,NZL,2025-01-30,7ne4VBA60CxGM75vw0EYad
6,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",226370,1,10,NZL,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd
7,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,218238,1,37,NZL,2025-01-30,6dOtVTDdiauQNBQEDOtlAB
8,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,190533,3,27,NZL,2025-01-30,2262bWmqomIaJXwCRHr13j
9,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,179621,3,42,NZL,2025-01-30,5fZJQrFKWQLb7FpJXZ1g7K
10,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,179483,4,75,NZL,2025-01-30,17phhZDn6oGtzMe56NuWvj
11,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,172502,1,44,NZL,2025-01-30,19XpFsce28aByvCC4g89tJ
12,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,SZA,BMF,Top Dawg Entertainment/RCA Records,169581,8,6,NZL,2025-01-30,3U3hFkMr0Q90pD24EkE3Pr
13,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,169455,13,1,NZL,2025-01-30,2zOmS55knKWSgScYPTNmGQ
14,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,165431,5,393,NZL,2025-01-30,0ofHAoxe9vBkTCp2UQIavz
15,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,157850,2,42,NZL,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz
16,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,156188,16,3,NZL,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh
17,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",153983,1,54,NZL,2025-01-30,3xkHsmpQCBMytMJNiDf3Ii
18,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,152062,4,42,NZL,2025-01-30,0WbMK4wrZ1wFSty9F7FCgu
19,spotify:track:7HDq8aEtkBeZq7gfzYjW28,GELO,Tweaker,LiAngelo Ball (G3) PS/Def Jam,150760,15,4,NZL,2025-01-30,7HDq8aEtkBeZq7gfzYjW28
20,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,148990,8,18,NZL,2025-01-30,1Es7AUAhQvapIcoh3qMKDL
21,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,145384,3,38,NZL,2025-01-30,5IZXB5IKAD2qlvTPJYDCFB
22,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,142365,2,23,NZL,2025-01-30,5G2f63n7IPVPPjfNIGih7Q
23,spotify:track:2uXlHCUbq9OMUwx3hrk06o,Vance Joy,Riptide,Atlantic Records,138858,14,346,NZL,2025-01-30,2uXlHCUbq9OMUwx3hrk06o
24,spotify:track:47NGRxSaEtJznNQ17dFg4c,Maoli,Every Night Every Morning,Awong Entertainment,137432,24,45,NZL,2025-01-30,47NGRxSaEtJznNQ17dFg4c
25,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",133628,16,45,NZL,2025-01-30,51eSHglvG1RJXtL3qI5trr
