rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,2986604,1,4,ARG,2025-01-30,2lTm559tuIvatlT1u0JYG2
2,spotify:track:5MKbWaXeSQSmzmo7gPQha1,"La T y La M, Malandro",Amor de Vago,GraceMusic,2802025,1,21,ARG,2025-01-30,5MKbWaXeSQSmzmo7gPQha1
3,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,2737894,1,4,ARG,2025-01-30,3sK8wGT43QFpWrvNQsrQya
4,spotify:track:064fLCSLFvjocxzHXAyA0W,"Jombriel, Alex Krack, Jøtta",Parte & Choke,WEA Latina,2415305,4,10,ARG,2025-01-30,064fLCSLFvjocxzHXAyA0W
5,spotify:track:5AGnkbWCiF9u4ra54N9X1a,"Bizarrap, Luck Ra","Luck Ra: Bzrp Music Sessions, Vol. 61",DALE PLAY Records,2408234,3,5,ARG,2025-01-30,5AGnkbWCiF9u4ra54N9X1a
6,spotify:track:7yif9yIhSCxhcPExFOktCp,"Gordo, Emilia",Olvidarte (feat. Emilia),"Ultra Records, LLC",2405945,2,7,ARG,2025-01-30,7yif9yIhSCxhcPExFOktCp
7,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,2317834,7,4,ARG,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
8,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,2267527,7,4,ARG,2025-01-30,5WEF0icHWmAZBBMglBd599
9,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,1936334,9,4,ARG,2025-01-30,7d6yK8v8J484SWH5prIQiE
10,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1926011,8,4,ARG,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
11,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1667440,1,32,ARG,2025-01-30,6WatFBLVB0x077xWeoVc2k
12,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,"Tiago PZK, Anitta, Emilia",Alegría,WEA Latina,1604515,1,25,ARG,2025-01-30,0c82YIGpQ5dCaXpTNCk4sb
13,spotify:track:6kPCcIAGoTeRrh8qrmKa90,"Tiago PZK, Ke Personajes",Piel,WEA Latina,1431282,2,52,ARG,2025-01-30,6kPCcIAGoTeRrh8qrmKa90
14,spotify:track:4dLLdfiniBhDP9dlJQIOi4,"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",OCESA Seitrack,1319734,1,36,ARG,2025-01-30,4dLLdfiniBhDP9dlJQIOi4
15,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),WEA Latina,1307894,2,15,ARG,2025-01-30,0qeIFEGRQqHoaJtLCl0U73
16,spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,Rimas Entertainment LLC.,1307636,14,4,ARG,2025-01-30,4MUrUT38U98olfnyzMBCzm
17,spotify:track:1TyBUtMxdmRfXhW3MmbxtQ,"Luck Ra, Abel Pintos",QUE ME FALTE TODO,Sony Music Entertainment Chile S.A,1299276,3,66,ARG,2025-01-30,1TyBUtMxdmRfXhW3MmbxtQ
18,spotify:track:4eqXTlaHeK6xkM1fRx9wR5,"Pinky SD, Un Poco de Ruido, Uriel Lozano",Conmigo Te Gustó,Pinky SD,1272479,13,24,ARG,2025-01-30,4eqXTlaHeK6xkM1fRx9wR5
19,spotify:track:4xXvGEiTkoaIkOMWa4u3Mn,"Renzo ED, elaggume",COLOCARTELO,Forez Producciones 2024,1261974,5,12,ARG,2025-01-30,4xXvGEiTkoaIkOMWa4u3Mn
20,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,1258599,14,11,ARG,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
21,spotify:track:6hLsMjw00j3HGrkUjKwmgo,"King Savagge, Jairo Vera, Bayron Fire",A200,King savagge,1255995,21,10,ARG,2025-01-30,6hLsMjw00j3HGrkUjKwmgo
22,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,1229437,21,4,ARG,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
23,spotify:track:0iKo4pNNjHHdKUcFARlfCa,Bad Bunny,EL CLúB,Rimas Entertainment LLC.,1112409,17,8,ARG,2025-01-30,0iKo4pNNjHHdKUcFARlfCa
24,spotify:track:5AkLEnorFvb7WIJOGqKYVT,"Big One, Emanero, Valentino Merlo",Si Un Día Estás Sola | CROSSOVER #7,Fifty One,1092712,4,21,ARG,2025-01-30,5AkLEnorFvb7WIJOGqKYVT
25,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,1068331,5,60,ARG,2025-01-30,7bywjHOc0wSjGGbj04XbVi
26,spotify:track:5rQSQlZXXjMcevPGoAfE1z,"Salastkbron, Diel Paris",Un Besito Más,WEA Latina,1064272,2,46,ARG,2025-01-30,5rQSQlZXXjMcevPGoAfE1z
27,spotify:track:0Sr7ssScx54yxdM2ols7nW,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,1060909,1,18,ARG,2025-01-30,0Sr7ssScx54yxdM2ols7nW
28,spotify:track:1Q9Efnm5csdCMFynISxL2x,"Bad Bunny, RaiNao",PERFuMITO NUEVO,Rimas Entertainment LLC.,1053985,20,4,ARG,2025-01-30,1Q9Efnm5csdCMFynISxL2x
29,spotify:track:42mrOMjkQb7jRKatu0bqg4,"Q' Lokura, Luck Ra",Mil Preguntas,Q' Lokura,1029640,15,42,ARG,2025-01-30,42mrOMjkQb7jRKatu0bqg4
30,spotify:track:2xbH0CuDbid800YW5nMPzR,"Emanero, Karina, j mena, Angela Torres",SINVERGÜENZA - con Angela Torres,Fifty One,1014248,14,60,ARG,2025-01-30,2xbH0CuDbid800YW5nMPzR
31,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,"Valentino Merlo, The La Planta",Hoy,TLP Records,1000506,1,36,ARG,2025-01-30,0SoBfYjQHvL6cuWHtPUYnq
32,spotify:track:1R3ubqAHKHE6f64Hz37q8h,La T y La M,Un Montón de Estrellas - En Vivo Gran Rex,GraceMusic,998966,13,18,ARG,2025-01-30,1R3ubqAHKHE6f64Hz37q8h
33,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,994944,24,11,ARG,2025-01-30,1YYfyJ2yCvGFCxwjsIqEK9
34,spotify:track:03IpZ9yqJlo3EIgDQUgBSF,"Duki, Myke Towers",Nueva Era,DALE PLAY Records / SSJ Records,985131,1,13,ARG,2025-01-30,03IpZ9yqJlo3EIgDQUgBSF
35,spotify:track:5DSMm0BZXlSvqArsTX00Ge,"Luck Ra, Nicki Nicole",DOCTOR,Sony Music Latin,959275,2,22,ARG,2025-01-30,5DSMm0BZXlSvqArsTX00Ge
36,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,941520,36,4,ARG,2025-01-30,4zbEItKoaRId1vRZkoO0Uh
37,spotify:track:7yrTny7FLWLbfIzsxoicWj,Emilia,noviogangsta <3,Sony Music Latin,909183,2,16,ARG,2025-01-30,7yrTny7FLWLbfIzsxoicWj
38,spotify:track:1MErjQ93iYHCjayOT1hl9N,"Luck Ra, Elvis Crespo",SUAVEMENTE,Sony Music Latin,901466,20,6,ARG,2025-01-30,1MErjQ93iYHCjayOT1hl9N
39,spotify:track:3r5mTZiiECjgezzeI9bqgq,"Milo j, TINI",LO QUE ME CAUSA,DALE PLAY Records,899759,39,1,ARG,2025-01-30,3r5mTZiiECjgezzeI9bqgq
40,spotify:track:5aZ8rf2aPfZrnRWLA7bByo,"Big One, Tiago PZK, La Joaqui",Pa´Que Te Acuerdes | CROSSOVER #8,Fifty One,879266,12,17,ARG,2025-01-30,5aZ8rf2aPfZrnRWLA7bByo
41,spotify:track:6ViJgiKfyqfs52x2pGhuPF,"Hernan y La Champion's Liga, Callejero Fino, BM",Despójate Vol.2,Impronta Music,875974,16,17,ARG,2025-01-30,6ViJgiKfyqfs52x2pGhuPF
42,spotify:track:1K11lq4qn0DdPfljQcHkNE,"Yami Safdie, Luck Ra, Q' Lokura",En Otra Vida - Versión Cuarteto,WM Chile,873241,24,7,ARG,2025-01-30,1K11lq4qn0DdPfljQcHkNE
43,spotify:track:4c2Pc0NrfkesPR0jff6q3F,Bad Bunny,KETU TeCRÉ,Rimas Entertainment LLC.,861715,31,4,ARG,2025-01-30,4c2Pc0NrfkesPR0jff6q3F
44,spotify:track:1yg1tWFaYajN4b7vsKtYRE,La T y La M,El Doctorado,GraceMusic,852678,26,20,ARG,2025-01-30,1yg1tWFaYajN4b7vsKtYRE
45,spotify:track:2N0hVk2Ant8751xPZUjCV2,"ECKO, Los Turros, DobleP, Cristian Di Marco",Loquita - Remix,WM Chile,849014,10,36,ARG,2025-01-30,2N0hVk2Ant8751xPZUjCV2
46,spotify:track:0fKK51bU6lcCCwdNnv64t3,"Blessd, Anuel AA, Ovy On The Drums",DEPORTIVO,WEA Latina,840843,42,10,ARG,2025-01-30,0fKK51bU6lcCCwdNnv64t3
47,spotify:track:7JKptWv4YXmievid0HajID,"Luck Ra, KHEA",HOLA PERDIDA,Sony Music Entertainment Chile S.A,836338,1,56,ARG,2025-01-30,7JKptWv4YXmievid0HajID
48,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,796985,39,24,ARG,2025-01-30,2plbrEY59IikOBgBGLjaoe
49,spotify:track:6VNXmo59yDYgcwLS17UNAW,"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,Rimas Entertainment LLC.,792108,47,4,ARG,2025-01-30,6VNXmo59yDYgcwLS17UNAW
50,spotify:track:7tCuCjhxzjX2XCz4JiiAsp,Bad Bunny,TURiSTA,Rimas Entertainment LLC.,781878,38,4,ARG,2025-01-30,7tCuCjhxzjX2XCz4JiiAsp
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,3526392,1,3,ARG,2025-01-23,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,3134229,2,3,ARG,2025-01-23,2lTm559tuIvatlT1u0JYG2
3,spotify:track:5MKbWaXeSQSmzmo7gPQha1,"La T y La M, Malandro",Amor de Vago,GraceMusic,2915325,1,20,ARG,2025-01-23,5MKbWaXeSQSmzmo7gPQha1
4,spotify:track:5AGnkbWCiF9u4ra54N9X1a,"Bizarrap, Luck Ra","Luck Ra: Bzrp Music Sessions, Vol. 61",DALE PLAY Records,2812400,3,4,ARG,2025-01-23,5AGnkbWCiF9u4ra54N9X1a
5,spotify:track:7yif9yIhSCxhcPExFOktCp,"Gordo, Emilia",Olvidarte (feat. Emilia),"Ultra Records, LLC",2770590,2,6,ARG,2025-01-23,7yif9yIhSCxhcPExFOktCp
6,spotify:track:0STW8nw4lNN4TEQ8KmNer6,"Jombriel, Alex Krack, Jøtta",Parte & Choke,WEA Latina,2678580,4,9,ARG,2025-01-23,0STW8nw4lNN4TEQ8KmNer6
7,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,2626344,7,3,ARG,2025-01-23,5WEF0icHWmAZBBMglBd599
8,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,2481736,7,3,ARG,2025-01-23,59D4DOkspUbWyMmbAPQkxZ
9,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,2141263,8,3,ARG,2025-01-23,5TFD2bmFKGhoCRbX61nXY5
10,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,2079831,10,3,ARG,2025-01-23,7d6yK8v8J484SWH5prIQiE
11,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,"Tiago PZK, Anitta, Emilia",Alegría,WEA Latina,1866174,1,24,ARG,2025-01-23,0c82YIGpQ5dCaXpTNCk4sb
12,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1860671,1,31,ARG,2025-01-23,6WatFBLVB0x077xWeoVc2k
13,spotify:track:6kPCcIAGoTeRrh8qrmKa90,"Tiago PZK, Ke Personajes",Piel,WEA Latina,1569977,2,51,ARG,2025-01-23,6kPCcIAGoTeRrh8qrmKa90
14,spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,Rimas Entertainment LLC.,1551587,14,3,ARG,2025-01-23,4MUrUT38U98olfnyzMBCzm
15,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),WEA Latina,1534357,2,14,ARG,2025-01-23,0qeIFEGRQqHoaJtLCl0U73
16,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,1492244,14,10,ARG,2025-01-23,0l0vcZMU7AOeQmUIREoI2U
17,spotify:track:4xXvGEiTkoaIkOMWa4u3Mn,"Renzo ED, elaggume",COLOCARTELO,Forez Producciones 2024,1468074,5,11,ARG,2025-01-23,4xXvGEiTkoaIkOMWa4u3Mn
18,spotify:track:0iKo4pNNjHHdKUcFARlfCa,Bad Bunny,EL CLúB,Rimas Entertainment LLC.,1376581,17,7,ARG,2025-01-23,0iKo4pNNjHHdKUcFARlfCa
19,spotify:track:1TyBUtMxdmRfXhW3MmbxtQ,"Luck Ra, Abel Pintos",QUE ME FALTE TODO,Sony Music Entertainment Chile S.A,1373339,3,65,ARG,2025-01-23,1TyBUtMxdmRfXhW3MmbxtQ
20,spotify:track:4eqXTlaHeK6xkM1fRx9wR5,"Pinky SD, Un Poco de Ruido, Uriel Lozano",Conmigo Te Gustó,Pinky SD,1367486,13,23,ARG,2025-01-23,4eqXTlaHeK6xkM1fRx9wR5
21,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,1360987,21,3,ARG,2025-01-23,6J5kc12BW5HuP3d7C3vvx8
22,spotify:track:4dLLdfiniBhDP9dlJQIOi4,"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",OCESA Seitrack,1326367,1,35,ARG,2025-01-23,4dLLdfiniBhDP9dlJQIOi4
23,spotify:track:6hLsMjw00j3HGrkUjKwmgo,"King Savagge, Jairo Vera, Bayron Fire",A200,King savagge,1289824,23,9,ARG,2025-01-23,6hLsMjw00j3HGrkUjKwmgo
24,spotify:track:1Q9Efnm5csdCMFynISxL2x,"Bad Bunny, RaiNao",PERFuMITO NUEVO,Rimas Entertainment LLC.,1286203,20,3,ARG,2025-01-23,1Q9Efnm5csdCMFynISxL2x
25,spotify:track:5AkLEnorFvb7WIJOGqKYVT,"Big One, Emanero, Valentino Merlo",Si Un Día Estás Sola | CROSSOVER #7,Fifty One,1270478,4,20,ARG,2025-01-23,5AkLEnorFvb7WIJOGqKYVT
26,spotify:track:5rQSQlZXXjMcevPGoAfE1z,"Salastkbron, Diel Paris",Un Besito Más,WEA Latina,1268416,2,45,ARG,2025-01-23,5rQSQlZXXjMcevPGoAfE1z
27,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,1201082,5,59,ARG,2025-01-23,7bywjHOc0wSjGGbj04XbVi
28,spotify:track:1R3ubqAHKHE6f64Hz37q8h,La T y La M,Un Montón de Estrellas - En Vivo Gran Rex,GraceMusic,1115755,13,17,ARG,2025-01-23,1R3ubqAHKHE6f64Hz37q8h
29,spotify:track:0Sr7ssScx54yxdM2ols7nW,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,1113761,1,17,ARG,2025-01-23,0Sr7ssScx54yxdM2ols7nW
30,spotify:track:2xbH0CuDbid800YW5nMPzR,"Emanero, Karina, j mena, Angela Torres",SINVERGÜENZA - con Angela Torres,Fifty One,1090942,14,59,ARG,2025-01-23,2xbH0CuDbid800YW5nMPzR
31,spotify:track:42mrOMjkQb7jRKatu0bqg4,"Q' Lokura, Luck Ra",Mil Preguntas,Q' Lokura,1083067,15,41,ARG,2025-01-23,42mrOMjkQb7jRKatu0bqg4
32,spotify:track:03IpZ9yqJlo3EIgDQUgBSF,"Duki, Myke Towers",Nueva Era,DALE PLAY Records / SSJ Records,1076167,1,12,ARG,2025-01-23,03IpZ9yqJlo3EIgDQUgBSF
33,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,"Valentino Merlo, The La Planta",Hoy,TLP Records,1075018,1,35,ARG,2025-01-23,0SoBfYjQHvL6cuWHtPUYnq
34,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,1060154,24,10,ARG,2025-01-23,1YYfyJ2yCvGFCxwjsIqEK9
35,spotify:track:4c2Pc0NrfkesPR0jff6q3F,Bad Bunny,KETU TeCRÉ,Rimas Entertainment LLC.,1049949,31,3,ARG,2025-01-23,4c2Pc0NrfkesPR0jff6q3F
36,spotify:track:2N0hVk2Ant8751xPZUjCV2,"ECKO, Los Turros, DobleP, Cristian Di Marco",Loquita - Remix,WM Chile,1043648,10,35,ARG,2025-01-23,2N0hVk2Ant8751xPZUjCV2
37,spotify:track:7yrTny7FLWLbfIzsxoicWj,Emilia,noviogangsta <3,Sony Music Latin,1035436,2,15,ARG,2025-01-23,7yrTny7FLWLbfIzsxoicWj
38,spotify:track:1K11lq4qn0DdPfljQcHkNE,"Yami Safdie, Luck Ra, Q' Lokura",En Otra Vida - Versión Cuarteto,WM Chile,999963,24,6,ARG,2025-01-23,1K11lq4qn0DdPfljQcHkNE
39,spotify:track:7tCuCjhxzjX2XCz4JiiAsp,Bad Bunny,TURiSTA,Rimas Entertainment LLC.,997659,38,3,ARG,2025-01-23,7tCuCjhxzjX2XCz4JiiAsp
40,spotify:track:1MErjQ93iYHCjayOT1hl9N,"Luck Ra, Elvis Crespo",SUAVEMENTE,Sony Music Latin,993029,20,5,ARG,2025-01-23,1MErjQ93iYHCjayOT1hl9N
41,spotify:track:5aZ8rf2aPfZrnRWLA7bByo,"Big One, Tiago PZK, La Joaqui",Pa´Que Te Acuerdes | CROSSOVER #8,Fifty One,978144,12,16,ARG,2025-01-23,5aZ8rf2aPfZrnRWLA7bByo
42,spotify:track:0fKK51bU6lcCCwdNnv64t3,"Blessd, Anuel AA, Ovy On The Drums",DEPORTIVO,WEA Latina,973564,42,9,ARG,2025-01-23,0fKK51bU6lcCCwdNnv64t3
43,spotify:track:5DSMm0BZXlSvqArsTX00Ge,"Luck Ra, Nicki Nicole",DOCTOR,Sony Music Latin,964938,2,21,ARG,2025-01-23,5DSMm0BZXlSvqArsTX00Ge
44,spotify:track:6ViJgiKfyqfs52x2pGhuPF,"Hernan y La Champion's Liga, Callejero Fino, BM",Despójate Vol.2,Impronta Music,940079,16,16,ARG,2025-01-23,6ViJgiKfyqfs52x2pGhuPF
45,spotify:track:79x7xtoCLpf6l32Zz6mWo4,Bad Bunny,BOKeTE,Rimas Entertainment LLC.,936967,39,3,ARG,2025-01-23,79x7xtoCLpf6l32Zz6mWo4
46,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,932323,46,3,ARG,2025-01-23,4zbEItKoaRId1vRZkoO0Uh
47,spotify:track:6VNXmo59yDYgcwLS17UNAW,"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,Rimas Entertainment LLC.,904405,47,3,ARG,2025-01-23,6VNXmo59yDYgcwLS17UNAW
