rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,326492,1,4,BOL,2025-01-30,2lTm559tuIvatlT1u0JYG2
2,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,320830,1,4,BOL,2025-01-30,3sK8wGT43QFpWrvNQsrQya
3,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,209464,1,11,BOL,2025-01-30,1YYfyJ2yCvGFCxwjsIqEK9
4,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,185582,4,4,BOL,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
5,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,176444,4,4,BOL,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
6,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,166681,2,11,BOL,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
7,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,166644,6,4,BOL,2025-01-30,5WEF0icHWmAZBBMglBd599
8,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,155102,1,61,BOL,2025-01-30,7bywjHOc0wSjGGbj04XbVi
9,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,153218,8,4,BOL,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
10,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,141829,9,4,BOL,2025-01-30,7d6yK8v8J484SWH5prIQiE
11,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,137172,2,24,BOL,2025-01-30,2plbrEY59IikOBgBGLjaoe
