rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:4seW5sDVICaZw34NzrHPm0,"Nuzio Medeiros, Henry Freitas, Kadu Martins",Tando,Nuzio Medeiros,10397008,1,7,BRA,2025-01-30,4seW5sDVICaZw34NzrHPm0
2,spotify:track:39O9PGzlZnVTOhAYQjyBRG,Natanzinho Lima,Uma e Quinze da Manhã,Sua Música Digital,8400486,2,9,BRA,2025-01-30,39O9PGzlZnVTOhAYQjyBRG
3,spotify:track:4pOGEJRVOuaa9oyy7qTGf6,"Nilo, Mc Paiva ZS, DJ Di Marques, FamousKyo",Fui Mlk,WMD,8376460,2,10,BRA,2025-01-30,4pOGEJRVOuaa9oyy7qTGf6
4,spotify:track:7HrDxxY2b7vOKxJHtqdXN6,"Henry Freitas, Mc Th",Imã de Problema,Henry Freitas,8263028,2,17,BRA,2025-01-30,7HrDxxY2b7vOKxJHtqdXN6
5,spotify:track:0BUkQGUXgcvf3gdCWYbtnJ,"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves",Oh Garota Eu Quero Você Só Pra Mim,Mainstreet Records,7939794,1,6,BRA,2025-01-30,0BUkQGUXgcvf3gdCWYbtnJ
6,spotify:track:7pBPXkaVQaP3Y3Wwfkpvbn,"Hugo & Guilherme, Wesley Safadão",Mentirosa - Ao Vivo,Som Livre,7284922,6,6,BRA,2025-01-30,7pBPXkaVQaP3Y3Wwfkpvbn
7,spotify:track:6h3EEYgtIuOjeqQPIC3H37,"Eric Land, Natanzinho Lima",Pilantra e Meio,Eric Land,6674067,1,12,BRA,2025-01-30,6h3EEYgtIuOjeqQPIC3H37
8,spotify:track:6VH6SBNNL2RVWwImq046ce,"Boladin 211, Dejinha, MC Rick",Penélope Charmosa 2,Kave,6310987,8,3,BRA,2025-01-30,6VH6SBNNL2RVWwImq046ce
9,spotify:track:0NQyryTVbjGMtWMA1eSqIn,"J. Eskine, Alef Donk",Resenha do Arrocha,Latin Brega by HITLAB Records,6145101,4,8,BRA,2025-01-30,0NQyryTVbjGMtWMA1eSqIn
10,spotify:track:6Kyl2nFgU0J8WBlbBvDv6g,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo,Som Livre,6099217,1,22,BRA,2025-01-30,6Kyl2nFgU0J8WBlbBvDv6g
11,spotify:track:6s1kzj4EbhFLXbuAGJbhbn,"MC Tuto, DJ Glenner",Barbie,Sonar Music,5801242,1,15,BRA,2025-01-30,6s1kzj4EbhFLXbuAGJbhbn
12,spotify:track:280QfKhmWGn3LbyB39aA7u,Léo Foguete,Cópia Proibida,Sua Música Digital,5462949,5,13,BRA,2025-01-30,280QfKhmWGn3LbyB39aA7u
13,spotify:track:4eqOz5gdCYww9GB5q3q1pU,"DJ Douglinhas, DJ Miller Oficial, MC Torugo",Puta É Só um Detalhe,DJ DOUGLINHAS,5149833,13,5,BRA,2025-01-30,4eqOz5gdCYww9GB5q3q1pU
14,spotify:track:6RzcNTnS02dnqoQMdTkQwi,"Brenno & Matheus, DJ Ari SL",Descer Pra BC,New Music,4955962,1,10,BRA,2025-01-30,6RzcNTnS02dnqoQMdTkQwi
15,spotify:track:2KdyhL41F9solmRiyLQ3yl,Clayton & Romário,Sei Tocar Violão - Ao Vivo,WM Brazil,4934961,15,17,BRA,2025-01-30,2KdyhL41F9solmRiyLQ3yl
16,spotify:track:4dGx53NJZJyuuLP5ownH1p,"Wesley Safadão, Natanzinho Lima",Mentira Estampada,Wesley Safadao,4872813,16,19,BRA,2025-01-30,4dGx53NJZJyuuLP5ownH1p
17,spotify:track:3TnSAp3TfGMYptOqv234uK,"MC Tuto, Grelo",Do Job,Sonar Music,4804668,12,11,BRA,2025-01-30,3TnSAp3TfGMYptOqv234uK
18,spotify:track:0UGGLKM970ymsBBN5TKjsD,"MC Tuto, DJ Oreia",2025,Sonar Produtora,4656412,11,5,BRA,2025-01-30,0UGGLKM970ymsBBN5TKjsD
19,spotify:track:6x6EA3N9xXgptSakS7VZUg,"GORDÃO DO PC, Mc Menor DN, Mc Leozin, Ana Laura Lopes",FANTASMA (versão GORDÃO DO PC),Alt Music,4598088,19,5,BRA,2025-01-30,6x6EA3N9xXgptSakS7VZUg
20,spotify:track:69DenmsFlfhs6yPhkJg382,"Márcia Fellipe, Wesley Safadão",Farra da Marcinha - Ao Vivo,R10 Produções,4531677,20,4,BRA,2025-01-30,69DenmsFlfhs6yPhkJg382
21,spotify:track:4y93vvzu2h8MITw7YyUTcI,Henrique & Juliano,Última Saudade - Ao Vivo,Virgin Music Label And Artist Services (S&D),4490686,1,18,BRA,2025-01-30,4y93vvzu2h8MITw7YyUTcI
22,spotify:track:3cwVKjzKSTfvacYJF6Tkub,Léo Foguete,Última Noite - Solo,Sua Música Digital,4371890,5,16,BRA,2025-01-30,3cwVKjzKSTfvacYJF6Tkub
23,spotify:track:2gfn28JSINCJGLrUimmu0l,Jorge & Mateus,Cantada Boba - Ao Vivo,Som Livre,4335158,11,12,BRA,2025-01-30,2gfn28JSINCJGLrUimmu0l
24,spotify:track:5TOvA5Uhxti7FPh0EIdClV,"MC LUUKY, DJ JB Mix",Malvadinho,EDITORA E GRAVADORA A BASE RECORDS,4119945,1,13,BRA,2025-01-30,5TOvA5Uhxti7FPh0EIdClV
25,spotify:track:4jUZymsR3lkia9wkP0o9cX,"DJ TOPO, Mc Livinho",MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1,DJ TOPO,4103906,6,17,BRA,2025-01-30,4jUZymsR3lkia9wkP0o9cX
26,spotify:track:4FbYt9D0katV4nXZaC01Yt,"Mc Negão Original, DJ Guh Mix, DJ Japa NK",Medley de Igaratá 3,Cria Hit BR,4066555,10,12,BRA,2025-01-30,4FbYt9D0katV4nXZaC01Yt
27,spotify:track:6Ap9SM1WkmI4b4Mo2Cpa6f,"NATTAN, Léo Foguete",Última Noite,Nattan,4016098,8,15,BRA,2025-01-30,6Ap9SM1WkmI4b4Mo2Cpa6f
28,spotify:track:6Hp39ODlBU7yusKfv3s0zP,Kleyton Souza,É Que Eu Sofri Demais,Best Music,3834593,28,9,BRA,2025-01-30,6Hp39ODlBU7yusKfv3s0zP
29,spotify:track:28lX0N3Fa1L5YzzPfklvc0,"Bruno & Denner, Hugo & Guilherme",Namora Ela - Ao Vivo,WM Brazil,3819547,26,5,BRA,2025-01-30,28lX0N3Fa1L5YzzPfklvc0
30,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,3790635,5,24,BRA,2025-01-30,2plbrEY59IikOBgBGLjaoe
31,spotify:track:2M2eRVCQbC3rHFSm9oT3YD,"Luan Pereira, Léo Foguete",UM PALMO - Ao Vivo,Som Livre,3761955,23,7,BRA,2025-01-30,2M2eRVCQbC3rHFSm9oT3YD
32,spotify:track:2cGRf9skACWnKRK1eLYBJn,Guilherme & Benuto,Sujeito Homem - Ao Vivo,Sony Music Entertainment,3740538,18,15,BRA,2025-01-30,2cGRf9skACWnKRK1eLYBJn
33,spotify:track:3H7eBmcTJyuEMStfmKuLmG,"MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako",A Danada Me Ligando,Love Funk,3625387,1,22,BRA,2025-01-30,3H7eBmcTJyuEMStfmKuLmG
34,spotify:track:6rMteVnxuGa7Dixs0SPW4l,"Márcia Fellipe, Raphaela Santos",Você Lembra - Ao Vivo,R10 Produções,3587628,34,4,BRA,2025-01-30,6rMteVnxuGa7Dixs0SPW4l
35,spotify:track:1RkyWVwtYMAChNGZYluilS,Felipe e Rodrigo,Banquinho - Ao Vivo,Virgin Music Label And Artist Services (S&D),3516118,30,9,BRA,2025-01-30,1RkyWVwtYMAChNGZYluilS
36,spotify:track:3yCtRV7LMeGBpvSHDR8uMV,"Boladin 211, MC Rick, MC Leozinho ZS, CAO$, Dj Lv Mdp",Chapa Máxima,WM Brazil,3382170,36,8,BRA,2025-01-30,3yCtRV7LMeGBpvSHDR8uMV
