rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,2455984,1,4,CHL,2025-01-30,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,2367301,2,4,CHL,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
3,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,2197241,3,4,CHL,2025-01-30,2lTm559tuIvatlT1u0JYG2
4,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,2098833,3,4,CHL,2025-01-30,7d6yK8v8J484SWH5prIQiE
5,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1663883,5,4,CHL,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
6,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,1545329,6,4,CHL,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
7,spotify:track:0fKK51bU6lcCCwdNnv64t3,"Blessd, Anuel AA, Ovy On The Drums",DEPORTIVO,WEA Latina,1392873,1,11,CHL,2025-01-30,0fKK51bU6lcCCwdNnv64t3
8,spotify:track:6hLsMjw00j3HGrkUjKwmgo,"King Savagge, Jairo Vera, Bayron Fire",A200,King savagge,1361607,1,15,CHL,2025-01-30,6hLsMjw00j3HGrkUjKwmgo
9,spotify:track:5eqZZLLZ4CkuUznPCOimsi,"Lucky Brown, Mateo on the Beatz",Cosa Linda,Lucky Brown,1361034,1,14,CHL,2025-01-30,5eqZZLLZ4CkuUznPCOimsi
10,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,1347838,7,4,CHL,2025-01-30,5WEF0icHWmAZBBMglBd599
11,spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,Rimas Entertainment LLC.,1322605,9,4,CHL,2025-01-30,4MUrUT38U98olfnyzMBCzm
12,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,1304054,4,11,CHL,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
13,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,1271813,5,12,CHL,2025-01-30,4zbEItKoaRId1vRZkoO0Uh
14,spotify:track:4DnrAI8WyUY6gkOwl8GlPN,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,1213446,14,7,CHL,2025-01-30,4DnrAI8WyUY6gkOwl8GlPN
15,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1145231,3,28,CHL,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU
16,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1066758,1,32,CHL,2025-01-30,6WatFBLVB0x077xWeoVc2k
17,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",Mi Refe,5020 Records,1041974,17,6,CHL,2025-01-30,7ricDBUakN3N0YkkKE8Obu
18,spotify:track:6kPCcIAGoTeRrh8qrmKa90,"Tiago PZK, Ke Personajes",Piel,WEA Latina,1038036,8,52,CHL,2025-01-30,6kPCcIAGoTeRrh8qrmKa90
19,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,960353,9,11,CHL,2025-01-30,1YYfyJ2yCvGFCxwjsIqEK9
20,spotify:track:1Q9Efnm5csdCMFynISxL2x,"Bad Bunny, RaiNao",PERFuMITO NUEVO,Rimas Entertainment LLC.,954419,10,4,CHL,2025-01-30,1Q9Efnm5csdCMFynISxL2x
21,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,936699,9,24,CHL,2025-01-30,2plbrEY59IikOBgBGLjaoe
22,spotify:track:3nDhIGkMvnsd8zo5u6eD05,"Kidd Voodoo, Jere Klein, Swift 047",WHISKY A LA ROCA,Kidd Voodoo,935889,22,2,CHL,2025-01-30,3nDhIGkMvnsd8zo5u6eD05
23,spotify:track:0iKo4pNNjHHdKUcFARlfCa,Bad Bunny,EL CLúB,Rimas Entertainment LLC.,872380,9,8,CHL,2025-01-30,0iKo4pNNjHHdKUcFARlfCa
