rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,2211274,1,4,COL,2025-01-30,3sK8wGT43QFpWrvNQsrQya
2,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,2041870,2,4,COL,2025-01-30,2lTm559tuIvatlT1u0JYG2
3,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,1878495,1,12,COL,2025-01-30,4zbEItKoaRId1vRZkoO0Uh
4,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,1731867,4,4,COL,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
5,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",Mi Refe,5020 Records,1712625,5,8,COL,2025-01-30,7ricDBUakN3N0YkkKE8Obu
6,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,1637969,6,4,COL,2025-01-30,7d6yK8v8J484SWH5prIQiE
7,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1553310,3,4,COL,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
8,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,1455195,7,4,COL,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
9,spotify:track:3mg9jYNC1NihbthlglzrWP,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Bichota/Interscope Records,1434226,1,12,COL,2025-01-30,3mg9jYNC1NihbthlglzrWP
10,spotify:track:0fKK51bU6lcCCwdNnv64t3,"Blessd, Anuel AA, Ovy On The Drums",DEPORTIVO,WEA Latina,1432953,2,11,COL,2025-01-30,0fKK51bU6lcCCwdNnv64t3
11,spotify:track:2ALQyXMC26Vew7JX7ert9M,"Blessd, Kris R.",POLOS OPUESTOS REMIX - BLESSD VERSION,WEA Latina,1339593,3,17,COL,2025-01-30,2ALQyXMC26Vew7JX7ert9M
12,spotify:track:5Gis9Pxk7Cl9hAoV6rwj50,"Jombriel, Ryan Castro, Alex Krack",Parte & Choke (with Ryan Castro) - Remix,WEA Latina,1309058,12,1,COL,2025-01-30,5Gis9Pxk7Cl9hAoV6rwj50
13,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,1301049,1,61,COL,2025-01-30,7bywjHOc0wSjGGbj04XbVi
