rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id
1,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,410874,1,4,VEN,2025-01-30,7d6yK8v8J484SWH5prIQiE
2,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,349769,1,4,VEN,2025-01-30,5TFD2bmFKGhoCRbX61nXY5
3,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,340044,3,4,VEN,2025-01-30,59D4DOkspUbWyMmbAPQkxZ
4,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,326499,1,4,VEN,2025-01-30,3sK8wGT43QFpWrvNQsrQya
5,spotify:track:4DnrAI8WyUY6gkOwl8GlPN,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,321638,1,11,VEN,2025-01-30,4DnrAI8WyUY6gkOwl8GlPN
6,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,321078,4,4,VEN,2025-01-30,2lTm559tuIvatlT1u0JYG2
7,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",Mi Refe,5020 Records,279749,2,8,VEN,2025-01-30,7ricDBUakN3N0YkkKE8Obu
8,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,268739,6,4,VEN,2025-01-30,6J5kc12BW5HuP3d7C3vvx8
9,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,230913,7,12,VEN,2025-01-30,4zbEItKoaRId1vRZkoO0Uh
10,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,225665,8,4,VEN,2025-01-30,5WEF0icHWmAZBBMglBd599
11,spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,Rimas Entertainment LLC.,220358,10,4,VEN,2025-01-30,4MUrUT38U98olfnyzMBCzm
12,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,198272,1,11,VEN,2025-01-30,0l0vcZMU7AOeQmUIREoI2U
13,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,190170,1,11,VEN,2025-01-30,1YYfyJ2yCvGFCxwjsIqEK9
14,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,183480,1,28,VEN,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU
15,spotify:track:1Q9Efnm5csdCMFynISxL2x,"Bad Bunny, RaiNao",PERFuMITO NUEVO,Rimas Entertainment LLC.,182682,8,4,VEN,2025-01-30,1Q9Efnm5csdCMFynISxL2x
16,spotify:track:0iKo4pNNjHHdKUcFARlfCa,Bad Bunny,EL CLúB,Rimas Entertainment LLC.,169256,5,8,VEN,2025-01-30,0iKo4pNNjHHdKUcFARlfCa
17,spotify:track:6TT5rB0Rwneb6ZaopHQir4,"Alleh, Yorghaki",el ingeniero,CONMUER LLC,160151,14,5,VEN,2025-01-30,6TT5rB0Rwneb6ZaopHQir4
18,spotify:track:634CTghcuEDy2FXcTsLG5m,"Alleh, Yorghaki",una noche,CONMUER LLC,136797,16,5,VEN,2025-01-30,634CTghcuEDy2FXcTsLG5m
19,spotify:track:3YrTrs2hJbLklaBdhr4TrH,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz",ETA - RMX,UMLE - Latino,136166,14,8,VEN,2025-01-30,3YrTrs2hJbLklaBdhr4TrH
20,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,134840,1,61,VEN,2025-01-30,7bywjHOc0wSjGGbj04XbVi
21,spotify:track:4c2Pc0NrfkesPR0jff6q3F,Bad Bunny,KETU TeCRÉ,Rimas Entertainment LLC.,133070,13,4,VEN,2025-01-30,4c2Pc0NrfkesPR0jff6q3F
22,spotify:track:6VNXmo59yDYgcwLS17UNAW,"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,Rimas Entertainment LLC.,122478,19,4,VEN,2025-01-30,6VNXmo59yDYgcwLS17UNAW
23,spotify:track:0Sr7ssScx54yxdM2ols7nW,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,119833,1,19,VEN,2025-01-30,0Sr7ssScx54yxdM2ols7nW
24,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,118391,1,32,VEN,2025-01-30,6WatFBLVB0x077xWeoVc2k
25,spotify:track:7tCuCjhxzjX2XCz4JiiAsp,Bad Bunny,TURiSTA,Rimas Entertainment LLC.,116430,17,4,VEN,2025-01-30,7tCuCjhxzjX2XCz4JiiAsp
26,spotify:track:3G7agPwWfcORnWCAGMDOpm,Bad Bunny,LA MuDANZA,Rimas Entertainment LLC.,114632,20,4,VEN,2025-01-30,3G7agPwWfcORnWCAGMDOpm
27,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,114311,10,11,VEN,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh
28,spotify:track:79x7xtoCLpf6l32Zz6mWo4,Bad Bunny,BOKeTE,Rimas Entertainment LLC.,112177,17,4,VEN,2025-01-30,79x7xtoCLpf6l32Zz6mWo4
29,spotify:track:6s9PpYbExKlHuJ8JMyep21,"Yailin la Mas Viral, Puyalo Pantera",Bing Bong,"Iris Live Music, LLC",109268,11,11,VEN,2025-01-30,6s9PpYbExKlHuJ8JMyep21
30,spotify:track:3mg9jYNC1NihbthlglzrWP,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Bichota/Interscope Records,107291,4,12,VEN,2025-01-30,3mg9jYNC1NihbthlglzrWP
31,spotify:track:60u6hcpH5Qm1M3xESdNBrB,Beéle,Frente al Mar,5020 Records,106195,6,18,VEN,2025-01-30,60u6hcpH5Qm1M3xESdNBrB
32,spotify:track:14QaXYIK3K3QPtezqxRRPN,Bad Bunny,PIToRRO DE COCO,Rimas Entertainment LLC.,99685,15,5,VEN,2025-01-30,14QaXYIK3K3QPtezqxRRPN
33,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),WEA Latina,98076,4,15,VEN,2025-01-30,0qeIFEGRQqHoaJtLCl0U73
34,spotify:track:5DdLSEyKh8zgCrJq2hFj92,"Yan Block, TORRRES",Yo sé,SONAR LLC.,92826,23,17,VEN,2025-01-30,5DdLSEyKh8zgCrJq2hFj92
35,spotify:track:4h3i4yz7mkw1H9XG9VMkjQ,Engel Montaz,Vibrador,Latinnites Music,92587,27,3,VEN,2025-01-30,4h3i4yz7mkw1H9XG9VMkjQ
36,spotify:track:6m1TWFMeon7ai9XLOzdbiR,BTS,FAKE LOVE,BIGHIT MUSIC,92426,29,21,VEN,2025-01-30,6m1TWFMeon7ai9XLOzdbiR
37,spotify:track:5QjmUqgpPQgXgg4606DqZF,Kapo,UWAIE,Sony Music Latin/La Industria,91650,1,24,VEN,2025-01-30,5QjmUqgpPQgXgg4606DqZF
38,spotify:track:0Qe2g06yzLBuuSvVmFiweP,"Nanpa Básico, Beéle",Hasta Aquí Llegué,5020 Records,91094,7,28,VEN,2025-01-30,0Qe2g06yzLBuuSvVmFiweP
39,spotify:track:0fKK51bU6lcCCwdNnv64t3,"Blessd, Anuel AA, Ovy On The Drums",DEPORTIVO,WEA Latina,87403,30,11,VEN,2025-01-30,0fKK51bU6lcCCwdNnv64t3
40,spotify:track:7eNwwoxDR8KVzNAuGvliAO,"Omar Courtz, De La Rose, Haze",Kyoto,House of Haze,86198,7,34,VEN,2025-01-30,7eNwwoxDR8KVzNAuGvliAO
41,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,85976,16,24,VEN,2025-01-30,2plbrEY59IikOBgBGLjaoe
42,spotify:track:5pVJ3IlnpIorU44oXizzG5,"Boza, ELENA ROSE",Orion,Sony Music Latin,81346,4,34,VEN,2025-01-30,5pVJ3IlnpIorU44oXizzG5
43,spotify:track:7lcbpfihslisNObKdHjyLo,"Clarent, Mora",IA,WEA Latina,80926,11,15,VEN,2025-01-30,7lcbpfihslisNObKdHjyLo
44,spotify:track:44yf1tgi5vg8lR2EULi1gs,"Flamen Beretta, Latinnites Music, Kuv507",20 Veces,Latinnites Music,80696,31,3,VEN,2025-01-30,44yf1tgi5vg8lR2EULi1gs
45,spotify:track:5L7Cj7HFf7YcCb9GU1ySDt,"Alleh, Yorghaki","tranqui, te puedes enamorar",CONMUER LLC,79585,45,5,VEN,2025-01-30,5L7Cj7HFf7YcCb9GU1ySDt
46,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,79020,14,15,VEN,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c
47,spotify:track:1Hg0e997pObvZ91w1FCPFk,Bad Bunny,LO QUE LE PASÓ A HAWAii,Rimas Entertainment LLC.,76383,24,4,VEN,2025-01-30,1Hg0e997pObvZ91w1FCPFk
48,spotify:track:2gmd7lY3QSzLh0xIY4cRvi,"Maisak, Feid",SE ME OLVIDA,Universal Music Latino,76379,4,23,VEN,2025-01-30,2gmd7lY3QSzLh0xIY4cRvi
49,spotify:track:4RPeZbmVON5ZKT5HC9wALt,Beéle,Morena,5020 Records,75478,18,35,VEN,2025-01-30,4RPeZbmVON5ZKT5HC9wALt
50,spotify:track:7nE9H4e4uPOis5sJY39fOc,Danny Ocean,Volare,Atlantic Records,71269,26,85,VEN,2025-01-30,7nE9H4e4uPOis5sJY39fOc
1,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,465129,1,3,VEN,2025-01-23,7d6yK8v8J484SWH5prIQiE
2,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,456647,1,3,VEN,2025-01-23,3sK8wGT43QFpWrvNQsrQya
3,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,426180,1,3,VEN,2025-01-23,5TFD2bmFKGhoCRbX61nXY5
4,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,401696,4,3,VEN,2025-01-23,59D4DOkspUbWyMmbAPQkxZ
5,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,390186,4,3,VEN,2025-01-23,2lTm559tuIvatlT1u0JYG2
6,spotify:track:4DnrAI8WyUY6gkOwl8GlPN,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,347049,1,10,VEN,2025-01-23,4DnrAI8WyUY6gkOwl8GlPN
7,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,326529,6,3,VEN,2025-01-23,6J5kc12BW5HuP3d7C3vvx8
8,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",Mi Refe,5020 Records,306929,2,7,VEN,2025-01-23,7ricDBUakN3N0YkkKE8Obu
9,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,294232,8,3,VEN,2025-01-23,5WEF0icHWmAZBBMglBd599
10,spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,Rimas Entertainment LLC.,262300,10,3,VEN,2025-01-23,4MUrUT38U98olfnyzMBCzm
11,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,252086,7,11,VEN,2025-01-23,4zbEItKoaRId1vRZkoO0Uh
