rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:7L6iM8mnj0t2WW0Fjre5pG,Stormy,PIRATE,Austora,410320,1,3,MAR,2025-01-30,7L6iM8mnj0t2WW0Fjre5pG,63,179000,False,arabic rap,2025-01-09,https://i.scdn.co/image/ab67616d0000b273e68af88ebf0338a8726b0175,https://i.scdn.co/image/ab6761610000e5eb002ae0fc0090bb55f7c485e9
2,spotify:track:17AuJgvjtgyQ7QogOS9zMY,ElGrandeToto,BOUHALI,BNJ CITY BLOCK,350447,1,9,MAR,2025-01-30,17AuJgvjtgyQ7QogOS9zMY,66,172826,True,arabic rap,2024-11-29,https://i.scdn.co/image/ab67616d0000b273d9e415b57b3d6e215129d568,https://i.scdn.co/image/ab6761610000e5eb99e862805e7e3253f8a059b6
3,spotify:track:3tPQhYGRaNjCk1QI1vee8e,ElGrandeToto,STALINE,BNJ CITY BLOCK,316811,1,9,MAR,2025-01-30,3tPQhYGRaNjCk1QI1vee8e,66,224706,True,arabic rap,2024-11-29,https://i.scdn.co/image/ab67616d0000b273d9e415b57b3d6e215129d568,https://i.scdn.co/image/ab6761610000e5eb99e862805e7e3253f8a059b6
4,spotify:track:0jweHzprxjQSDTcxjoX4Og,ElGrandeToto,DIPLOMATICO,BNJ CITY BLOCK,251168,1,15,MAR,2025-01-30,0jweHzprxjQSDTcxjoX4Og,63,196706,True,arabic rap,2024-11-29,https://i.scdn.co/image/ab67616d0000b273d9e415b57b3d6e215129d568,https://i.scdn.co/image/ab6761610000e5eb99e862805e7e3253f8a059b6
5,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,205251,1,9,MAR,2025-01-30,7G7mSV4BebkoHWwKTDvXu9,86,234895,False,k-pop,2024-11-29,https://i.scdn.co/image/ab67616d0000b27316ba2a3622bd0d0d985e3234,https://i.scdn.co/image/ab6761610000e5eb8e7d00d3aae87cf8fc6946e2
6,spotify:track:2cbgw1iPeK7dMbOnhD9e8y,"La Fouine, ElGrandeToto",Désert,Play Two,201290,4,10,MAR,2025-01-30,2cbgw1iPeK7dMbOnhD9e8y,61,186502,False,,2024-12-18,https://i.scdn.co/image/ab67616d0000b273240dd2798c6b8eb00b4078fb,https://i.scdn.co/image/ab6761610000e5eb4dd3140ca5387f9a008242d8
7,spotify:track:3Thycu4Wd5AwGFDYYWiioT,Figoshin,Lalla w Mali,Figoshin,168223,1,25,MAR,2025-01-30,3Thycu4Wd5AwGFDYYWiioT,60,176528,False,arabic rap,2024-08-09,https://i.scdn.co/image/ab67616d0000b273725f197d4b18317ec957e779,https://i.scdn.co/image/ab6761610000e5ebc314ba463f5d0b23083fbd33
8,spotify:track:1UKmPtidnG6bweLNSF60b5,Stormy,KA3I,Austora,163883,6,3,MAR,2025-01-30,1UKmPtidnG6bweLNSF60b5,57,140750,False,arabic rap,2025-01-09,https://i.scdn.co/image/ab67616d0000b273e68af88ebf0338a8726b0175,https://i.scdn.co/image/ab6761610000e5eb002ae0fc0090bb55f7c485e9
9,spotify:track:0AUEVIEFpYGpCUWFvtItPQ,Pause,L’Bayda Mon Amour,Pause,149111,3,11,MAR,2025-01-30,0AUEVIEFpYGpCUWFvtItPQ,59,288949,False,arabic rap,2024-11-14,https://i.scdn.co/image/ab67616d0000b2730e76b8adb657b668b9a23d64,https://i.scdn.co/image/ab6761610000e5eb48017003ba1530eba96424ce
10,spotify:track:5d54P8T7TXGwE2d0zyN3uu,"Tawsen, Ayoub Anbaoui",Dawini,SAWT,148177,1,33,MAR,2025-01-30,5d54P8T7TXGwE2d0zyN3uu,61,161959,False,pop urbaine,2024-06-13,https://i.scdn.co/image/ab67616d0000b273fc483423983e3e8bf5d62621,https://i.scdn.co/image/ab6761610000e5eb957abfd4b8b8a872ac3737f0
11,spotify:track:0bBDTxFPjtuWAdqLLq55u1,Lazaro,Mahboul Ana,Chabaka,147108,1,28,MAR,2025-01-30,0bBDTxFPjtuWAdqLLq55u1,64,185000,False,raï,2024-07-15,https://i.scdn.co/image/ab67616d0000b27372dc74b73728ddc0c1b1c2aa,https://i.scdn.co/image/ab6761610000e5ebadf0aad6e65b635d7c7745a4
12,spotify:track:4knNlB73rkLODZU03Xjx7x,Draganov,3DABI,Draganov,142255,1,81,MAR,2025-01-30,4knNlB73rkLODZU03Xjx7x,62,202000,True,arabic rap,2023-07-13,https://i.scdn.co/image/ab67616d0000b273dbf520cd47d9ba489fd97f63,https://i.scdn.co/image/ab6761610000e5eb4cf73c6ca392dbe6bd6ed020
13,spotify:track:0YZ2ANy2Hhf21koqFpph5F,ElGrandeToto,BLUE LOVE,BNJ CITY BLOCK,140143,1,59,MAR,2025-01-30,0YZ2ANy2Hhf21koqFpph5F,63,187826,True,arabic rap,2023-11-24,https://i.scdn.co/image/ab67616d0000b2737db1688433041d6e88fc21c0,https://i.scdn.co/image/ab6761610000e5eb99e862805e7e3253f8a059b6
14,spotify:track:5m441qiFI5yqfzG19ZLqIJ,ElGrandeToto,HACHICH/TOSEINA,BNJ CITY BLOCK,127531,4,9,MAR,2025-01-30,5m441qiFI5yqfzG19ZLqIJ,60,187280,True,arabic rap,2024-11-29,https://i.scdn.co/image/ab67616d0000b273d9e415b57b3d6e215129d568,https://i.scdn.co/image/ab6761610000e5eb99e862805e7e3253f8a059b6
15,spotify:track:2OkDSD6ZTzHGgYF4j10c0m,"Delarue, Morad, ElGrandeToto",Obligación,280Barrio,113556,2,34,MAR,2025-01-30,2OkDSD6ZTzHGgYF4j10c0m,61,270000,True,drill,2024-06-05,https://i.scdn.co/image/ab67616d0000b2732f0a4ca11ed301f1dc123a67,https://i.scdn.co/image/ab6761610000e5eb3d2d8c02203d5f7c888b9649
16,spotify:track:6C30qhTvYwramIzP9vQgtD,Stormy,FOREVER,Austora,112631,8,3,MAR,2025-01-30,6C30qhTvYwramIzP9vQgtD,55,151500,False,arabic rap,2025-01-09,https://i.scdn.co/image/ab67616d0000b273e68af88ebf0338a8726b0175,https://i.scdn.co/image/ab6761610000e5eb002ae0fc0090bb55f7c485e9
17,spotify:track:3Lny9bxBD9hDrKS61vmgdW,"ElGrandeToto, Baby Gang",COLTELLINO (feat. Baby Gang),BNJ CITY BLOCK,111815,2,13,MAR,2025-01-30,3Lny9bxBD9hDrKS61vmgdW,62,218133,True,arabic rap,2024-11-29,https://i.scdn.co/image/ab67616d0000b273d9e415b57b3d6e215129d568,https://i.scdn.co/image/ab6761610000e5eb99e862805e7e3253f8a059b6
18,spotify:track:2rXnsktUWQq532AnK0Bmm3,"Duke, Kawtar",Ghali,Duke,108938,16,11,MAR,2025-01-30,2rXnsktUWQq532AnK0Bmm3,58,179897,False,raï,2024-11-09,https://i.scdn.co/image/ab67616d0000b273dad4f9e540c76ca4f7b9639a,https://i.scdn.co/image/ab6761610000e5eb34564d1d0a8de0d5140921d1
19,spotify:track:0SaMca4zsaUTTzNv5haull,"Stormy, Inkonnu",Mizane,Austora,106156,5,191,MAR,2025-01-30,0SaMca4zsaUTTzNv5haull,55,177049,False,arabic rap,2021-02-05,https://i.scdn.co/image/ab67616d0000b2730eded0fba13dbf99ff76043d,https://i.scdn.co/image/ab6761610000e5eb002ae0fc0090bb55f7c485e9
20,spotify:track:7LXk7g4i8JxXXWNhDrSQq4,Pause,112,Pause,104801,1,11,MAR,2025-01-30,7LXk7g4i8JxXXWNhDrSQq4,58,270071,False,arabic rap,2024-11-14,https://i.scdn.co/image/ab67616d0000b2730e76b8adb657b668b9a23d64,https://i.scdn.co/image/ab6761610000e5eb48017003ba1530eba96424ce
21,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,100528,20,23,MAR,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
22,spotify:track:5AsFXMwPS6zMIGY8MSFn5L,"Kore, Alonzo, ElGrandeToto",Brrr,RCA Group,97349,22,3,MAR,2025-01-30,5AsFXMwPS6zMIGY8MSFn5L,60,130451,False,raï,2025-01-10,https://i.scdn.co/image/ab67616d0000b273444dc1ec2a9408b0fc17bcef,https://i.scdn.co/image/ab6761610000e5eb67dd3ed291e960dbb5b8b8fa
