rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:24fRfn3FOM4xk02aE4wief,"Oscar Mbo, Jazzworx, Thukuthela",Vuka (feat. Thukuthela),The Ashmed Hour Records,635215,1,4,ZAF,2025-01-30,24fRfn3FOM4xk02aE4wief,62,327451,False,gqom,2024-12-13,https://i.scdn.co/image/ab67616d0000b273fffa66f7ea841d97a8c67b1c,https://i.scdn.co/image/ab6761610000e5eb913090051b7bc6739b101d94
2,spotify:track:7MD8gswt08VhFwVF1PR8Mg,"Mr Pilato, Ego Slimflow, Tebogo G Mashego, Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma, CowBoii","Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",New Money Gang Records,464022,1,12,ZAF,2025-01-30,7MD8gswt08VhFwVF1PR8Mg,69,454778,False,amapiano,2024-11-08,https://i.scdn.co/image/ab67616d0000b273ba9dd707bb88ed21431a1be7,https://i.scdn.co/image/ab6761610000e5ebe415fb44b9ab161e4bb3a9b5
3,spotify:track:2LeOHKRLm1Bz7eeNVinUYs,Nontokozo Mkhize,Esandleni,Sginci Media / EMPIRE,455863,3,8,ZAF,2025-01-30,2LeOHKRLm1Bz7eeNVinUYs,49,336600,False,gospel,2025-01-24,https://i.scdn.co/image/ab67616d0000b27336af46814c87b4a7a648b19c,https://i.scdn.co/image/ab6761610000e5ebb9cdf844b6feffb2502be674
4,spotify:track:021iZJ1jjc6cZZ4sMXvcW9,"Naledi Aphiwe, Mawelele",Romeo & Juliet,Naledi Aphiwe,418840,4,2,ZAF,2025-01-30,021iZJ1jjc6cZZ4sMXvcW9,55,307663,False,afropop,2025-01-22,https://i.scdn.co/image/ab67616d0000b273598ea9a12dbd3d77b9df4634,https://i.scdn.co/image/ab6761610000e5eb757b7f8f87dc9630edf64e6a
5,spotify:track:0DGP0pRR8yz4OW2xxjIskt,"Issa sisdoh, Ancestral Rituals",Vuma Dlozi Lami (feat. Ancestral Rituals),Issa Sisdoh,385076,4,14,ZAF,2025-01-30,0DGP0pRR8yz4OW2xxjIskt,59,380238,False,gqom,2024-09-12,https://i.scdn.co/image/ab67616d0000b27368a06ed6ae16fe97ae5df39e,https://i.scdn.co/image/ab67616d0000b27368a06ed6ae16fe97ae5df39e
6,spotify:track:7hO6BIPeHb0Y5v9bgXoxKg,"Dlala Thukzin, Zeh McGeba, MK Productions",Sohlala Sisonke,Dlala Records (PTY) Ltd,381144,5,18,ZAF,2025-01-30,7hO6BIPeHb0Y5v9bgXoxKg,61,327457,False,gqom,2024-09-27,https://i.scdn.co/image/ab67616d0000b273164b04c02beed8f60f09a9c7,https://i.scdn.co/image/ab6761610000e5eb6a23638587e543f2a1996614
7,spotify:track:4zZxynw8cwhCRlDl9pay2f,"Khathapillar, Sol Phenduka, Smash SA, Kamoh Xaba",Diqabang,Unity Music Africa,369404,2,30,ZAF,2025-01-30,4zZxynw8cwhCRlDl9pay2f,61,402890,False,amapiano,2024-05-20,https://i.scdn.co/image/ab67616d0000b273e6d6700d82d64205a9e23b5c,https://i.scdn.co/image/ab6761610000e5eb7fcb6b6c813833efe6e0cf95
8,spotify:track:1blpjqXA4y03pWHnDbhs9l,"Kelvin Momo, Da Muziqal Chef, Tracy, Thatohatsi",Bo Gogo (feat. Tracy & Thatohatsi),Kelvin Momo Productions,361691,7,7,ZAF,2025-01-30,1blpjqXA4y03pWHnDbhs9l,60,527129,False,amapiano,2024-12-13,https://i.scdn.co/image/ab67616d0000b2738faeebfddd87c78af4bbd7aa,https://i.scdn.co/image/ab6761610000e5eb1741a5a17ffc33dc37932ea8
9,spotify:track:0AQfRLzd7pQZcLtfh9Onb8,"Mellow & Sleazy, Scotts Maphuma, Mr Pilato, Seemah, Yanda Woods",Shayi'Moto (feat. Seemah & Yanda Woods),Mellow and Sleazy (Pty) Ltd,319679,4,12,ZAF,2025-01-30,0AQfRLzd7pQZcLtfh9Onb8,63,445719,False,amapiano,2024-11-08,https://i.scdn.co/image/ab67616d0000b273d8b8fdbbce991806957a7d22,https://i.scdn.co/image/ab6761610000e5ebbbb6f8c637946b47a8543e2b
10,spotify:track:6txAWGckgEGJIhLjhNdtE9,Chris Brown,Residuals,Chris Brown Entertainment/RCA Records,310112,10,38,ZAF,2025-01-30,6txAWGckgEGJIhLjhNdtE9,67,215178,False,r&b,2024-04-10,https://i.scdn.co/image/ab67616d0000b2731e6b353d08399755611d939d,https://i.scdn.co/image/ab6761610000e5eba48397e590a1c70e2cda7728
