rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,768804,1,11,ARE,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh,81,151646,False,k-pop,2024-11-19,https://i.scdn.co/image/ab67616d0000b27302dd46d1f82ce19b5927b269,https://i.scdn.co/image/ab6761610000e5eb6d4ee2bb960bc4d9c0a4ce45
2,spotify:track:2SR0alFA2oWYXSoePGTj0V,Jin,I’ll Be There,BIGHIT MUSIC,247878,2,14,ARE,2025-01-30,2SR0alFA2oWYXSoePGTj0V,72,181677,False,k-pop,2024-11-19,https://i.scdn.co/image/ab67616d0000b2730aa3d58774384527afb5df53,https://i.scdn.co/image/ab6761610000e5eb6d4ee2bb960bc4d9c0a4ce45
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,180133,1,24,ARE,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
4,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,142979,1,15,ARE,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
5,spotify:track:4z0vfU3JiAsl99ZHL29hMm,Jin,Close to You,"SORI NARLY, Studio Dragon, KEYEAST",133949,5,1,ARE,2025-01-30,4z0vfU3JiAsl99ZHL29hMm,78,228146,False,k-pop,2025-01-26,https://i.scdn.co/image/ab67616d0000b273b850cdaf11ac8dd77591d423,https://i.scdn.co/image/ab6761610000e5eb6d4ee2bb960bc4d9c0a4ce45
6,spotify:track:7HaUkQ34NYlOXFFspHeoG6,"Jin, Taka",Falling (feat. Taka),BIGHIT MUSIC,118941,4,10,ARE,2025-01-30,7HaUkQ34NYlOXFFspHeoG6,70,178832,False,k-pop,2024-11-25,https://i.scdn.co/image/ab67616d0000b273d3830c84379ff6c02c4a50ba,https://i.scdn.co/image/ab6761610000e5eb6d4ee2bb960bc4d9c0a4ce45
7,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,110995,1,37,ARE,2025-01-30,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
8,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,103268,3,18,ARE,2025-01-30,1Es7AUAhQvapIcoh3qMKDL,93,256000,True,,2024-09-27,https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
9,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",88326,6,15,ARE,2025-01-30,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
10,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",85405,6,10,ARE,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd,88,177598,False,hip hop,2024-11-21,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
11,spotify:track:2zbq6eS68i4NIJWekIuW1s,Dionela,Marilag,Universal Music Philippines Inc.,81655,10,11,ARE,2025-01-30,2zbq6eS68i4NIJWekIuW1s,83,157692,False,opm,2024-11-08,https://i.scdn.co/image/ab67616d0000b2734fac68d7fc631af679325118,https://i.scdn.co/image/ab6761610000e5eb50069ac992d74c5610ecb9cc
12,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,74059,10,3,ARE,2025-01-30,3sK8wGT43QFpWrvNQsrQya,98,237117,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
13,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,70939,1,42,ARE,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz,88,175459,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
14,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,63038,14,8,ARE,2025-01-30,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
15,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,61571,8,37,ARE,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h,92,261466,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
