rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:1hlHeIZ36Idpr57xPI8OCD,"Tenxi, Jemsii, Naykilla",Garam & Madu (Sakit Dadaku),Mighty Record,9105301,1,4,IDN,2025-01-30,1hlHeIZ36Idpr57xPI8OCD,82,184320,False,funkot,2025-01-03,https://i.scdn.co/image/ab67616d0000b273cb0c0208f8bf8c753f6c3d30,https://i.scdn.co/image/ab6761610000e5eb7495aa59a5c9daa7527a2bc8
2,spotify:track:6gjkHuMOR0CrN7Vb2NoEdg,Andmesh,Anugerah Terindah,HITS Records,8889010,1,10,IDN,2025-01-30,6gjkHuMOR0CrN7Vb2NoEdg,78,282200,False,indonesian pop,2023-09-22,https://i.scdn.co/image/ab67616d0000b2733b83fd19945daf89d7cbfc00,https://i.scdn.co/image/ab6761610000e5ebf89ddd2d4c1723297636f4ff
3,spotify:track:26KhLgFuPymkm1uiZkc6Rv,The Lantis,Bunga Maaf,WM Indonesia,7361479,2,8,IDN,2025-01-30,26KhLgFuPymkm1uiZkc6Rv,81,252349,False,malay,2024-11-15,https://i.scdn.co/image/ab67616d0000b2731d5d0be8e06065c89b6990f9,https://i.scdn.co/image/ab6761610000e5ebb42aed7ff48aa114c6a36415
4,spotify:track:0daEJMXc3b4ZMTnvtHpuTt,.Feast,Nina,Sun Eater,6235319,2,23,IDN,2025-01-30,0daEJMXc3b4ZMTnvtHpuTt,74,277944,False,indonesian indie,2024-08-30,https://i.scdn.co/image/ab67616d0000b273c800b90e2092a5328f699117,https://i.scdn.co/image/ab6761610000e5eb16f030ca05d4d917cdc2eb5e
5,spotify:track:0PtJbtW50jcvvswNPn3QGd,For Revenge,Serana,Didi Music,6048961,1,142,IDN,2025-01-30,0PtJbtW50jcvvswNPn3QGd,78,250000,False,indonesian indie,2022-09-06,https://i.scdn.co/image/ab67616d0000b27346f02ffc0922f939ed0fd53f,https://i.scdn.co/image/ab6761610000e5eb966755ed50b3f4487621b030
6,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,yung kai,blue,BMG Rights Management (US) LLC,5801241,3,11,IDN,2025-01-30,3be9ACTxtcL6Zm4vJRUiPG,89,214357,False,,2024-08-02,https://i.scdn.co/image/ab67616d0000b273373c63a4666fb7193febc167,https://i.scdn.co/image/ab6761610000e5ebb45f191e351f062c7213e0a9
7,spotify:track:2JekYbWANgDe54Dndi2I2C,Rony Parulian,Tak Ada Ujungnya,PT. Universal Music Indonesia,5650496,7,9,IDN,2025-01-30,2JekYbWANgDe54Dndi2I2C,79,202721,False,indonesian pop,2024-11-14,https://i.scdn.co/image/ab67616d0000b2735d2e53fbcef5d8d00bed2d8d,https://i.scdn.co/image/ab6761610000e5eb6b5a12c06095a0c85b6852cf
8,spotify:track:70Wtp9jCA3ZhGAxV0pnwS7,Rio Clappy,Bunga Abadi,Rio Clappy,5109086,6,29,IDN,2025-01-30,70Wtp9jCA3ZhGAxV0pnwS7,80,243038,False,indonesian pop,2024-03-01,https://i.scdn.co/image/ab67616d0000b273872e0ef3d053374f43fc377e,https://i.scdn.co/image/ab6761610000e5ebe36a615b3a5dd61afaa3386d
9,spotify:track:7BgFlmOxrL7M1jVGoxqy37,"Ernie Zakri, Ade Govinda",Masing Masing,Universal Music Sdn Bhd,4988507,2,18,IDN,2025-01-30,7BgFlmOxrL7M1jVGoxqy37,80,234589,False,malay,2023-11-03,https://i.scdn.co/image/ab67616d0000b273b2854c3503911cc7625992e2,https://i.scdn.co/image/ab6761610000e5ebd4e158ec0916e15687ca82e0
10,spotify:track:2wAiFWjRupWmnDkQcu91MF,Hindia,Rumah Ke Rumah,Sun Eater,4512293,10,270,IDN,2025-01-30,2wAiFWjRupWmnDkQcu91MF,79,277457,False,indonesian indie,2019-11-29,https://i.scdn.co/image/ab67616d0000b273d623688488865906052ef96b,https://i.scdn.co/image/ab6761610000e5eba0f17d25ddff5777a6de51c0
11,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,4509647,1,23,IDN,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
12,spotify:track:7zOVh5fGpEwSbZd0g9z80B,Bernadya,Satu Bulan,Juni Records,4465791,1,44,IDN,2025-01-30,7zOVh5fGpEwSbZd0g9z80B,80,200476,False,indonesian pop,2023-06-22,https://i.scdn.co/image/ab67616d0000b273cb1e5f7d0942bf9196c1e711,https://i.scdn.co/image/ab6761610000e5eb6d1dbc1a4a286b1ee9d40163
13,spotify:track:3FwQ3RYYEekzjEeL3jdpUZ,Lyodra,Pesan Terakhir,PT. Universal Music Indonesia,4129611,3,185,IDN,2025-01-30,3FwQ3RYYEekzjEeL3jdpUZ,79,261299,False,indonesian pop,2021-07-16,https://i.scdn.co/image/ab67616d0000b273d00e5994b61f1d93dafe9221,https://i.scdn.co/image/ab6761610000e5eb57371565e006b10a40d41025
14,spotify:track:5MIpcd16T59wFeqAChSYwC,Last Child,Duka,dr.m,4031709,10,186,IDN,2025-01-30,5MIpcd16T59wFeqAChSYwC,78,325147,False,indonesian pop,2016-09-25,https://i.scdn.co/image/ab67616d0000b2733e19058e3db31816a65baf39,https://i.scdn.co/image/ab6761610000e5eb3e2192453d16aa93116434b8
15,spotify:track:6cChz3Pak7UtjuVJJRZmCm,"Adrian Khalif, Juicy Luicy",Sialan,E-Motion Entertainment,3956921,2,45,IDN,2025-01-30,6cChz3Pak7UtjuVJJRZmCm,74,241088,False,indonesian pop,2024-09-27,https://i.scdn.co/image/ab67616d0000b2739670851bed73df294eee9111,https://i.scdn.co/image/ab6761610000e5ebaacec2a8c9876f5b3e964ab6
16,spotify:track:6AyBbSvcR2ZwTeR30I4jb9,"For Revenge, Stereo Wall",Jakarta Hari Ini,Didi Music,3845439,16,90,IDN,2025-01-30,6AyBbSvcR2ZwTeR30I4jb9,75,221000,False,indonesian indie,2022-09-06,https://i.scdn.co/image/ab67616d0000b27346f02ffc0922f939ed0fd53f,https://i.scdn.co/image/ab6761610000e5eb966755ed50b3f4487621b030
