rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:4ulroyDK6rN73nVkCkWhur,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",Sahiba,Warner Music India,7042012,1,10,IND,2025-01-30,4ulroyDK6rN73nVkCkWhur,81,217148,False,hindi pop,2024-11-15,https://i.scdn.co/image/ab67616d0000b273b5e7944443cec785db91184b,https://i.scdn.co/image/ab6761610000e5ebd65723b2f4cf4d47f62a9f89
2,spotify:track:3vCzLB6kS2lGcIpm1OOUsy,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",Ishq Hai,Netflix Music,6859427,1,7,IND,2025-01-30,3vCzLB6kS2lGcIpm1OOUsy,81,312857,False,hindi indie,2024-12-03,https://i.scdn.co/image/ab67616d0000b27379f4a87c23143f0abb14c279,https://i.scdn.co/image/ab6761610000e5eb90a9f16b862b8d8efc4ab7aa
3,spotify:track:0eCajpR75pDW0r64U6hP2x,Anuv Jain,Jo Tum Mere Ho,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),5771923,1,25,IND,2025-01-30,0eCajpR75pDW0r64U6hP2x,82,251813,False,indian indie,2024-08-02,https://i.scdn.co/image/ab67616d0000b27372a77d038887cdc425f5ee55,https://i.scdn.co/image/ab6761610000e5eba837a6cb82dd949d5e1f9b53
4,spotify:track:4vHRQnzGcKEtqsLH70tAms,"Sachet-Parampara, Parampara Tandon, Kausar Munir","Raanjhan (From ""Do Patti"")",T-Series,5675262,2,15,IND,2025-01-30,4vHRQnzGcKEtqsLH70tAms,80,240066,False,bhajan,2024-10-04,https://i.scdn.co/image/ab67616d0000b273773c5f60bcb309ef8802e4ef,https://i.scdn.co/image/ab6761610000e5eb9415df28058107b5d54f9fad
5,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,4684247,4,18,IND,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
6,spotify:track:1hlbywc8Jhl1FFqJxAMabE,"Faheem Abdullah, Rauhan Malik, Amir Ameer",Ishq,Artiste First,4574539,2,44,IND,2025-01-30,1hlbywc8Jhl1FFqJxAMabE,74,224842,False,indian indie,2024-05-25,https://i.scdn.co/image/ab67616d0000b2730de04fd2c7c3bdc0a1d765f5,https://i.scdn.co/image/ab6761610000e5ebc0b07ad00259911834d338a3
7,spotify:track:4d2jV5fmX6hbRwaRbY39dt,Karan Aujla,Wavy,Karan Aujla Music,3851150,4,11,IND,2025-01-30,4d2jV5fmX6hbRwaRbY39dt,79,161000,False,punjabi pop,2024-11-15,https://i.scdn.co/image/ab67616d0000b273e34f05599c4a42e1cbb1c251,https://i.scdn.co/image/ab6761610000e5eb7aa689cd7ca136098b26c20d
8,spotify:track:5zCnGtCl5Ac5zlFHXaZmhy,"Ram Sampath, Arijit Singh, Prashant Pandey","Sajni (From ""Laapataa Ladies"")",T-Series,3604164,1,39,IND,2025-01-30,5zCnGtCl5Ac5zlFHXaZmhy,78,170044,False,bollywood,2024-02-12,https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d,https://i.scdn.co/image/ab6761610000e5ebed1f220551eded3711206fa4
9,spotify:track:5AnWrUzsrFgBvhn6dUElnr,"Sachin-Jigar, Amitabh Bhattacharya, Madhubanti Bagchi, Divya Kumar","Aaj Ki Raat (From ""Stree 2"")",Saregama India Ltd,3596966,1,27,IND,2025-01-30,5AnWrUzsrFgBvhn6dUElnr,78,228620,False,gujarati pop,2024-07-24,https://i.scdn.co/image/ab67616d0000b2735e16168f7e8ff4fb8aace6cf,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
10,spotify:track:78BWCd70D1X6LMkDZm1UoF,Yo Yo Honey Singh,Millionaire,T-Series,3513862,3,22,IND,2025-01-30,78BWCd70D1X6LMkDZm1UoF,78,199114,True,bollywood,2024-08-26,https://i.scdn.co/image/ab67616d0000b273aad3f4b601ae8763b3fc4e88,https://i.scdn.co/image/ab6761610000e5ebbc7e4fffd515b47ff1ebbc1f
11,spotify:track:1hA697u7e1jX2XM8sWA6Uy,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Apna Bana Le,Zee Music Company,3498372,1,84,IND,2025-01-30,1hA697u7e1jX2XM8sWA6Uy,74,261702,False,gujarati pop,2022-12-06,https://i.scdn.co/image/ab67616d0000b273b85b4e8fb6ba961aedfde386,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
12,spotify:track:2ceeTJAzKy295Fm0VsaXtE,"Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,3095773,10,51,IND,2025-01-30,2ceeTJAzKy295Fm0VsaXtE,76,264089,False,gujarati pop,2024-02-02,https://i.scdn.co/image/ab67616d0000b273b608e9bcf3845d082d1d559e,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
13,spotify:track:1dFrZr9eMUsFqeag04ClqD,Dhanda Nyoliwala,Russian Bandana,Universal Music India Pvt Ltd.,3063513,6,18,IND,2025-01-30,1dFrZr9eMUsFqeag04ClqD,76,197142,False,haryanvi pop,2024-09-12,https://i.scdn.co/image/ab67616d0000b27346be2f6e9db95d3937772b8e,https://i.scdn.co/image/ab6761610000e5ebc22439e9ea9b0192786a8abd
14,spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",T-Series,3059466,2,296,IND,2025-01-30,2Fv2injs4qAm8mJBGaxVKU,77,284779,False,hindi pop,2019-05-31,https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f,https://i.scdn.co/image/ab6761610000e5eb5ba2d75eb08a2d672f9b69b7
15,spotify:track:2cPUB8EOT6AfJ8oxhyoNXL,"Pritam, Javed Bashir",Ye Tune Kya Kiya,T-Series,3040520,15,50,IND,2025-01-30,2cPUB8EOT6AfJ8oxhyoNXL,75,314239,False,bollywood,2013-07-22,https://i.scdn.co/image/ab67616d0000b273fe77bd21eb38ff74b5f21524,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
16,spotify:track:7eQl3Yqv35ioqUfveKHitE,"Pritam, Mohit Chauhan, Irshad Kamil",Tum Se Hi,T-Series,3023184,13,254,IND,2025-01-30,7eQl3Yqv35ioqUfveKHitE,76,321225,False,bollywood,2007-09-21,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
17,spotify:track:76ZWOhRRQzmb4xMoZzTjJ9,"Yo Yo Honey Singh, Paradox",Payal,T-Series,2867273,14,10,IND,2025-01-30,76ZWOhRRQzmb4xMoZzTjJ9,76,226751,False,bollywood,2024-08-26,https://i.scdn.co/image/ab67616d0000b273aad3f4b601ae8763b3fc4e88,https://i.scdn.co/image/ab6761610000e5ebbc7e4fffd515b47ff1ebbc1f
18,spotify:track:4Lo6I7kkHWgAVRmdILLhig,"Arijit Singh, Afsana Khan, Tanishk Bagchi, Irshad Kamil","Tu Hain Toh Main Hoon (From ""Sky Force"")",Saregama India Ltd,2843438,18,1,IND,2025-01-30,4Lo6I7kkHWgAVRmdILLhig,69,247792,False,bollywood,2025-01-22,https://i.scdn.co/image/ab67616d0000b2739ee4cc6ac7f632bc103c35d2,https://i.scdn.co/image/ab6761610000e5eb96f049daefd1875282baab0a
19,spotify:track:1PALLCSlHwAI4upY3sMg8u,"Aditya Rikhari, Tulsi Kumar, Lijo George-Dj Chetas","Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",T-Series,2793965,9,13,IND,2025-01-30,1PALLCSlHwAI4upY3sMg8u,76,212108,False,hindi indie,2024-10-22,https://i.scdn.co/image/ab67616d0000b273edf2fb20566c733442f6ee52,https://i.scdn.co/image/ab6761610000e5eb482c8b15eab378fdebc5e05e
20,spotify:track:3yHyiUDJdz02FZ6jfUbsmY,"Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")",T-Series,2741210,2,66,IND,2025-01-30,3yHyiUDJdz02FZ6jfUbsmY,76,271169,False,hindi pop,2023-10-27,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,https://i.scdn.co/image/ab6761610000e5eb5ba2d75eb08a2d672f9b69b7
21,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,yung kai,blue,BMG Rights Management (US) LLC,2707695,16,8,IND,2025-01-30,3be9ACTxtcL6Zm4vJRUiPG,89,214357,False,,2024-08-02,https://i.scdn.co/image/ab67616d0000b273373c63a4666fb7193febc167,https://i.scdn.co/image/ab6761610000e5ebb45f191e351f062c7213e0a9
22,spotify:track:5FXMRdJjKq1BIX4e8Eg9mK,"Vishal-Shekhar, KK",Ajab Si,T-Series,2688367,22,160,IND,2025-01-30,5FXMRdJjKq1BIX4e8Eg9mK,74,241668,False,bollywood,2007-09-18,https://i.scdn.co/image/ab67616d0000b273675b3f7dea80153c73581e5e,https://i.scdn.co/image/ab6761610000e5eb90b6c3d093f9b02aad628eaf
23,spotify:track:4XTgFBxBHN6var1BzAgE1m,"Maanu, Annural Khalid",Jhol,Giraffe Music,2682098,23,7,IND,2025-01-30,4XTgFBxBHN6var1BzAgE1m,76,265817,False,indian indie,2024-06-14,https://i.scdn.co/image/ab67616d0000b273453e292ec04853335c32e0b4,https://i.scdn.co/image/ab6761610000e5eb9b6c7e199b426c19e47e0cfc
24,spotify:track:0TL0LFcwIBF5eX7arDIKxY,Anuv Jain,Husn,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),2666887,1,61,IND,2025-01-30,0TL0LFcwIBF5eX7arDIKxY,77,217894,False,indian indie,2023-12-01,https://i.scdn.co/image/ab67616d0000b2730d3449f333a83a25feb423f8,https://i.scdn.co/image/ab6761610000e5eba837a6cb82dd949d5e1f9b53
25,spotify:track:2PvaburAUlhNHxVhw5lvOq,Arijit Singh,"Humdard (From ""Ek Villain"")",T-Series,2652951,24,237,IND,2025-01-30,2PvaburAUlhNHxVhw5lvOq,74,260590,False,hindi pop,2020-05-19,https://i.scdn.co/image/ab67616d0000b2731aa5adad8593923dcdf1a7d0,https://i.scdn.co/image/ab6761610000e5eb5ba2d75eb08a2d672f9b69b7
26,spotify:track:45PA9lW7U5LYnlpGrdTyHY,"Jasleen Royal, Ujjwal Kashyap",Sang Rahiyo (feat. Ujjwal Kashyap),Warner Music India,2613230,21,47,IND,2025-01-30,45PA9lW7U5LYnlpGrdTyHY,75,213288,False,hindi pop,2020-09-10,https://i.scdn.co/image/ab67616d0000b2733e4ba46c9324ef423f347c35,https://i.scdn.co/image/ab6761610000e5ebd65723b2f4cf4d47f62a9f89
27,spotify:track:7yDHHVKLbvDmVw1XXhDDIO,"Vishal Mishra, Raj Shekhar",Pehle Bhi Main,T-Series,2600934,1,61,IND,2025-01-30,7yDHHVKLbvDmVw1XXhDDIO,76,250158,False,hindi pop,2023-11-24,https://i.scdn.co/image/ab67616d0000b2735f3ede47954a93aa03efe5f9,https://i.scdn.co/image/ab6761610000e5ebfb13d10be20fdcb5a670f551
28,spotify:track:1r6GbBLdtUK1Vl1IHT14wP,"Mohammad Faiz, Jaani","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,2573649,2,37,IND,2025-01-30,1r6GbBLdtUK1Vl1IHT14wP,69,281511,False,hindi pop,2024-05-24,https://i.scdn.co/image/ab67616d0000b273373b21b6dfdb6cd71e03101f,https://i.scdn.co/image/ab6761610000e5eba59b1a2915b3e21d9ba68270
29,spotify:track:0YQJoDL6f46J0n1rOVkpxJ,"Karan Aujla, Ikky",Softly,WM Canada,2479351,4,76,IND,2025-01-30,0YQJoDL6f46J0n1rOVkpxJ,76,155161,False,punjabi pop,2023-08-18,https://i.scdn.co/image/ab67616d0000b273bb25239324c4e16ae01fda36,https://i.scdn.co/image/ab6761610000e5eb7aa689cd7ca136098b26c20d
30,spotify:track:48Ix6ReYdJf2H4mKb3TIpj,"Atif Aslam, Alisha Chinai, Pritam",Tera Hone Laga Hoon,Tips Industries Ltd,2466356,30,194,IND,2025-01-30,48Ix6ReYdJf2H4mKb3TIpj,71,299827,False,bollywood,2023-04-20,https://i.scdn.co/image/ab67616d0000b273a1c00de3e08bfde2c646c7a3,https://i.scdn.co/image/ab6761610000e5ebc40600e02356cc86f0debe84
31,spotify:track:2IoZMG3RqiTmsy7Li3zGFg,"Sachet Tandon, Parampara Tandon, Sachet-Parampara","Mere Sohneya (From ""Kabir Singh"")",T-Series,2458681,4,250,IND,2025-01-30,2IoZMG3RqiTmsy7Li3zGFg,73,193355,False,bhajan,2019-06-06,https://i.scdn.co/image/ab67616d0000b2738ae7ce46d1896e3e0fb86e70,https://i.scdn.co/image/ab6761610000e5ebe34fad78221a2cb31da57946
32,spotify:track:2GXXZFUxYg2LvG8SR0byOE,"Sachin-Jigar, Atif Aslam",Jeena Jeena,Eros Now Music,2443301,29,177,IND,2025-01-30,2GXXZFUxYg2LvG8SR0byOE,75,228969,False,gujarati pop,2014-12-09,https://i.scdn.co/image/ab67616d0000b2734c74beed966d2f38aa298c57,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
33,spotify:track:5npFBWhVs3VVlc0nY5xQMA,"Sachin-Jigar, Arijit Singh","Tainu Khabar Nahi - From ""Munjya""",Zee Music Company,2433713,17,33,IND,2025-01-30,5npFBWhVs3VVlc0nY5xQMA,74,188166,False,gujarati pop,2024-05-31,https://i.scdn.co/image/ab67616d0000b27367a876fee5cd00ed0f395a9e,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
34,spotify:track:6bmmHeCvZI92pRiTHxEdTC,"Pritam, Arijit Singh, Irshad Kamil",O Maahi,T-Series,2433456,4,59,IND,2025-01-30,6bmmHeCvZI92pRiTHxEdTC,72,233453,False,bollywood,2023-12-20,https://i.scdn.co/image/ab67616d0000b273ab1e3b16de1c7ec009880e97,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
35,spotify:track:25Nxyrng0Z3jC5Q0hAibpw,Karan Aujla,"Tauba Tauba (From ""Bad Newz"")",Saregama India Ltd,2395905,1,30,IND,2025-01-30,25Nxyrng0Z3jC5Q0hAibpw,68,207157,False,punjabi pop,2024-07-17,https://i.scdn.co/image/ab67616d0000b273e1e330d774b305917db5fa82,https://i.scdn.co/image/ab6761610000e5eb7aa689cd7ca136098b26c20d
36,spotify:track:1bxzr3JK05fMTcweGAZUHp,"Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry","Chuttamalle (From ""Devara Part 1"")",T-Series,2395363,4,26,IND,2025-01-30,1bxzr3JK05fMTcweGAZUHp,76,222063,False,bollywood,2024-08-05,https://i.scdn.co/image/ab67616d0000b2736d97b3dc154dfdbe2321fb5c,https://i.scdn.co/image/ab6761610000e5ebada368118a052fb40d3f1a68
37,spotify:track:0GQngE2rOYvlKwEQjTAsP8,"Pritam, Sreeram, Shilpa Rao",Subhanallah,T-Series,2323249,34,95,IND,2025-01-30,0GQngE2rOYvlKwEQjTAsP8,74,249707,False,bollywood,2013-03-30,https://i.scdn.co/image/ab67616d0000b273707ea5b8023ac77d31756ed4,https://i.scdn.co/image/ab6761610000e5ebcb6926f44f620555ba444fca
38,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2287369,13,15,IND,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
39,spotify:track:2FCXQHugkoHE1K3tiDu8pu,"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",T-Series,2286819,4,296,IND,2025-01-30,2FCXQHugkoHE1K3tiDu8pu,70,341054,False,bollywood,2017-06-07,https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389,https://i.scdn.co/image/ab6761610000e5eb935b2dd507212bd72a71d7f9
40,spotify:track:5pPyvA03RKSJrAnnDcq0nh,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Saibo,Sony Music Entertainment India Pvt. Ltd.,2273344,31,222,IND,2025-01-30,5pPyvA03RKSJrAnnDcq0nh,69,195515,False,gujarati pop,2011,https://i.scdn.co/image/ab67616d0000b273785863b7879a10531649cab6,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
41,spotify:track:1o8YPl0hyGbpRcHplXNvsm,"Vishal Mishra, Sachin-Jigar, Amitabh Bhattacharya","Khoobsurat (From ""Stree 2"")",Saregama India Ltd,2256201,5,24,IND,2025-01-30,1o8YPl0hyGbpRcHplXNvsm,74,244583,False,gujarati pop,2024-08-09,https://i.scdn.co/image/ab67616d0000b273dd5eaafc5f4075139d7f34b4,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
42,spotify:track:3WLJ7D5kh44K5eJ1NqZQ6W,Anuv Jain,Baarishein,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),2249419,16,194,IND,2025-01-30,3WLJ7D5kh44K5eJ1NqZQ6W,74,207312,False,indian indie,2018-01-12,https://i.scdn.co/image/ab67616d0000b273d8ca783fa570b57e082f4374,https://i.scdn.co/image/ab6761610000e5eba837a6cb82dd949d5e1f9b53
43,spotify:track:1mQUEvGR7Sbt2OCz2gFrdx,"Amitabh Bhattacharya, Sachin-Jigar, Pawan Singh, Simran Choudhary","Aayi Nai (From ""Stree 2"")",Saregama India Ltd,2246072,2,25,IND,2025-01-30,1mQUEvGR7Sbt2OCz2gFrdx,72,178780,False,gujarati pop,2024-08-01,https://i.scdn.co/image/ab67616d0000b273c617a7ebd0cfe5bdbb26d262,https://i.scdn.co/image/ab6761610000e5eb8094cf9aa2f6ed775614c073
44,spotify:track:6fScgF2Y63ScU73nYju0ny,"Atif Aslam, Arko",O Saathi,T-Series,2245684,44,131,IND,2025-01-30,6fScgF2Y63ScU73nYju0ny,75,251818,False,bollywood,2018-03-09,https://i.scdn.co/image/ab67616d0000b2733b7ae221866b5e81daf4483f,https://i.scdn.co/image/ab6761610000e5ebc40600e02356cc86f0debe84
