rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:78W4mTLIh4qoLu92W4IQhO,Mrs. GREEN APPLE,ライラック,Universal Music LLC,2971194,1,42,JPN,2025-01-30,78W4mTLIh4qoLu92W4IQhO,79,288200,False,j-pop,2024-04-11,https://i.scdn.co/image/ab67616d0000b2732dad118eff6a430b28a457bd,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
2,spotify:track:62x4EMPyCFF2Ohv7qDjalp,Mrs. GREEN APPLE,ダーリン,Universal Music LLC,2433833,2,2,JPN,2025-01-30,62x4EMPyCFF2Ohv7qDjalp,72,280666,False,j-pop,2025-01-19,https://i.scdn.co/image/ab67616d0000b273e4f0c38eb31799e13fe2adaa,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
3,spotify:track:6DYV1GqwCTrvfPcjeFwjLt,Mrs. GREEN APPLE,ビターバカンス,Universal Music LLC,2415208,2,9,JPN,2025-01-30,6DYV1GqwCTrvfPcjeFwjLt,76,198196,False,j-pop,2024-11-28,https://i.scdn.co/image/ab67616d0000b273f936dea34deef9a0c21f31e3,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
4,spotify:track:1KLg01cjnRsENoFhJWUTSd,Kenshi Yonezu,Plazma,Sony Music Labels Inc.,2237791,4,2,JPN,2025-01-30,1KLg01cjnRsENoFhJWUTSd,73,180832,False,j-pop,2025-01-20,https://i.scdn.co/image/ab67616d0000b2739c942f54fda039c4d5438eee,https://i.scdn.co/image/ab6761610000e5eb9abf89574f39f5ed424b968c
5,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2066445,1,15,JPN,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
6,spotify:track:0teqQ0PYqVDyyXJuPOyMhu,Mrs. GREEN APPLE,ケセラセラ,Universal Music LLC,1984744,3,93,JPN,2025-01-30,0teqQ0PYqVDyyXJuPOyMhu,74,272226,False,j-pop,2023-07-04,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
7,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1909107,1,28,JPN,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU,90,170887,False,k-pop,2024-07-19,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79
8,spotify:track:3YML5IHoqWbw9c9vJJvrvM,Mrs. GREEN APPLE,Soranji,Universal Music LLC,1727977,8,119,JPN,2025-01-30,3YML5IHoqWbw9c9vJJvrvM,72,343253,False,j-pop,2023-07-04,https://i.scdn.co/image/ab67616d0000b273d482c602732da71e7cdf04c3,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
9,spotify:track:4PCQHOJFMV9BWq46UMVf2l,Mrs. GREEN APPLE,familie,Universal Music LLC,1717907,2,25,JPN,2025-01-30,4PCQHOJFMV9BWq46UMVf2l,74,222714,False,j-pop,2024-08-08,https://i.scdn.co/image/ab67616d0000b27324522238327dceeae211816e,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
10,spotify:track:5BC6kr6etk2Y9J62AyI4i3,Mrs. GREEN APPLE,青と夏,Universal Music LLC,1660155,2,342,JPN,2025-01-30,5BC6kr6etk2Y9J62AyI4i3,73,270026,False,j-pop,2019-10-01,https://i.scdn.co/image/ab67616d0000b27381f55cd879e9480e3ed313df,https://i.scdn.co/image/ab6761610000e5eb3745f83871d6016e5e9ce5d8
