rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,2354014,1,28,THA,2025-01-30,7tI8dRuH2Yc6RuoTjxo4dU,90,170887,False,k-pop,2024-07-19,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79
2,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),BIGHIT MUSIC,1867369,1,9,THA,2025-01-30,7G7mSV4BebkoHWwKTDvXu9,86,234895,False,k-pop,2024-11-29,https://i.scdn.co/image/ab67616d0000b27316ba2a3622bd0d0d985e3234,https://i.scdn.co/image/ab6761610000e5eb8e7d00d3aae87cf8fc6946e2
3,spotify:track:3yDRcs0Y4pPzkvMbUfeF9H,LISA,Moonlit Floor (Kiss Me),Lloud Co./RCA Records,1825824,1,17,THA,2025-01-30,3yDRcs0Y4pPzkvMbUfeF9H,83,155757,False,k-pop,2024-10-03,https://i.scdn.co/image/ab67616d0000b2735a039ed450d3e9a5caaf7818,https://i.scdn.co/image/ab6761610000e5eb426faee7010fa829bb527cfb
4,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,1111681,1,11,THA,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh,81,151646,False,k-pop,2024-11-19,https://i.scdn.co/image/ab67616d0000b27302dd46d1f82ce19b5927b269,https://i.scdn.co/image/ab6761610000e5eb6d4ee2bb960bc4d9c0a4ce45
5,spotify:track:1THWgXia63L6sds6dIMlI9,Three Man Down,เพลงรัก,GMM Music Public Company Limited,916692,5,16,THA,2025-01-30,1THWgXia63L6sds6dIMlI9,66,269016,False,thai pop,2024-10-08,https://i.scdn.co/image/ab67616d0000b273123478754a57fc557dd733b3,https://i.scdn.co/image/ab6761610000e5eb013b76dbf70fc11888902360
6,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,909273,5,24,THA,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
7,spotify:track:6NnDhBn93o2CxGkwrtKVMG,Only Monday,ท้ายปี,GMM Music Public Company Limited,877177,3,10,THA,2025-01-30,6NnDhBn93o2CxGkwrtKVMG,67,285843,False,thai rock,2024-11-19,https://i.scdn.co/image/ab67616d0000b273e88e5c95d4f5e03cd3fafa49,https://i.scdn.co/image/ab6761610000e5eb14c5439d796c8655e9d1582c
8,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,817119,7,36,THA,2025-01-30,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
9,spotify:track:5pqAbpHRuFhcACwvVBi69V,Big Ass,ก่อนตาย,Music bugs,814300,9,46,THA,2025-01-30,5pqAbpHRuFhcACwvVBi69V,64,257133,False,thai rock,2015,https://i.scdn.co/image/ab67616d0000b27352e0c225cf0eb353812294c7,https://i.scdn.co/image/ab6761610000e5eb5280b964a9bc960525efa4c0
10,spotify:track:3dKiS7M3Rkqtj9dsOkvzW6,"Tilly Birds, Polycat",ล้มแชมป์ (Only You Can),GMM Music Public Company Limited,803562,10,3,THA,2025-01-30,3dKiS7M3Rkqtj9dsOkvzW6,63,208269,False,thai pop,2025-01-14,https://i.scdn.co/image/ab67616d0000b2737901cfe28e93d855f18e2db1,https://i.scdn.co/image/ab6761610000e5ebd91ffb9bd3858a5143cda70a
11,spotify:track:24VfUtHxbkCrscWC00toom,Musketeers,ความทรงจำ,Believe Records,778476,9,137,THA,2025-01-30,24VfUtHxbkCrscWC00toom,65,258973,False,thai pop,2015-12-16,https://i.scdn.co/image/ab67616d0000b273b0f744fa9ec23266c747a606,https://i.scdn.co/image/ab6761610000e5eb9ce1effcd929f5776754ffd8
12,spotify:track:6BN3iFjclJ4teGlmB3fFvo,"Cocktail, Q Flure",Yours Ever,GMM Music Public Company Limited,749704,4,17,THA,2025-01-30,6BN3iFjclJ4teGlmB3fFvo,68,259380,False,thai rock,2024-08-29,https://i.scdn.co/image/ab67616d0000b273f2404aa2edfd09a5d3d7878a,https://i.scdn.co/image/ab6761610000e5ebd7706f75460a24f8fd1132df
13,spotify:track:7ov3TDp5D00Rnu5R1viX4w,"LISA, ROSALÍA",New Woman (feat. ROSALÍA),Lloud Co./RCA Records,746161,1,24,THA,2025-01-30,7ov3TDp5D00Rnu5R1viX4w,80,179789,False,k-pop,2024-08-15,https://i.scdn.co/image/ab67616d0000b2737c451a4f06288da6edf050c1,https://i.scdn.co/image/ab6761610000e5eb426faee7010fa829bb527cfb
