rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:0126WdGxnrNEqzgUb1wgQH,Lvbel C5,HAVHAVHAV,EMI - Kent Elektronik Sanayi ve Ticaret A.S.,3823432,1,1,TUR,2025-01-30,0126WdGxnrNEqzgUb1wgQH,71,126255,True,turkish hip hop,2025-01-23,https://i.scdn.co/image/ab67616d0000b27303a4aef4fa3f80032dc3f82d,https://i.scdn.co/image/ab6761610000e5eb9cff987c68dba5e50d9258a9
2,spotify:track:24QL6OovqvjJ7cDxBd5Fwl,"Era7capone, KERO",DURULDUM,ZUNA,3613371,2,2,TUR,2025-01-30,24QL6OovqvjJ7cDxBd5Fwl,74,124516,False,turkish hip hop,2025-01-17,https://i.scdn.co/image/ab67616d0000b27381c37320464b28a3dd27dc70,https://i.scdn.co/image/ab6761610000e5eb9bddd8c446856a91e37e397c
3,spotify:track:1lNcnIU4jtqD69Qtfjh8EJ,"Dedublüman, Aleyna Tilki",Sana Güvenmiyorum - Dedub Sessions,Hypers & DMC,3457308,1,13,TUR,2025-01-30,1lNcnIU4jtqD69Qtfjh8EJ,77,204833,False,arabesque,2024-11-01,https://i.scdn.co/image/ab67616d0000b273586d3ac510fd1220ecfb97eb,https://i.scdn.co/image/ab6761610000e5eb01c788a11415f322aa46e1b9
4,spotify:track:4DPjZs1Jjw5mQ41w0xt9KA,UZI,NEON,GNG CLAN,3291343,2,2,TUR,2025-01-30,4DPjZs1Jjw5mQ41w0xt9KA,74,151290,False,turkish hip hop,2025-01-17,https://i.scdn.co/image/ab67616d0000b273f2ea9ce778b215eec5cb8bff,https://i.scdn.co/image/ab6761610000e5eb1027e6450e93e81192656ea6
5,spotify:track:7FfdTwI2i0b5PNeNvqtqCY,Ati242,Italy Forma,SST,2571179,2,16,TUR,2025-01-30,7FfdTwI2i0b5PNeNvqtqCY,76,181346,True,turkish hip hop,2024-10-11,https://i.scdn.co/image/ab67616d0000b27379dbe6c33d218de4aa59223b,https://i.scdn.co/image/ab6761610000e5ebc3a595cff718a1b928d0a1d8
6,spotify:track:3ff93VTp2DBbNnDEsAW8Cm,BLOK3,SEVMEYİ DENEMEDİN,Mundo Music,2310303,1,20,TUR,2025-01-30,3ff93VTp2DBbNnDEsAW8Cm,75,172900,False,turkish hip hop,2024-09-13,https://i.scdn.co/image/ab67616d0000b2738f9028a4726d40fb8c8e0b44,https://i.scdn.co/image/ab6761610000e5eb11cae6b8ecd0f98d170027dd
7,spotify:track:4K64OOHItyspEsQFLobJqn,"BEGE, Reynmen",HER GÜN AĞLADIM,BEGE,2219939,4,2,TUR,2025-01-30,4K64OOHItyspEsQFLobJqn,73,232727,False,turkish hip hop,2025-01-17,https://i.scdn.co/image/ab67616d0000b27380080928b3b7c7d492a51b7c,https://i.scdn.co/image/ab6761610000e5eb9b12e76ddacd997280d9f5fa
8,spotify:track:0QuKutgaaa0Q1WUZEnrZ93,Ati242,Sönen Sigaralar,SST,2031430,5,16,TUR,2025-01-30,0QuKutgaaa0Q1WUZEnrZ93,74,211426,True,turkish hip hop,2024-10-11,https://i.scdn.co/image/ab67616d0000b27379dbe6c33d218de4aa59223b,https://i.scdn.co/image/ab6761610000e5ebc3a595cff718a1b928d0a1d8
9,spotify:track:7eLW4rL7saxNtZ640Na7vM,Jeff Redd,PSYCHO,Lais Records,1952014,2,6,TUR,2025-01-30,7eLW4rL7saxNtZ640Na7vM,74,153999,False,turkish hip hop,2024-12-20,https://i.scdn.co/image/ab67616d0000b27335154c876bea2cda3a61484a,https://i.scdn.co/image/ab6761610000e5eb471719eae12487ee40a4872f
10,spotify:track:1O3utGlqPaNnTX1ZeRXLQY,BLOK3,UYUZ,Mundo Music,1938645,10,16,TUR,2025-01-30,1O3utGlqPaNnTX1ZeRXLQY,72,167370,True,turkish hip hop,2024-09-13,https://i.scdn.co/image/ab67616d0000b2738f9028a4726d40fb8c8e0b44,https://i.scdn.co/image/ab6761610000e5eb11cae6b8ecd0f98d170027dd
11,spotify:track:5pEpvR03HbLxkBtK73EeJw,Ati242,Değişmene Rağmen,SST,1923812,2,30,TUR,2025-01-30,5pEpvR03HbLxkBtK73EeJw,71,185786,False,turkish hip hop,2024-10-11,https://i.scdn.co/image/ab67616d0000b27379dbe6c33d218de4aa59223b,https://i.scdn.co/image/ab6761610000e5ebc3a595cff718a1b928d0a1d8
12,spotify:track:0bvgWq2ZUhwwjLR1AMcQDs,"Era7capone, Batuflex, Narco",CISTAK,Lais Records,1830544,1,34,TUR,2025-01-30,0bvgWq2ZUhwwjLR1AMcQDs,69,136009,True,turkish hip hop,2024-09-13,https://i.scdn.co/image/ab67616d0000b273af93c9c06fd19c759fe6324d,https://i.scdn.co/image/ab6761610000e5eb9bddd8c446856a91e37e397c
13,spotify:track:0VOnehekjQz9cvUwLzmYSQ,Semicenk,Sen Kaldın,Eva Yapım & Eva Records,1739338,12,25,TUR,2025-01-30,0VOnehekjQz9cvUwLzmYSQ,71,152438,False,turkish pop,2024-08-09,https://i.scdn.co/image/ab67616d0000b273dc4721fefe12a86355da4fed,https://i.scdn.co/image/ab6761610000e5eb4f7f5c04098374eefedfc864
14,spotify:track:0E1hVdXGZu0MoE77bYyjie,"Simge, Era7capone, Ozan Bayraşa, SNOW",YANKI X İNTİHAR,Lais Records & DMC,1735828,4,11,TUR,2025-01-30,0E1hVdXGZu0MoE77bYyjie,73,151512,False,turkish pop,2024-11-14,https://i.scdn.co/image/ab67616d0000b2730e6bcab4c2f991de48c37a30,https://i.scdn.co/image/ab6761610000e5eb563951070f1bd0dfe83a154c
15,spotify:track:7AbbuiP5vKiuyFl47Z5jY3,Duman,Kufi,PARAVAN,1719020,6,32,TUR,2025-01-30,7AbbuiP5vKiuyFl47Z5jY3,64,265364,False,anatolian rock,2024-12-13,https://i.scdn.co/image/ab67616d0000b27395843194016ef123b63bae1c,https://i.scdn.co/image/ab6761610000e5eb5eedfda3da66eb4591be4fa7
16,spotify:track:4E10qEzOmTIVmrg6Wz2RHj,Bengü,Saygımdan,DOĞAN MÜZİK YAPIM,1689779,14,49,TUR,2025-01-30,4E10qEzOmTIVmrg6Wz2RHj,71,271210,False,turkish pop,2014-10-17,https://i.scdn.co/image/ab67616d0000b27397ad00a32edde479dfa03c8b,https://i.scdn.co/image/ab6761610000e5ebd28236ed079df4e207b0eeb7
17,spotify:track:5M6QrHGDWdWhyq7hVz3zR8,Derya Bedavacı,Seni Seven Kimdi,SONY MUSIC TURKEY,1668898,6,11,TUR,2025-01-30,5M6QrHGDWdWhyq7hVz3zR8,72,240642,False,arabesque,2024-11-14,https://i.scdn.co/image/ab67616d0000b27387fb8bb6b1d7c1020d345e7d,https://i.scdn.co/image/ab6761610000e5eb10825fe72ad5c6f60a08f611
18,spotify:track:57w7FOfLpXZ9GWlAooYrSK,Canbay & Wolker,Düşmez Kalkmaz,Canbay & Wolker,1605189,10,22,TUR,2025-01-30,57w7FOfLpXZ9GWlAooYrSK,72,155689,False,turkish hip hop,2024-08-23,https://i.scdn.co/image/ab67616d0000b273bd18be70bed43633c15476f0,https://i.scdn.co/image/ab6761610000e5eb44adc1b21d4ba78b217140dd
19,spotify:track:43Kpm3kz8904r3DCvrCx5h,Funda Arar,Bağışla,Bomonti Müzik,1597104,19,5,TUR,2025-01-30,43Kpm3kz8904r3DCvrCx5h,68,217324,False,turkish pop,2015-08-07,https://i.scdn.co/image/ab67616d0000b273ebd5aa4181974e7ed3bbebb3,https://i.scdn.co/image/ab6761610000e5eb0844c3dc805daa50a8986d9d
20,spotify:track:4gqiqccm2NNQcdIUkEDEiM,Ben Fero,BİTMİYOR,Ben Fero,1569946,20,5,TUR,2025-01-30,4gqiqccm2NNQcdIUkEDEiM,68,204631,True,turkish hip hop,2023-06-23,https://i.scdn.co/image/ab67616d0000b273a1e97ac4843eb8ac06644837,https://i.scdn.co/image/ab6761610000e5ebd6ce36a01e255383dbcc4a86
21,spotify:track:2X4NUYZN0ylbM41ADKYv1X,BLOK3,GELME İSTEMEM,Mundo Music,1538189,5,13,TUR,2025-01-30,2X4NUYZN0ylbM41ADKYv1X,72,186562,False,turkish hip hop,2024-11-01,https://i.scdn.co/image/ab67616d0000b273e5d14853d53bf463763334cd,https://i.scdn.co/image/ab6761610000e5eb11cae6b8ecd0f98d170027dd
22,spotify:track:0d8IQRHUFPOXsAVOPfDSgp,"Era7capone, NASTEISHA",İNTİHAR,Lais Records,1498298,3,33,TUR,2025-01-30,0d8IQRHUFPOXsAVOPfDSgp,67,128000,False,turkish hip hop,2024-09-13,https://i.scdn.co/image/ab67616d0000b2731cd58c1770809dc469a90168,https://i.scdn.co/image/ab6761610000e5eb9bddd8c446856a91e37e397c
23,spotify:track:3ZwRkdnTb4az8X5n4WXuHA,BLOK3,aklına ben gelicem,Mundo Music,1428574,1,71,TUR,2025-01-30,3ZwRkdnTb4az8X5n4WXuHA,71,149406,False,turkish hip hop,2023-09-22,https://i.scdn.co/image/ab67616d0000b2737a63255a1952dbb456bf3b9a,https://i.scdn.co/image/ab6761610000e5eb11cae6b8ecd0f98d170027dd
24,spotify:track:5VykLQtjCYF6qFq59HbUg9,Dedublüman,Sen Bilmezsin,Hypers,1423613,6,46,TUR,2025-01-30,5VykLQtjCYF6qFq59HbUg9,73,173307,False,arabesque,2024-03-15,https://i.scdn.co/image/ab67616d0000b273b428d70d3d9e11a61101b10d,https://i.scdn.co/image/ab6761610000e5eb01c788a11415f322aa46e1b9
25,spotify:track:4MsNwPBADIfVpQ9ZmXNc7B,"Bengü, Mustafa Ceceli",Kervan,BNG MÜZİK,1417477,25,2,TUR,2025-01-30,4MsNwPBADIfVpQ9ZmXNc7B,67,154631,False,turkish pop,2025-01-17,https://i.scdn.co/image/ab67616d0000b273358a32dda8932c226aff8dd7,https://i.scdn.co/image/ab6761610000e5ebd28236ed079df4e207b0eeb7
26,spotify:track:7wZRlmI91BOt7JF7rMOrej,Kubilay Karça,Ayaza Serdim,Wovie,1413770,26,1,TUR,2025-01-30,7wZRlmI91BOt7JF7rMOrej,65,218250,False,turkish hip hop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273824f05bccea67f58616ce796,https://i.scdn.co/image/ab6761610000e5eb14e0b99a2fcda8a8b5d7b310
27,spotify:track:65txmqjijZoGYs1irX6tBU,Ati242,Her Nerdeysen,SST,1382315,27,16,TUR,2025-01-30,65txmqjijZoGYs1irX6tBU,70,149626,True,turkish hip hop,2024-10-11,https://i.scdn.co/image/ab67616d0000b27379dbe6c33d218de4aa59223b,https://i.scdn.co/image/ab6761610000e5ebc3a595cff718a1b928d0a1d8
28,spotify:track:4HuB9A0O1XwmwTVtTgODm8,Ati242,25,PMC,1336028,12,141,TUR,2025-01-30,4HuB9A0O1XwmwTVtTgODm8,72,210044,False,turkish hip hop,2022-05-13,https://i.scdn.co/image/ab67616d0000b27308caa6d45ef97ce44edf1189,https://i.scdn.co/image/ab6761610000e5ebc3a595cff718a1b928d0a1d8
29,spotify:track:7zTNMaXRLjiQwi8rRlvReb,"ERAY067, Mansur, Organize, Batuflex",BRAPAP,CULTURE,1315514,29,1,TUR,2025-01-30,7zTNMaXRLjiQwi8rRlvReb,64,143040,True,turkish hip hop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273d4ac8e8016c8ab6e1885c137,https://i.scdn.co/image/ab6761610000e5ebd185716bb1b3edf6a43cf5ee
30,spotify:track:4SCe7B8JmbXrrSxphhddPo,Wegh,Güldüğün Gün,Mamba Music,1284299,15,3,TUR,2025-01-30,4SCe7B8JmbXrrSxphhddPo,69,168774,False,turkish hip hop,2025-01-10,https://i.scdn.co/image/ab67616d0000b2735d2d9e9fc6074cda61c86dd1,https://i.scdn.co/image/ab6761610000e5ebe257cba001ebc056232aa870
31,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1284264,29,19,TUR,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
32,spotify:track:3r4JGqyBhcIpOKRQLYjD5C,Şebnem Ferah,Mayın Tarlası,PASAJ,1252609,22,14,TUR,2025-01-30,3r4JGqyBhcIpOKRQLYjD5C,70,323407,False,anatolian rock,2013-01-01,https://i.scdn.co/image/ab67616d0000b273997c12a33956390df8ecd1f9,https://i.scdn.co/image/ab6761610000e5ebe3c728daf2ff8af8a518239b
33,spotify:track:3FkWbO7xBYS3a0MJHN6XlV,Soner Sarıkabadayı,Mevzu Derin,PDND Müzik Prod.,1246101,16,11,TUR,2025-01-30,3FkWbO7xBYS3a0MJHN6XlV,71,209866,False,turkish pop,2024-11-01,https://i.scdn.co/image/ab67616d0000b273d267467be7584338d0bff081,https://i.scdn.co/image/ab6761610000e5eb33ee3413d4ab8943d31185e6
34,spotify:track:4mwKj8jNSq8eTp3ylpcBAE,Nazan Öncel,Beni Hatırla,Nazan Öncel,1223074,15,30,TUR,2025-01-30,4mwKj8jNSq8eTp3ylpcBAE,70,312000,False,turkish pop,2003-09-24,https://i.scdn.co/image/ab67616d0000b2730b82bbdfde15d431b6140034,https://i.scdn.co/image/ab6761610000e5eb306c6a4dcffbbf4987d30557
35,spotify:track:4sVIEO6DXqoGakHuixuPad,Mansur Ark,Silinmez,SEYHAN MÜZİK PROD.,1211603,9,11,TUR,2025-01-30,4sVIEO6DXqoGakHuixuPad,70,247733,False,turkish pop,2004-06-11,https://i.scdn.co/image/ab67616d0000b27383f5e9e4c63ab2c51444107f,https://i.scdn.co/image/ab67616d0000b27383f5e9e4c63ab2c51444107f
36,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1170505,23,15,TUR,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
37,spotify:track:7JVUP1J9urt49OdiFbWGeZ,BLOK3,ESC*BAR,Mundo Music,1158306,4,30,TUR,2025-01-30,7JVUP1J9urt49OdiFbWGeZ,68,136039,True,turkish hip hop,2024-09-13,https://i.scdn.co/image/ab67616d0000b2738f9028a4726d40fb8c8e0b44,https://i.scdn.co/image/ab6761610000e5eb11cae6b8ecd0f98d170027dd
38,spotify:track:6hCHw8elq1VAKPKeBConpJ,Ahiyan,Doldum,Ahiyan Music,1148001,2,9,TUR,2025-01-30,6hCHw8elq1VAKPKeBConpJ,59,146718,True,turkish hip hop,2025-01-03,https://i.scdn.co/image/ab67616d0000b2736006e4e8dbdca6fe87438347,https://i.scdn.co/image/ab6761610000e5ebb7af3040467d85fdd794e1e6
