rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:2EVJSQTl0bqHISNlJbhNIc,"Anton Westerlin, Annika",Blodigt (feat. Annika),Universal Music A/S,875620,1,1,DNK,2025-01-30,2EVJSQTl0bqHISNlJbhNIc,62,182608,True,dansktop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273cd0aca9571e086077e9849d8,https://i.scdn.co/image/ab6761610000e5ebadb65d93bcb7ff62ccebba7b
2,spotify:track:5wmH2yEMgerF4bGh87TQZA,"Benjamin Hav, Lukas Graham",Du ligner din mor,Sony Music Entertainment,563946,1,5,DNK,2025-01-30,5wmH2yEMgerF4bGh87TQZA,64,186110,False,dansktop,2024-12-27,https://i.scdn.co/image/ab67616d0000b273db91bf6e09fdaa033fe19c7b,https://i.scdn.co/image/ab6761610000e5eb3b0b73131d3f8c0900939533
3,spotify:track:00Ma3dn1eTeuz8LYEpUXQo,"JOSVA, Artigeardit",Lonely (feat. Artigeardit),Sony Music Entertainment,486948,1,4,DNK,2025-01-30,00Ma3dn1eTeuz8LYEpUXQo,63,196090,False,dansktop,2025-01-03,https://i.scdn.co/image/ab67616d0000b2731b21d94eeb259c956b9a42d3,https://i.scdn.co/image/ab6761610000e5eb141598f569f34080d2fe0ce8
4,spotify:track:7px3lmdf4nzNEMt6zaQ5yJ,"Marstein, Annika",SAMMEN,Universal Music AS,457829,1,14,DNK,2025-01-30,7px3lmdf4nzNEMt6zaQ5yJ,69,178280,True,norwegian rap,2024-10-25,https://i.scdn.co/image/ab67616d0000b27312b3c552fa4643026021b26a,https://i.scdn.co/image/ab6761610000e5ebf5de53966ce9e836f1b2633f
5,spotify:track:4GZt2BpQpWhkEAgmfUrQOu,Annika,Luk Mig Ind,Universal Music A/S,447647,3,9,DNK,2025-01-30,4GZt2BpQpWhkEAgmfUrQOu,65,197706,False,dansktop,2024-11-29,https://i.scdn.co/image/ab67616d0000b2732c15a900c296d04195eeed9a,https://i.scdn.co/image/ab6761610000e5eb979f60f8c82095f22889163b
6,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,384463,4,24,DNK,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
7,spotify:track:2ZwOtQXG5k1M7gHmTmTMgw,"MAS, Lamin, Kundo",Småting (feat. Lamin & Kundo),Universal Music A/S,355558,5,2,DNK,2025-01-30,2ZwOtQXG5k1M7gHmTmTMgw,59,184264,False,dansktop,2025-01-17,https://i.scdn.co/image/ab67616d0000b273705c56371817e432601f9a21,https://i.scdn.co/image/ab6761610000e5eb4482f36929e6935e3b67eb65
8,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,346779,7,15,DNK,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
9,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,340565,6,9,DNK,2025-01-30,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
10,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",307755,7,15,DNK,2025-01-30,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
