rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,4926625,1,4,ESP,2025-01-30,3sK8wGT43QFpWrvNQsrQya,98,237117,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
2,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,4814491,2,4,ESP,2025-01-30,5TFD2bmFKGhoCRbX61nXY5,95,183685,False,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
3,spotify:track:4DnrAI8WyUY6gkOwl8GlPN,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,4429685,1,9,ESP,2025-01-30,4DnrAI8WyUY6gkOwl8GlPN,82,173858,False,,2024-12-24,https://i.scdn.co/image/ab67616d0000b27337c409dba468fb02bfd1f71f,https://i.scdn.co/image/ab6761610000e5eb43ce88c0c0a38f7279ff6c43
4,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,4025816,3,4,ESP,2025-01-30,2lTm559tuIvatlT1u0JYG2,96,367725,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
5,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,3974200,3,4,ESP,2025-01-30,7d6yK8v8J484SWH5prIQiE,92,235336,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
6,spotify:track:1gRaHuKLW9Uo9qYkb7MvGP,"Bad Gyal, Trueno",Angelito,Interscope Records / Universal Music Latino,3961167,6,2,ESP,2025-01-30,1gRaHuKLW9Uo9qYkb7MvGP,79,130813,False,neoperreo,2025-01-16,https://i.scdn.co/image/ab67616d0000b273ffda0d029448adc1222152d7,https://i.scdn.co/image/ab6761610000e5eb839b881dfb18d4b260e88064
7,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,3508434,4,4,ESP,2025-01-30,59D4DOkspUbWyMmbAPQkxZ,93,156364,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
8,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",Mi Refe,5020 Records,3299191,7,7,ESP,2025-01-30,7ricDBUakN3N0YkkKE8Obu,86,159404,False,reggaeton,2024-12-05,https://i.scdn.co/image/ab67616d0000b2733a75477f9677120e20457cbe,https://i.scdn.co/image/ab6761610000e5eb3a404fc0649794f02c02524d
9,spotify:track:7DiNJqM6uyiYqqWX1wsqxG,Yapi,DONDE TE ESCONDES?,Yapi,2767831,9,2,ESP,2025-01-30,7DiNJqM6uyiYqqWX1wsqxG,72,134870,False,,2025-01-16,https://i.scdn.co/image/ab67616d0000b273e80f7b5ce49d30204faa5d3a,https://i.scdn.co/image/ab6761610000e5eb6d48cd18310674a1c11d24c3
10,spotify:track:6TT5rB0Rwneb6ZaopHQir4,"Alleh, Yorghaki",el ingeniero,CONMUER LLC,2519296,10,5,ESP,2025-01-30,6TT5rB0Rwneb6ZaopHQir4,80,146857,False,,2024-12-24,https://i.scdn.co/image/ab67616d0000b27337c409dba468fb02bfd1f71f,https://i.scdn.co/image/ab6761610000e5eb43ce88c0c0a38f7279ff6c43
11,spotify:track:1yNYyCDT267YVxs5qSmnYZ,"Rvfv, Morad, Rels B",Corazón Puro,NASTU MUSIC,2510587,11,1,ESP,2025-01-30,1yNYyCDT267YVxs5qSmnYZ,74,226285,False,flamenco urbano,2025-01-24,https://i.scdn.co/image/ab67616d0000b273385a6c73f379ecbf69161bdc,https://i.scdn.co/image/ab6761610000e5ebf3af35fdc6f96276ff870cd1
