rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:728CCaVme0Ppv8zrG9caYE,Ares,Menestys on paras tapa kostaa,WM Finland,937967,1,4,FIN,2025-01-30,728CCaVme0Ppv8zrG9caYE,56,165484,True,finnish hip hop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273590fc729a6406493b0d287d3,https://i.scdn.co/image/ab6761610000e5ebe115784cf5e4ab48da24d06e
2,spotify:track:3P1pM5vlWSugzuBlVKRZjG,"Ares, Bizi",T-paita (feat. Bizi),WM Finland,768695,2,1,FIN,2025-01-30,3P1pM5vlWSugzuBlVKRZjG,61,154728,False,finnish hip hop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273590fc729a6406493b0d287d3,https://i.scdn.co/image/ab6761610000e5ebe115784cf5e4ab48da24d06e
3,spotify:track:3YxP03ZZuWO31SoE0uigI3,Ares,Ɐ,WM Finland,406952,3,1,FIN,2025-01-30,3YxP03ZZuWO31SoE0uigI3,56,200453,True,finnish hip hop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273590fc729a6406493b0d287d3,https://i.scdn.co/image/ab6761610000e5ebe115784cf5e4ab48da24d06e
4,spotify:track:52NFoPnzxOKPIcJIQ9mb5Q,Erika Vikman,ICH KOMME,WM Finland,392638,2,2,FIN,2025-01-30,52NFoPnzxOKPIcJIQ9mb5Q,62,180314,False,finnish pop,2025-01-16,https://i.scdn.co/image/ab67616d0000b27307725a88368174ee92ca62e4,https://i.scdn.co/image/ab6761610000e5eb2494a3badb6078caa59ba946
5,spotify:track:7fdNCtxfZArtOZK3hLqqm3,Turisti,Taikuri,WM Finland,386916,1,19,FIN,2025-01-30,7fdNCtxfZArtOZK3hLqqm3,63,176788,True,finnish hip hop,2024-09-20,https://i.scdn.co/image/ab67616d0000b27388657a92c488f4b5bd011937,https://i.scdn.co/image/ab6761610000e5eb6389afb655e40c629b609213
6,spotify:track:0uBQFamFpphOS27wIXPeiT,VIIVI,Aina,WM Finland,381374,3,3,FIN,2025-01-30,0uBQFamFpphOS27wIXPeiT,61,182883,False,finnish pop,2025-01-13,https://i.scdn.co/image/ab67616d0000b273bbf7706e643153d43a98340d,https://i.scdn.co/image/ab6761610000e5ebc05050e98d4aa80e8139f1ba
7,spotify:track:56gErvTUBhx82XqEauET28,Nelli Matula,Hitaammin hautaan,Universal Music Oy,376331,2,3,FIN,2025-01-30,56gErvTUBhx82XqEauET28,62,178457,False,finnish pop,2025-01-09,https://i.scdn.co/image/ab67616d0000b273b07f5b581543aa9ded73869b,https://i.scdn.co/image/ab6761610000e5eb0f8cd651a63497d991acc18e
8,spotify:track:6OKQ4Zca1qPutoAP70WDJY,kia,bändipaita,WM Finland,373920,8,1,FIN,2025-01-30,6OKQ4Zca1qPutoAP70WDJY,56,166093,False,finnish pop,2025-01-24,https://i.scdn.co/image/ab67616d0000b2737075c57310b2fd66238abc42,https://i.scdn.co/image/ab6761610000e5ebf3f34fd18ef7a131b54bb23c
9,spotify:track:6zLzNEyVqtyZoohE75maSy,Averagekidluke,Diva,WM Finland,358064,1,11,FIN,2025-01-30,6zLzNEyVqtyZoohE75maSy,63,151500,False,finnish hip hop,2024-11-15,https://i.scdn.co/image/ab67616d0000b273043d0ad2a8dac04cf8f3c576,https://i.scdn.co/image/ab6761610000e5eb7a2e224dbe4de72b4f971f05
10,spotify:track:5CbkZJipjT198pDW8v3k2u,"Ares, Averagekidluke, Turisti",Iha miten vaa,WM Finland,336868,2,14,FIN,2025-01-30,5CbkZJipjT198pDW8v3k2u,50,196837,True,finnish hip hop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273590fc729a6406493b0d287d3,https://i.scdn.co/image/ab6761610000e5ebe115784cf5e4ab48da24d06e
11,spotify:track:17MJxFMzJkmy1f9m1ubTS3,costee,Sekaisin,WM Finland,317542,5,3,FIN,2025-01-30,17MJxFMzJkmy1f9m1ubTS3,60,163798,False,finnish hip hop,2025-01-12,https://i.scdn.co/image/ab67616d0000b27345183d545912a92d11750fac,https://i.scdn.co/image/ab6761610000e5eb0d46e8e15cae39c3f7421ff7
12,spotify:track:4d4jaU4L2WiA4m181RaaWG,"william, Isac Elliot",Anteeks,WM Finland,314402,2,9,FIN,2025-01-30,4d4jaU4L2WiA4m181RaaWG,62,193131,False,finnish hip hop,2024-11-29,https://i.scdn.co/image/ab67616d0000b2739c0c11949f55ced9c2c73ca7,https://i.scdn.co/image/ab6761610000e5ebb4d1d9a6985e8b3e3bf2aa82
13,spotify:track:4n6PzDyWGkjAVRl74aR8Pb,"Sliki, Turisti",Ne oli vääräs (feat. Turisti),Sony Music Entertainment Finland,275210,5,12,FIN,2025-01-30,4n6PzDyWGkjAVRl74aR8Pb,60,170021,False,finnish hip hop,2024-11-08,https://i.scdn.co/image/ab67616d0000b27312d3e9a26020dc5144eaec4d,https://i.scdn.co/image/ab6761610000e5eb70c485aa36e7ba4e1e1e5371
14,spotify:track:7pas0lEEhW9FpmWkDJ260C,Bizi,Päivä joka meidät pilaa,PME Records,261848,14,2,FIN,2025-01-30,7pas0lEEhW9FpmWkDJ260C,56,207796,False,finnish hip hop,2025-01-17,https://i.scdn.co/image/ab67616d0000b273b7265ccae6476215bf1903a4,https://i.scdn.co/image/ab6761610000e5eb0b5c227a249727aae2210822
15,spotify:track:62fvSFu3kdDzTd0z5LQcnX,JVG,"Tili tuli, tili meni",PME Records,260985,4,3,FIN,2025-01-30,62fvSFu3kdDzTd0z5LQcnX,59,153628,False,finnish hip hop,2025-01-10,https://i.scdn.co/image/ab67616d0000b273055a2b43d3b487cf5b6d777a,https://i.scdn.co/image/ab6761610000e5eb9398939a1c4df5a64253f47a
16,spotify:track:5A5sHRQoeJHzMULQGPLoOV,ibe,Marraskuu,Skorpioni,258573,1,13,FIN,2025-01-30,5A5sHRQoeJHzMULQGPLoOV,61,183789,False,finnish hip hop,2024-11-01,https://i.scdn.co/image/ab67616d0000b2731e748d5f069721bb4321989f,https://i.scdn.co/image/ab6761610000e5eb13c74eecefe98cefda68f1aa
