rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:1RiCNSkK4AfT1j8ZM4JnVs,GIMS,CIEL,Play Two,3215243,1,14,FRA,2025-01-30,1RiCNSkK4AfT1j8ZM4JnVs,72,186461,False,french pop,2024-11-21,https://i.scdn.co/image/ab67616d0000b2739265a1a942323bec65148641,https://i.scdn.co/image/ab6761610000e5eb77144f838397a467e807df65
2,spotify:track:0qlYaRFGvgR6afy1f4BBwD,Gazo,NANANI NANANA,BSB PROD,2420720,1,9,FRA,2025-01-30,0qlYaRFGvgR6afy1f4BBwD,79,217693,True,drill,2024-11-29,https://i.scdn.co/image/ab67616d0000b273dfc950ea8ef5cf436cf1c6d4,https://i.scdn.co/image/ab6761610000e5eb6a7ea12619c2e6170e8fee77
3,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,2381520,2,3,FRA,2025-01-30,3sK8wGT43QFpWrvNQsrQya,98,237117,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
4,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,2200909,4,15,FRA,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
5,spotify:track:0yyFAbTlOk7DFhh6RSug9S,GIMS,SOIS PAS TIMIDE,Play Two,2191572,1,28,FRA,2025-01-30,0yyFAbTlOk7DFhh6RSug9S,74,165978,False,french pop,2024-09-13,https://i.scdn.co/image/ab67616d0000b27329393fc9cf92d10b86676297,https://i.scdn.co/image/ab6761610000e5eb77144f838397a467e807df65
6,spotify:track:1y7dY7Xu4nWM4SK2dEnoAT,"Damso, Kalash",Alpha,Trente-quatre centimes,1930593,1,11,FRA,2025-01-30,1y7dY7Xu4nWM4SK2dEnoAT,71,168000,True,pop urbaine,2024-11-15,https://i.scdn.co/image/ab67616d0000b2733352f7a33f9f676b1889240b,https://i.scdn.co/image/ab6761610000e5eb2c7ede97239d20260baa9cdc
7,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1862564,6,24,FRA,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
8,spotify:track:7dzuYJwwtNnfcptmbD58aJ,Joé Dwèt Filé,4 Kampé,Play Two,1842074,6,14,FRA,2025-01-30,7dzuYJwwtNnfcptmbD58aJ,77,214971,True,zouk,2024-10-25,https://i.scdn.co/image/ab67616d0000b273813dacdd5d40ab892a2f0abc,https://i.scdn.co/image/ab6761610000e5ebf2a0b8a7609126c3798a741b
9,spotify:track:1Mzg6bu3hkCwJKEf7v49MN,SDM,CARTIER SANTOS,Universal Music Division Capitol Music France,1805749,1,18,FRA,2025-01-30,1Mzg6bu3hkCwJKEf7v49MN,76,183813,True,pop urbaine,2024-09-26,https://i.scdn.co/image/ab67616d0000b27370f8508745ea2e7fff2f510f,https://i.scdn.co/image/ab6761610000e5ebcef13995942c7a300df73050
10,spotify:track:4mNttG8qiVh4BKrMUrUhCI,Dr. Yaro,Minimum ça,ELEVA,1577767,5,21,FRA,2025-01-30,4mNttG8qiVh4BKrMUrUhCI,75,149811,False,pop urbaine,2024-08-09,https://i.scdn.co/image/ab67616d0000b273d39b05d217190ce3b8dece9b,https://i.scdn.co/image/ab6761610000e5eb8401507f0091a97072d4f19b
11,spotify:track:6BPcUXYERAahpunmb0AovH,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,1542496,1,10,FRA,2025-01-30,6BPcUXYERAahpunmb0AovH,48,147973,False,,2024-11-23,https://i.scdn.co/image/ab67616d0000b273952d1767885a9f1ae6dcf0b0,https://i.scdn.co/image/ab6761610000e5eba056b2ecc1a70ab57cdcc10b
12,spotify:track:7ifFhxRIvYbe4IuzIkY2Qi,Bouss,Ça parle mal,Le Grand Carré / Level Up Music,1509826,3,22,FRA,2025-01-30,7ifFhxRIvYbe4IuzIkY2Qi,74,176248,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b273a1725d8b0c1af59e2ae1ba3a,https://i.scdn.co/image/ab6761610000e5eb5b670852e5521d3284faf58f
13,spotify:track:5NWpquAje6NyvxD57oXNu6,"GIMS, DYSTINCT",SPIDER,Play Two,1461280,1,38,FRA,2025-01-30,5NWpquAje6NyvxD57oXNu6,74,188818,False,french pop,2024-09-13,https://i.scdn.co/image/ab67616d0000b27329393fc9cf92d10b86676297,https://i.scdn.co/image/ab6761610000e5eb77144f838397a467e807df65
14,spotify:track:2UntklImLREdP8pMAzr4c4,"Rim'K, SDM",Run,MB,1335781,14,3,FRA,2025-01-30,2UntklImLREdP8pMAzr4c4,70,179253,False,pop urbaine,2025-01-06,https://i.scdn.co/image/ab67616d0000b273d12156e0477ee2057cbfb0df,https://i.scdn.co/image/ab6761610000e5ebde56d7eb17400cb63918cd01
15,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,1331419,15,7,FRA,2025-01-30,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
16,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1325173,13,3,FRA,2025-01-30,5TFD2bmFKGhoCRbX61nXY5,95,183685,False,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
17,spotify:track:5jX61gvbNenSDMldQrbtsU,SDM,POUR ELLE,Universal Music Division Capitol Music France,1308644,1,18,FRA,2025-01-30,5jX61gvbNenSDMldQrbtsU,74,179034,True,pop urbaine,2024-09-26,https://i.scdn.co/image/ab67616d0000b27370f8508745ea2e7fff2f510f,https://i.scdn.co/image/ab6761610000e5ebcef13995942c7a300df73050
18,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1203027,17,31,FRA,2025-01-30,6WatFBLVB0x077xWeoVc2k,91,195824,False,reggaeton,2024-06-21,https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec
19,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1169716,13,37,FRA,2025-01-30,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
20,spotify:track:5cAzaNbU7AEgfsJgL9sbtX,Linh,Je pense à vous,Jo&Co / Black Star Music,1158545,20,10,FRA,2025-01-30,5cAzaNbU7AEgfsJgL9sbtX,68,172263,False,french pop,2024-03-01,https://i.scdn.co/image/ab67616d0000b273ea83245c1c8b11dd23de555d,https://i.scdn.co/image/ab6761610000e5eb57b5f5769896bbbd4d784ae9
21,spotify:track:7eqwODSSwRSniktCjCXZyW,"Theodora, Jeez Suave",KONGOLESE SOUS BBL,Maison Neptune X NBFD,1139796,10,13,FRA,2025-01-30,7eqwODSSwRSniktCjCXZyW,66,164234,True,,2024-11-01,https://i.scdn.co/image/ab67616d0000b273914a47c2fae7a4b4893eb34d,https://i.scdn.co/image/ab6761610000e5eb82f18c900e9161e3c95d1306
22,spotify:track:3Byu179ofnuChb4zF1fMhu,Werenoi,Pétunias,AllPoints,1110956,8,17,FRA,2025-01-30,3Byu179ofnuChb4zF1fMhu,67,210247,True,,2024-02-16,https://i.scdn.co/image/ab67616d0000b27315a77fc58cab8c163a1b7509,https://i.scdn.co/image/ab6761610000e5ebf7848be605333f3e1a3a8031
23,spotify:track:1GiJNHhNGReHSeHbkU02DX,"SKUNK, Tiitof, Leto",Mwen An Sa,Elektra France,1105857,23,3,FRA,2025-01-30,1GiJNHhNGReHSeHbkU02DX,68,179823,True,,2025-01-10,https://i.scdn.co/image/ab67616d0000b2737406d9bcdfaadb9f11344522,https://i.scdn.co/image/ab6761610000e5eb047c81c2702da60640dfff81
24,spotify:track:32cwemsMJdzzsOYjVzfYMS,Helena,Mauvais Garçon,RCA Group,1105377,21,10,FRA,2025-01-30,32cwemsMJdzzsOYjVzfYMS,71,162706,False,variété française,2024-11-20,https://i.scdn.co/image/ab67616d0000b2731ad45d8cc9f48fc3c2dcae5d,https://i.scdn.co/image/ab6761610000e5eb14d49d06be54160490ecfa7b
25,spotify:track:6hKkzk8UlVUj9ioPCyeH1O,Jul,Sous la lune,D'Or et de Platine,1086677,3,21,FRA,2025-01-30,6hKkzk8UlVUj9ioPCyeH1O,73,171000,True,pop urbaine,2019-06-28,https://i.scdn.co/image/ab67616d0000b2733c505b5ddcbdf80c7dff5a1f,https://i.scdn.co/image/ab6761610000e5eb043c7633712d706c54b625e6
26,spotify:track:338wPdNyvOPGZddfk81EKA,"Soolking, GIMS",CARRÉ OK,Universal Music MENA Distributed Labels,1079504,24,7,FRA,2025-01-30,338wPdNyvOPGZddfk81EKA,72,160628,False,pop urbaine,2024-12-12,https://i.scdn.co/image/ab67616d0000b273dd2e091b62b57785457df2a6,https://i.scdn.co/image/ab6761610000e5eba0be3f7b3047d01434e03dae
27,spotify:track:6P3HLPsc5pWu3sZYxL0S9N,SANTA,Recommence-moi,999 Productions / Parlophone,1023853,16,40,FRA,2025-01-30,6P3HLPsc5pWu3sZYxL0S9N,71,196334,False,variété française,2024-05-24,https://i.scdn.co/image/ab67616d0000b2738ec1d323eca7c1d48390eb9a,https://i.scdn.co/image/ab6761610000e5eb7081731d491aed7c708001f8
28,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1020656,19,13,FRA,2025-01-30,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
29,spotify:track:5SLs7GOdSvWhbxxJkTqf2u,"Ninho, Niska",Collabo,Jefe Productions / Charo Inc / WMF / UMF,1013400,10,14,FRA,2025-01-30,5SLs7GOdSvWhbxxJkTqf2u,71,174153,True,pop urbaine,2024-10-25,https://i.scdn.co/image/ab67616d0000b273d30660d949dfac1116226d0f,https://i.scdn.co/image/ab6761610000e5eb791b1ecfe6f3101115430fb5
