rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,3300863,1,3,ITA,2025-01-30,3sK8wGT43QFpWrvNQsrQya,98,237117,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
2,spotify:track:420QMNPnHsbAqkkxBt2ifJ,"RRARI DAL TACCO, Kid Yugi",BIANCA (feat. Kid Yugi),Universal Music Italia srL.,3062122,2,1,ITA,2025-01-30,420QMNPnHsbAqkkxBt2ifJ,71,160282,True,italian trap,2025-01-24,https://i.scdn.co/image/ab67616d0000b27336ff99bfba10652bcbbc936e,https://i.scdn.co/image/ab6761610000e5eb496841b5f46092d494744428
3,spotify:track:7LjhTVncMxoH9X6KMWECgq,"Papa V, Nerissima Serpe, Shiva, Night Skinny, Fritu",Wop Wop (feat. Shiva),UNIKAL,2121728,2,2,ITA,2025-01-30,7LjhTVncMxoH9X6KMWECgq,71,183000,True,italian trap,2025-01-17,https://i.scdn.co/image/ab67616d0000b273b5136f3c84b7fb6e5c386c5c,https://i.scdn.co/image/ab6761610000e5eb71a16a2f9fe4b560645ed99c
4,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,2052600,3,4,ITA,2025-01-30,5TFD2bmFKGhoCRbX61nXY5,95,183685,False,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
5,spotify:track:6cGhVnQAJRxGVsltCU06vF,Guè,Vibe,Universal Music Italia srL.,1896130,5,3,ITA,2025-01-30,6cGhVnQAJRxGVsltCU06vF,72,151586,True,italian trap,2025-01-10,https://i.scdn.co/image/ab67616d0000b273542c034964ebe1acfeecf90e,https://i.scdn.co/image/ab6761610000e5eb79b1a7f5cdc2525160bfe8c9
6,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1869449,1,11,ITA,2025-01-30,41lOxc6ARYZPXpKeMWcHsD,70,217213,True,indie,2024-12-06,https://i.scdn.co/image/ab67616d0000b2734a9543f9e32d712f85f920b8,https://i.scdn.co/image/ab6761610000e5eb3b96cd66c6bf065f7b773a33
7,spotify:track:2L16IuIQgLL1HupWGN4F4t,Cesare Cremonini,Ora che non ho più te,Universal Music Italia srL.,1831200,1,19,ITA,2025-01-30,2L16IuIQgLL1HupWGN4F4t,69,303032,False,italian singer-songwriter,2024-11-28,https://i.scdn.co/image/ab67616d0000b273d7c6ce324175312518a7e0ee,https://i.scdn.co/image/ab6761610000e5eb7a508bc17419cc8a4ccf4944
8,spotify:track:5MJc4IVIt17xEt6angtZcq,Lazza,BUIO DAVANTI,Universal Music Italia srL.,1816020,8,19,ITA,2025-01-30,5MJc4IVIt17xEt6angtZcq,73,189642,True,italian trap,2024-11-26,https://i.scdn.co/image/ab67616d0000b27390d7f08f5345410e0efff330,https://i.scdn.co/image/ab6761610000e5eba6fa9c526ac155d3dc888c25
9,spotify:track:4X4R6qsIicxIQIFbnDcJLO,"Olly, JVLI",Scarabocchi,Epic,1774906,4,14,ITA,2025-01-30,4X4R6qsIicxIQIFbnDcJLO,74,180137,False,,2024-10-25,https://i.scdn.co/image/ab67616d0000b2731e252362775c20ee98f6d3e1,https://i.scdn.co/image/ab6761610000e5eb6c7db3b0e15aa6275bd35319
10,spotify:track:5IVog5NE9Ccw4cLrOqXSUG,"Paky, Simba La Rue",Gangsta Shit (feat. Simba La Rue),Warner Music,1671704,10,2,ITA,2025-01-30,5IVog5NE9Ccw4cLrOqXSUG,69,196768,True,italian trap,2025-01-17,https://i.scdn.co/image/ab67616d0000b273a291abb5b75d415576880803,https://i.scdn.co/image/ab6761610000e5eba4f0c2a3a439d248a46a264a
11,spotify:track:50uGP4Bs22S1iPNn1hTo3R,"Papa V, Nerissima Serpe, Fritu",A Lei,UNIKAL,1639366,11,2,ITA,2025-01-30,50uGP4Bs22S1iPNn1hTo3R,69,185343,False,italian trap,2025-01-17,https://i.scdn.co/image/ab67616d0000b273b5136f3c84b7fb6e5c386c5c,https://i.scdn.co/image/ab6761610000e5eb71a16a2f9fe4b560645ed99c
12,spotify:track:2DkiFEQ1ihXcYKaIRsfGFp,Marracash,LEI,Universal Music Italia srL.,1629601,1,7,ITA,2025-01-30,2DkiFEQ1ihXcYKaIRsfGFp,74,223009,True,italian trap,2024-12-13,https://i.scdn.co/image/ab67616d0000b273210484981a7d3ec04f5958b0,https://i.scdn.co/image/ab6761610000e5eb4bfa622806527d4dd894185a
13,spotify:track:00URgxWgyVoybGLhhmKr7g,"Baby Gang, Omega, Higashi, Roberto Ferrante",Tu Me Quieres - Prod. by Higashi x Roberto Ferrante,Baby Gang / Planet Records [Powered by Planet Distribution],1608949,10,20,ITA,2025-01-30,00URgxWgyVoybGLhhmKr7g,74,214285,False,italian trap,2024-09-13,https://i.scdn.co/image/ab67616d0000b27368e6fd0de7257e4070e6851c,https://i.scdn.co/image/ab6761610000e5ebd6b991e24b3ea8703cc8c1af
14,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,1599110,2,15,ITA,2025-01-30,1QcmAp6Ev2HuYxKujUwnw0,68,187403,False,,2024-02-16,https://i.scdn.co/image/ab67616d0000b2739f2cfcf2a073a18611a9d2f9,https://i.scdn.co/image/ab6761610000e5ebd1ff55547e01b78b108f933b
15,spotify:track:6Ajvu1afirjocbZK934qqh,"Simba La Rue, Tony Boy, FT Kings",AYAHUASCA (feat. Tony Boy),Warner Music,1529116,1,4,ITA,2025-01-30,6Ajvu1afirjocbZK934qqh,73,187650,True,italian trap,2025-01-03,https://i.scdn.co/image/ab67616d0000b273c423a98646cc3afeed8e5a50,https://i.scdn.co/image/ab6761610000e5eb09094dfccb6bcb4a6717a044
16,spotify:track:5nFyfjGy6AMZqkW0OMUWJJ,"Olly, Angelina Mango, JVLI",Per due come noi,Epic,1529080,1,21,ITA,2025-01-30,5nFyfjGy6AMZqkW0OMUWJJ,68,212853,False,,2024-10-25,https://i.scdn.co/image/ab67616d0000b2731e252362775c20ee98f6d3e1,https://i.scdn.co/image/ab6761610000e5eb6c7db3b0e15aa6275bd35319
17,spotify:track:4MtjrbmBKdYRMTyEHqOUmM,Marracash,GLI SBANDATI HANNO PERSO,Universal Music Italia srL.,1512490,2,7,ITA,2025-01-30,4MtjrbmBKdYRMTyEHqOUmM,73,194210,True,italian trap,2024-12-13,https://i.scdn.co/image/ab67616d0000b273210484981a7d3ec04f5958b0,https://i.scdn.co/image/ab6761610000e5eb4bfa622806527d4dd894185a
18,spotify:track:62OO2X47vPk5WxTx68HDqg,"Artie 5ive, Niky Savage",BAMBOLA (feat. Niky Savage),Warner Music,1397586,2,7,ITA,2025-01-30,62OO2X47vPk5WxTx68HDqg,73,194693,True,italian trap,2024-12-13,https://i.scdn.co/image/ab67616d0000b273a16c65e1b6cb6060668af034,https://i.scdn.co/image/ab6761610000e5eb0f7c79b865c0e466a39cc654
19,spotify:track:1u9C89v58yfZkMgFe7rBS1,"Papa V, Nerissima Serpe, Fritu",Tip Tap,UNIKAL,1389637,3,9,ITA,2025-01-30,1u9C89v58yfZkMgFe7rBS1,63,129795,False,italian trap,2025-01-17,https://i.scdn.co/image/ab67616d0000b273b5136f3c84b7fb6e5c386c5c,https://i.scdn.co/image/ab6761610000e5eb71a16a2f9fe4b560645ed99c
20,spotify:track:1RZQfURtYA7RYzontyWTI5,"Guè, Artie 5ive",Akrapovič (feat. Artie 5ive),Universal Music Italia srL.,1318071,4,3,ITA,2025-01-30,1RZQfURtYA7RYzontyWTI5,70,172714,True,italian trap,2025-01-10,https://i.scdn.co/image/ab67616d0000b273542c034964ebe1acfeecf90e,https://i.scdn.co/image/ab6761610000e5eb79b1a7f5cdc2525160bfe8c9
