rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:0GssNPAI7NSbi1aaThO3EX,"Kjartan Lauritzen, Hver gang vi møtes",Fanga av ein stormvind,WM Norway,563451,1,4,NOR,2025-01-30,0GssNPAI7NSbi1aaThO3EX,65,174860,False,norwegian rap,2024-12-30,https://i.scdn.co/image/ab67616d0000b273f9e8a657243594b869024bcf,https://i.scdn.co/image/ab6761610000e5eb4aae30225bff52b642e94f9e
2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,558125,2,15,NOR,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,528219,1,24,NOR,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
4,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,458320,4,9,NOR,2025-01-30,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
5,spotify:track:2miHLrDMptHROYGC3sVXnV,"Astrid S, Hver gang vi møtes",Det regner i Oslo,"Joyride, distributed by Gladstone",432010,1,5,NOR,2025-01-30,2miHLrDMptHROYGC3sVXnV,64,156461,False,norwegian pop,2024-12-30,https://i.scdn.co/image/ab67616d0000b2739f436b7eedbc772a2256b6d6,https://i.scdn.co/image/ab6761610000e5eba0afba2d87ea2c5adb0c90e3
6,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",425945,1,15,NOR,2025-01-30,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
7,spotify:track:7px3lmdf4nzNEMt6zaQ5yJ,"Marstein, Annika",SAMMEN,Universal Music AS,404064,1,14,NOR,2025-01-30,7px3lmdf4nzNEMt6zaQ5yJ,69,178280,True,norwegian rap,2024-10-25,https://i.scdn.co/image/ab67616d0000b27312b3c552fa4643026021b26a,https://i.scdn.co/image/ab6761610000e5ebf5de53966ce9e836f1b2633f
8,spotify:track:5t4O0SahpSw7pavJBwGEC5,"Kjartan Lauritzen, Hver gang vi møtes",Bygdegut (her er eg),WM Norway,399057,4,4,NOR,2025-01-30,5t4O0SahpSw7pavJBwGEC5,62,227045,False,norwegian rap,2025-01-03,https://i.scdn.co/image/ab67616d0000b2738f45e9b0190123504dd2df78,https://i.scdn.co/image/ab6761610000e5eb4aae30225bff52b642e94f9e
9,spotify:track:3ULg1vFh05UW6TPSnsgGpy,"Sandra Lyng, Carina Dahl",Jentekveld,WM Norway,398805,9,1,NOR,2025-01-30,3ULg1vFh05UW6TPSnsgGpy,57,138568,False,norwegian pop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273e5fcd462060cd75dce7f7f3c,https://i.scdn.co/image/ab6761610000e5eb286fbf03f0f069d15a9cc9bf
10,spotify:track:5KXGFjw48liIgAqTMv3jfs,"Ballinciaga, Nossan",PRTY,Universal Music AS Distributed Labels,369803,10,1,NOR,2025-01-30,5KXGFjw48liIgAqTMv3jfs,56,127200,False,russelåter,2025-01-24,https://i.scdn.co/image/ab67616d0000b27321ffeb6cd65c884a19dbf6b3,https://i.scdn.co/image/ab6761610000e5eb7fa8101289f701392246ca80
11,spotify:track:644tsD8rIbhCmxsR0pcvg4,"Astrid S, Hver gang vi møtes",Symfoni,Joyride,321854,6,4,NOR,2025-01-30,644tsD8rIbhCmxsR0pcvg4,62,209042,False,norwegian pop,2025-01-03,https://i.scdn.co/image/ab67616d0000b273fb4ebce65767825968cf2357,https://i.scdn.co/image/ab6761610000e5eba0afba2d87ea2c5adb0c90e3
12,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,306595,3,24,NOR,2025-01-30,2262bWmqomIaJXwCRHr13j,93,211978,False,,2024-07-26,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,https://i.scdn.co/image/ab6761610000e5ebe5ff5495fe99ee0fa0236087
13,spotify:track:3BntzKsnLf2pc0dsvE3Zav,Teddy Swims,Bad Dreams,Warner Records,283955,11,20,NOR,2025-01-30,3BntzKsnLf2pc0dsvE3Zav,74,184577,False,,2025-01-24,https://i.scdn.co/image/ab67616d0000b27370b88fc5a2e13bc5440d947c,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
