rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,14385460,1,4,MEX,2025-01-30,3sK8wGT43QFpWrvNQsrQya,98,237117,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
2,spotify:track:63EQbNhgaih4yg5412usWG,Neton Vega,Loco,Josa Records,13357239,2,6,MEX,2025-01-30,63EQbNhgaih4yg5412usWG,90,186521,False,corrido,2024-12-20,https://i.scdn.co/image/ab67616d0000b273c16bc1be28cd9728172a77f8,https://i.scdn.co/image/ab6761610000e5eba3870e9e7f452ee529131108
3,spotify:track:0LTwdL5yZ6YOTEGUQPFuSN,Tito Double P,ROSONES,Double P Records,12194665,1,8,MEX,2025-01-30,0LTwdL5yZ6YOTEGUQPFuSN,89,177590,True,corrido,2024-12-05,https://i.scdn.co/image/ab67616d0000b273c6d0e8bfb41e9d9cee3a1248,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
4,spotify:track:7sd6zMrgGpEa7NkQm9TRrg,Tito Double P,NADIE,Double P Records,10390839,2,10,MEX,2025-01-30,7sd6zMrgGpEa7NkQm9TRrg,88,197031,True,corrido,2024-11-21,https://i.scdn.co/image/ab67616d0000b273369bcf083996da3c3b6d1f40,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
5,spotify:track:3D24ErT1MMmUfXWotSj2A2,"Fuerza Regida, Grupo Frontera",ME JALO,Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin,8995552,5,6,MEX,2025-01-30,3D24ErT1MMmUfXWotSj2A2,87,212002,True,corrido,2024-12-19,https://i.scdn.co/image/ab67616d0000b273d4cef83f06fc615fe94aeaf5,https://i.scdn.co/image/ab6761610000e5eb7e2545f678354fc859de15f1
6,spotify:track:4OLT65TRsOx3Iv1TlCcQVb,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",Presidente,Los CT Records,8862448,2,15,MEX,2025-01-30,4OLT65TRsOx3Iv1TlCcQVb,87,181064,True,corridos tumbados,2024-10-21,https://i.scdn.co/image/ab67616d0000b273f66501800b3a51af3bc69f8d,https://i.scdn.co/image/ab6761610000e5eb7f09c9c912a14580f87a2ea8
7,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,8653808,5,4,MEX,2025-01-30,2lTm559tuIvatlT1u0JYG2,96,367725,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
8,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,"Tito Double P, Peso Pluma",DOS DÍAS,2024 Double P Records,8375115,2,23,MEX,2025-01-30,5lKFO0PrOC9jmOlPEdjHsL,87,153928,True,corrido,2024-08-22,https://i.scdn.co/image/ab67616d0000b27347e9618ef7411438f9c9478b,https://i.scdn.co/image/ab6761610000e5eb42aaf132132313182dcf7271
9,spotify:track:4Ndjd6DhKIC5IPoBIrMQuX,"Carin Leon, Gabito Ballesteros",Ese Vato No Te Queda,"Socios Music, LLC",8317719,9,14,MEX,2025-01-30,4Ndjd6DhKIC5IPoBIrMQuX,85,198607,True,banda,2024-10-24,https://i.scdn.co/image/ab67616d0000b273a6dae629d3f23aa5a725f601,https://i.scdn.co/image/ab6761610000e5eb374620b17c4a16d8c99f2369
10,spotify:track:1cOboCuWYI2osTOfolMRS6,"Oscar Maydon, Fuerza Regida",Tu Boda,Rancho Humilde/Sony Music Latin,8094828,1,18,MEX,2025-01-30,1cOboCuWYI2osTOfolMRS6,89,225880,True,corridos tumbados,2024-09-26,https://i.scdn.co/image/ab67616d0000b273b51d9a74d356d785cce9dea9,https://i.scdn.co/image/ab6761610000e5eb505626c3e5b3feebe828f206
