rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:4x7j9ed3FRH6CHj27kiTQ3,Oimara,Wackelkontakt,stereopolrecords / ZEITGEIST for Virgin Records,343871,1,3,AUS,2025-01-30,4x7j9ed3FRH6CHj27kiTQ3,68,168801,False,,2024-08-02,https://i.scdn.co/image/ab67616d0000b27389b9e48b79603248d4fea627,https://i.scdn.co/image/ab6761610000e5ebcd75ee8063e2b6ecc9faa488
2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,330872,1,15,AUS,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,249418,2,24,AUS,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
4,spotify:track:1EDPVGbyPKJPeGqATwXZvN,Linkin Park,The Emptiness Machine,Warner Records,241604,1,21,AUS,2025-01-30,1EDPVGbyPKJPeGqATwXZvN,82,190427,True,nu metal,2024-11-15,https://i.scdn.co/image/ab67616d0000b273b11a5489e8cb11dd22b930a0,https://i.scdn.co/image/ab6761610000e5ebc7e6bd9e65eab62a53355576
5,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",223192,2,15,AUS,2025-01-30,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
6,spotify:track:61lNxSCj38lvmZjJZuhXSt,reezy,SABÍA QUE NO,Four Music/Teenager Forever,221098,2,3,AUS,2025-01-30,61lNxSCj38lvmZjJZuhXSt,77,182797,True,german hip hop,2025-01-10,https://i.scdn.co/image/ab67616d0000b273120869bb8e214f029f0477bb,https://i.scdn.co/image/ab6761610000e5eb0b145470df8e506af54611ca
7,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,215422,4,3,AUS,2025-01-30,3sK8wGT43QFpWrvNQsrQya,98,237117,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
8,spotify:track:2zsb697TLzjzMcRyhmuHt4,LACAZETTE,MNG,LACAZETTE,201845,8,1,AUS,2025-01-30,2zsb697TLzjzMcRyhmuHt4,71,171333,True,german hip hop,2025-01-24,https://i.scdn.co/image/ab67616d0000b273b43ae0cc0998d14ced02c149,https://i.scdn.co/image/ab6761610000e5ebfc0f1f9a5efb4cdd6a521261
9,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,174126,7,8,AUS,2025-01-30,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
10,spotify:track:6s8WSX1MxNThrot8ThI6fG,Travis Scott,4X4,Cactus Jack / Epic,162929,10,1,AUS,2025-01-30,6s8WSX1MxNThrot8ThI6fG,86,190581,True,rap,2025-01-24,https://i.scdn.co/image/ab67616d0000b27374bdfbcc73b08c535b4d6564,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
