rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,334067,1,9,NZL,2025-01-30,2FAZskT9yRjp2Oow9szJD8,87,233229,False,,2024-11-08,https://i.scdn.co/image/ab67616d0000b2739041b9965925059507fb44af,https://i.scdn.co/image/ab6761610000e5eb7f76fd7dc8873ee94a14c244
2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,316964,1,24,NZL,2025-01-30,2plbrEY59IikOBgBGLjaoe,100,251667,False,art pop,2024-08-16,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,https://i.scdn.co/image/ab6761610000e5ebaadc18cac8d48124357c38e6
3,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,298354,1,15,NZL,2025-01-30,4wJ5Qq0jBN4ajy7ouZIV1c,91,169917,False,k-pop,2024-12-06,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://i.scdn.co/image/ab6761610000e5eb727a1f1f508238a20ac9fdbf
4,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,290461,4,10,NZL,2025-01-30,35ISBknsCeZQtq66xABI9g,86,284066,True,,2024-06-21,https://i.scdn.co/image/ab67616d0000b2736aa2a180c7b009ca8454ef89,https://i.scdn.co/image/ab6761610000e5eb35d858c545fe337d3a152d65
5,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",248422,1,15,NZL,2025-01-30,7ne4VBA60CxGM75vw0EYad,96,166300,True,,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731dac3694b3289cd903cb3acf,https://i.scdn.co/image/ab6761610000e5ebf6d51e6f5342d2d363220920
6,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",226370,1,10,NZL,2025-01-30,2CGNAOSuO1MEFCbBRgUzjd,88,177598,False,hip hop,2024-11-21,https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
7,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,218238,1,37,NZL,2025-01-30,6dOtVTDdiauQNBQEDOtlAB,96,210373,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
8,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,190533,3,27,NZL,2025-01-30,2262bWmqomIaJXwCRHr13j,93,211978,False,,2024-07-26,https://i.scdn.co/image/ab67616d0000b273e6065f209e0a01986206bd53,https://i.scdn.co/image/ab6761610000e5ebe5ff5495fe99ee0fa0236087
9,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,179621,3,42,NZL,2025-01-30,5fZJQrFKWQLb7FpJXZ1g7K,82,171291,True,,2024-05-31,https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a,https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07
10,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,179483,4,75,NZL,2025-01-30,17phhZDn6oGtzMe56NuWvj,89,210688,False,,2023-09-15,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
11,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,172502,1,44,NZL,2025-01-30,19XpFsce28aByvCC4g89tJ,84,251424,False,,2024-08-19,https://i.scdn.co/image/ab67616d0000b273b07bd43d1bec442c7fcc4d1e,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
12,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,SZA,BMF,Top Dawg Entertainment/RCA Records,169581,8,6,NZL,2025-01-30,3U3hFkMr0Q90pD24EkE3Pr,89,180746,True,r&b,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf
13,spotify:track:2zOmS55knKWSgScYPTNmGQ,Tate McRae,Sports car,RCA Records Label,169455,13,1,NZL,2025-01-30,2zOmS55knKWSgScYPTNmGQ,85,165045,False,,2025-01-24,https://i.scdn.co/image/ab67616d0000b27318a681e1e525405b2f909032,https://i.scdn.co/image/ab6761610000e5ebb1e307280ceb6b69dc530a7c
14,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,165431,5,393,NZL,2025-01-30,0ofHAoxe9vBkTCp2UQIavz,85,257800,False,classic rock,1977-02-04,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8
15,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,157850,2,42,NZL,2025-01-30,2HRqTpkrJO5ggZyyK6NPWz,88,175459,True,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
16,spotify:track:50zAEIE4B1QqhPjRMK2Xmh,Jin,Running Wild,BIGHIT MUSIC,156188,16,3,NZL,2025-01-30,50zAEIE4B1QqhPjRMK2Xmh,81,151646,False,k-pop,2024-11-19,https://i.scdn.co/image/ab67616d0000b27302dd46d1f82ce19b5927b269,https://i.scdn.co/image/ab6761610000e5eb6d4ee2bb960bc4d9c0a4ce45
17,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",153983,1,54,NZL,2025-01-30,3xkHsmpQCBMytMJNiDf3Ii,86,180304,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,https://i.scdn.co/image/ab6761610000e5ebd2b2a1cea3b6b44f4bae14b2
18,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,152062,4,42,NZL,2025-01-30,0WbMK4wrZ1wFSty9F7FCgu,92,218423,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7,https://i.scdn.co/image/ab6761610000e5ebcde5a0d57c1b79de5fce6bee
19,spotify:track:7HDq8aEtkBeZq7gfzYjW28,GELO,Tweaker,LiAngelo Ball (G3) PS/Def Jam,150760,15,4,NZL,2025-01-30,7HDq8aEtkBeZq7gfzYjW28,79,189544,True,,2025-01-03,https://i.scdn.co/image/ab67616d0000b27304db4be0fd6f156b45b553da,https://i.scdn.co/image/ab6761610000e5ebc74b073f603e5b757f088c70
20,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat. Playboi Carti),XO / Republic Records,148990,8,18,NZL,2025-01-30,1Es7AUAhQvapIcoh3qMKDL,93,256000,True,,2024-09-27,https://i.scdn.co/image/ab67616d0000b27394f662ef3b5677376d8a78d4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
21,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,145384,3,38,NZL,2025-01-30,5IZXB5IKAD2qlvTPJYDCFB,83,178205,True,,2024-08-15,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0
22,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,142365,2,23,NZL,2025-01-30,5G2f63n7IPVPPjfNIGih7Q,90,157279,False,,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae
23,spotify:track:2uXlHCUbq9OMUwx3hrk06o,Vance Joy,Riptide,Atlantic Records,138858,14,346,NZL,2025-01-30,2uXlHCUbq9OMUwx3hrk06o,82,204280,False,folk pop,2014-08-05,https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7,https://i.scdn.co/image/ab6761610000e5eb8f074ec8c25406680bf26422
24,spotify:track:47NGRxSaEtJznNQ17dFg4c,Maoli,Every Night Every Morning,Awong Entertainment,137432,24,45,NZL,2025-01-30,47NGRxSaEtJznNQ17dFg4c,62,197812,False,nz reggae,2023-04-21,https://i.scdn.co/image/ab67616d0000b273256f43bc806b3fae6d80d15f,https://i.scdn.co/image/ab6761610000e5ebbf203c1adc487cd5de395095
25,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",133628,16,45,NZL,2025-01-30,51eSHglvG1RJXtL3qI5trr,84,161831,False,,2024-04-05,https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40,https://i.scdn.co/image/ab6761610000e5ebd2b2a1cea3b6b44f4bae14b2
26,spotify:track:1Cbl3Yq8rHo7hhDQmLQagU,Tyla,PUSH 2 START,FAX Records/Epic,126829,21,9,NZL,2025-01-30,1Cbl3Yq8rHo7hhDQmLQagU,87,156825,False,afrobeats,2024-10-11,https://i.scdn.co/image/ab67616d0000b27334d2121bebebc1e7d9a0c369,https://i.scdn.co/image/ab6761610000e5eba1fca104a7abe5a7031b887d
27,spotify:track:1eTaznNW4Xxtx9za2SMTXB,Doechii,DENIAL IS A RIVER,Top Dawg Entertainment/Capitol Records,126805,27,4,NZL,2025-01-30,1eTaznNW4Xxtx9za2SMTXB,86,159586,True,,2024-08-30,https://i.scdn.co/image/ab67616d0000b273b245099fe26319344ddf6054,https://i.scdn.co/image/ab6761610000e5ebca2fee52c41d3f58ceb6474b
28,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,125795,11,37,NZL,2025-01-30,3QaPy1KgI7nu9FJEQUgn6h,92,261466,False,,2024-05-17,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
29,spotify:track:4pftaoQbbheCXSdleWIeDK,"Central Cee, 21 Savage",GBP (feat. 21 Savage),Columbia,123059,29,2,NZL,2025-01-30,4pftaoQbbheCXSdleWIeDK,76,154800,True,uk drill,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735609b89507db8644ff7e1e7a,https://i.scdn.co/image/ab6761610000e5ebf6469f2cbf0a7e78744a3173
30,spotify:track:1KZG1H1OCugGqIRmk1wF9m,"Sam Barber, Avery Anna",Indigo (feat. Avery Anna),Lockeland Springs/Atlantic,119508,27,7,NZL,2025-01-30,1KZG1H1OCugGqIRmk1wF9m,84,286634,False,country,2024-11-01,https://i.scdn.co/image/ab67616d0000b273c944a2c490ed24e29eef5119,https://i.scdn.co/image/ab6761610000e5ebae73620ee0af55ed826a9db3
31,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",119261,7,10,NZL,2025-01-30,0aB0v4027ukVziUGwVGYpG,91,220690,True,hip hop,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
32,spotify:track:3BntzKsnLf2pc0dsvE3Zav,Teddy Swims,Bad Dreams,Warner Records,119212,32,18,NZL,2025-01-30,3BntzKsnLf2pc0dsvE3Zav,74,184577,False,,2025-01-24,https://i.scdn.co/image/ab67616d0000b27370b88fc5a2e13bc5440d947c,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
33,spotify:track:3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,Warner Records,118948,28,35,NZL,2025-01-30,3dj4wgM3cPeuLwMNHDuBon,86,212648,False,,2023-09-15,https://i.scdn.co/image/ab67616d0000b2731a0323cc23419360a34a3ace,https://i.scdn.co/image/ab6761610000e5ebf9cf783eb03eb66aa43943ba
34,spotify:track:2fsSR8q2mZyhWV3txRww6w,SHANE WALKER,COASTY GIRL,TEAM MUSIC,115382,34,8,NZL,2025-01-30,2fsSR8q2mZyhWV3txRww6w,55,185357,False,nz reggae,2024-11-28,https://i.scdn.co/image/ab67616d0000b27369878f5536dc8825e31fd47a,https://i.scdn.co/image/ab6761610000e5ebbd0ce91dc2effc4e1d5bd689
