rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:4seW5sDVICaZw34NzrHPm0,"Nuzio Medeiros, Henry Freitas, Kadu Martins",Tando,Nuzio Medeiros,10397008,1,7,BRA,2025-01-30,4seW5sDVICaZw34NzrHPm0,86,212000,False,forró,2024-11-28,https://i.scdn.co/image/ab67616d0000b273ae682a9f57cbb545e5d20a17,https://i.scdn.co/image/ab6761610000e5ebc7ea05965a2afa212ae01572
2,spotify:track:39O9PGzlZnVTOhAYQjyBRG,Natanzinho Lima,Uma e Quinze da Manhã,Sua Música Digital,8400486,2,9,BRA,2025-01-30,39O9PGzlZnVTOhAYQjyBRG,84,164466,False,seresta,2024-03-06,https://i.scdn.co/image/ab67616d0000b2735c362238b1dae50e5a16305f,https://i.scdn.co/image/ab6761610000e5eb2dd5f2f96e301dd661349efb
3,spotify:track:4pOGEJRVOuaa9oyy7qTGf6,"Nilo, Mc Paiva ZS, DJ Di Marques, FamousKyo",Fui Mlk,WMD,8376460,2,10,BRA,2025-01-30,4pOGEJRVOuaa9oyy7qTGf6,84,174110,False,funk,2024-11-22,https://i.scdn.co/image/ab67616d0000b27347cbd521916fc422be1a5c9a,https://i.scdn.co/image/ab6761610000e5eb4ba71e7bb7139281802eb42e
4,spotify:track:7HrDxxY2b7vOKxJHtqdXN6,"Henry Freitas, Mc Th",Imã de Problema,Henry Freitas,8263028,2,17,BRA,2025-01-30,7HrDxxY2b7vOKxJHtqdXN6,88,137293,False,forró,2024-09-20,https://i.scdn.co/image/ab67616d0000b2738594dca64e3bb87aa620362e,https://i.scdn.co/image/ab6761610000e5eba4d221889e774d4b173aeaa0
5,spotify:track:0BUkQGUXgcvf3gdCWYbtnJ,"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves",Oh Garota Eu Quero Você Só Pra Mim,Mainstreet Records,7939794,1,6,BRA,2025-01-30,0BUkQGUXgcvf3gdCWYbtnJ,85,166861,True,brazilian trap,2024-12-17,https://i.scdn.co/image/ab67616d0000b273d8bfb4567b1b5e5bc4da915b,https://i.scdn.co/image/ab6761610000e5eb668a5535093f4cc53b1fef45
6,spotify:track:7pBPXkaVQaP3Y3Wwfkpvbn,"Hugo & Guilherme, Wesley Safadão",Mentirosa - Ao Vivo,Som Livre,7284922,6,6,BRA,2025-01-30,7pBPXkaVQaP3Y3Wwfkpvbn,82,165566,False,sertanejo,2024-12-19,https://i.scdn.co/image/ab67616d0000b273e295ee75598a12d933800298,https://i.scdn.co/image/ab6761610000e5eb0d2061e3fb7229b85db74994
7,spotify:track:6h3EEYgtIuOjeqQPIC3H37,"Eric Land, Natanzinho Lima",Pilantra e Meio,Eric Land,6674067,1,12,BRA,2025-01-30,6h3EEYgtIuOjeqQPIC3H37,59,188823,False,piseiro,2025-01-24,https://i.scdn.co/image/ab67616d0000b2735ee8b7f59c70be365d0c9273,https://i.scdn.co/image/ab6761610000e5ebc0f833277a9dde529b553414
8,spotify:track:6VH6SBNNL2RVWwImq046ce,"Boladin 211, Dejinha, MC Rick",Penélope Charmosa 2,Kave,6310987,8,3,BRA,2025-01-30,6VH6SBNNL2RVWwImq046ce,78,171692,True,funk,2024-09-27,https://i.scdn.co/image/ab67616d0000b2733c883665efa14aa98319bebd,https://i.scdn.co/image/ab6761610000e5eb5007e53da53b3bb50355de7d
9,spotify:track:0NQyryTVbjGMtWMA1eSqIn,"J. Eskine, Alef Donk",Resenha do Arrocha,Latin Brega by HITLAB Records,6145101,4,8,BRA,2025-01-30,0NQyryTVbjGMtWMA1eSqIn,82,354857,True,arrocha,2024-11-29,https://i.scdn.co/image/ab67616d0000b273b95ec67486445b1c81e55b32,https://i.scdn.co/image/ab6761610000e5eb18b0687573c2708e3a4b3e32
10,spotify:track:6Kyl2nFgU0J8WBlbBvDv6g,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo,Som Livre,6099217,1,22,BRA,2025-01-30,6Kyl2nFgU0J8WBlbBvDv6g,75,195794,False,pagode,2024-11-14,https://i.scdn.co/image/ab67616d0000b2735645e61562deebdda78755b6,https://i.scdn.co/image/ab6761610000e5eb7ffc3038ef5e67354ecdede1
