rank,uri,artist_names,track_name,source,streams,peak_rank,weeks_on_chart,country,week_date,track_id,popularity,duration_ms,explicit,genre,release_date,track_image,artist_image
1,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,2211274,1,4,COL,2025-01-30,3sK8wGT43QFpWrvNQsrQya,98,237117,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
2,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,2041870,2,4,COL,2025-01-30,2lTm559tuIvatlT1u0JYG2,96,367725,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
3,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,1878495,1,12,COL,2025-01-30,4zbEItKoaRId1vRZkoO0Uh,88,170365,False,reggaeton,2024-11-07,https://i.scdn.co/image/ab67616d0000b2737c8510f493813b5730a6f7ba,https://i.scdn.co/image/ab6761610000e5eb3b02770b21517dc3a03e340d
4,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,1731867,4,4,COL,2025-01-30,59D4DOkspUbWyMmbAPQkxZ,93,156364,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
5,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",Mi Refe,5020 Records,1712625,5,8,COL,2025-01-30,7ricDBUakN3N0YkkKE8Obu,86,159404,False,reggaeton,2024-12-05,https://i.scdn.co/image/ab67616d0000b2733a75477f9677120e20457cbe,https://i.scdn.co/image/ab6761610000e5eb3a404fc0649794f02c02524d
6,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,1637969,6,4,COL,2025-01-30,7d6yK8v8J484SWH5prIQiE,92,235336,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
7,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,1553310,3,4,COL,2025-01-30,5TFD2bmFKGhoCRbX61nXY5,95,183685,False,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
8,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,1455195,7,4,COL,2025-01-30,6J5kc12BW5HuP3d7C3vvx8,92,204768,True,reggaeton,2025-01-05,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
9,spotify:track:3mg9jYNC1NihbthlglzrWP,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Bichota/Interscope Records,1434226,1,12,COL,2025-01-30,3mg9jYNC1NihbthlglzrWP,84,298130,True,reggaeton,2024-11-08,https://i.scdn.co/image/ab67616d0000b273c665371d5e70273a44a8e301,https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec
10,spotify:track:0fKK51bU6lcCCwdNnv64t3,"Blessd, Anuel AA, Ovy On The Drums",DEPORTIVO,WEA Latina,1432953,2,11,COL,2025-01-30,0fKK51bU6lcCCwdNnv64t3,85,218701,True,reggaeton,2024-11-14,https://i.scdn.co/image/ab67616d0000b2739fee5cdf2743b01c5df33122,https://i.scdn.co/image/ab6761610000e5eb1b5902b400971bc07d3473dd
